pca__n_components,kernel,C,threshold,accuracy,precision,recall,f1,mcc
150,linear,0.01,0.1,0.8785238959467634,0.6154545454545455,0.7555555555555555,0.667843137254902,0.6081303959162414
150,linear,0.01,0.2,0.8992135511191772,0.6822510822510822,0.6666666666666666,0.665,0.6124372642633118
150,linear,0.01,0.30000000000000004,0.9061705989110708,0.7095238095238094,0.6666666666666666,0.6807894736842105,0.6309513844557813
150,linear,0.01,0.4,0.8991530550514216,0.7233333333333334,0.5777777777777777,0.6262738293698046,0.5845514747681674
150,linear,0.01,0.5,0.8958257713248639,0.7392857142857142,0.5111111111111111,0.5904977375565611,0.5540977644102679
150,linear,0.01,0.6,0.902843315184513,0.8047619047619048,0.48888888888888893,0.5947435897435898,0.5739604453709928
150,linear,0.01,0.7000000000000001,0.8958257713248639,0.8047619047619048,0.4444444444444445,0.5626007326007326,0.5443636682213364
150,linear,0.01,0.8,0.8922565033272838,0.8914285714285715,0.37777777777777777,0.4987912087912088,0.5167239066198569
150,linear,0.01,0.9,0.8819116757410768,0.9,0.28888888888888886,0.4127272727272727,0.45201268596253213
150,linear,0.1,0.1,0.8540834845735027,0.5793761140819964,0.7555555555555555,0.6371623238154679,0.5731676470695273
150,linear,0.1,0.2,0.8923169993950394,0.656060606060606,0.6444444444444445,0.6419607843137255,0.5845477430285273
150,linear,0.1,0.30000000000000004,0.8992135511191772,0.6884632034632034,0.6444444444444445,0.6577347781217749,0.6048536358434801
150,linear,0.1,0.4,0.8887477313974591,0.6976190476190476,0.5111111111111111,0.578905408317173,0.5323308183902858
150,linear,0.1,0.5,0.8923169993950394,0.7357142857142857,0.4888888888888888,0.5757918552036199,0.5386746525158668
150,linear,0.1,0.6,0.9027828191167574,0.819047619047619,0.4888888888888888,0.5997435897435898,0.5800477887769016
150,linear,0.1,0.7000000000000001,0.8958257713248639,0.8047619047619048,0.4444444444444445,0.5626007326007326,0.5443636682213364
150,linear,0.1,0.8,0.8923169993950394,0.8714285714285713,0.4,0.5161538461538462,0.523976951427345
150,linear,0.1,0.9,0.8750151240169389,0.8466666666666667,0.28888888888888886,0.40320346320346323,0.42756368335761313
150,linear,1.0,0.1,0.8540834845735027,0.5793761140819964,0.7555555555555555,0.6371623238154679,0.5731676470695273
150,linear,1.0,0.2,0.8923169993950394,0.656060606060606,0.6444444444444445,0.6419607843137255,0.5845477430285273
150,linear,1.0,0.30000000000000004,0.8992135511191772,0.6884632034632034,0.6444444444444445,0.6577347781217749,0.6048536358434801
150,linear,1.0,0.4,0.8887477313974591,0.6976190476190476,0.5111111111111111,0.578905408317173,0.5323308183902858
150,linear,1.0,0.5,0.8923169993950394,0.7357142857142857,0.4888888888888888,0.5757918552036199,0.5386746525158668
150,linear,1.0,0.6,0.9027828191167574,0.819047619047619,0.4888888888888888,0.5997435897435898,0.5800477887769016
150,linear,1.0,0.7000000000000001,0.8958257713248639,0.8047619047619048,0.4444444444444445,0.5626007326007326,0.5443636682213364
150,linear,1.0,0.8,0.8923169993950394,0.8714285714285713,0.4,0.5161538461538462,0.523976951427345
150,linear,1.0,0.9,0.8750151240169389,0.8466666666666667,0.28888888888888886,0.40320346320346323,0.42756368335761313
150,linear,10.0,0.1,0.8540834845735027,0.5793761140819964,0.7555555555555555,0.6371623238154679,0.5731676470695273
150,linear,10.0,0.2,0.8923169993950394,0.656060606060606,0.6444444444444445,0.6419607843137255,0.5845477430285273
150,linear,10.0,0.30000000000000004,0.8992135511191772,0.6884632034632034,0.6444444444444445,0.6577347781217749,0.6048536358434801
150,linear,10.0,0.4,0.8887477313974591,0.6976190476190476,0.5111111111111111,0.578905408317173,0.5323308183902858
150,linear,10.0,0.5,0.8923169993950394,0.7357142857142857,0.4888888888888888,0.5757918552036199,0.5386746525158668
150,linear,10.0,0.6,0.9027828191167574,0.819047619047619,0.4888888888888888,0.5997435897435898,0.5800477887769016
150,linear,10.0,0.7000000000000001,0.8958257713248639,0.8047619047619048,0.4444444444444445,0.5626007326007326,0.5443636682213364
150,linear,10.0,0.8,0.8923169993950394,0.8714285714285713,0.4,0.5161538461538462,0.523976951427345
150,linear,10.0,0.9,0.8750151240169389,0.8466666666666667,0.28888888888888886,0.40320346320346323,0.42756368335761313
150,linear,100.0,0.1,0.8540834845735027,0.5793761140819964,0.7555555555555555,0.6371623238154679,0.5731676470695273
150,linear,100.0,0.2,0.8923169993950394,0.656060606060606,0.6444444444444445,0.6419607843137255,0.5845477430285273
150,linear,100.0,0.30000000000000004,0.8992135511191772,0.6884632034632034,0.6444444444444445,0.6577347781217749,0.6048536358434801
150,linear,100.0,0.4,0.8887477313974591,0.6976190476190476,0.5111111111111111,0.578905408317173,0.5323308183902858
150,linear,100.0,0.5,0.8923169993950394,0.7357142857142857,0.4888888888888888,0.5757918552036199,0.5386746525158668
150,linear,100.0,0.6,0.9027828191167574,0.819047619047619,0.4888888888888888,0.5997435897435898,0.5800477887769016
150,linear,100.0,0.7000000000000001,0.8958257713248639,0.8047619047619048,0.4444444444444445,0.5626007326007326,0.5443636682213364
150,linear,100.0,0.8,0.8923169993950394,0.8714285714285713,0.4,0.5161538461538462,0.523976951427345
150,linear,100.0,0.9,0.8750151240169389,0.8466666666666667,0.28888888888888886,0.40320346320346323,0.42756368335761313
150,poly,0.01,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,poly,0.01,0.2,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,poly,0.01,0.30000000000000004,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,poly,0.01,0.4,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,poly,0.01,0.5,0.30120992135511193,0.32637518561293516,0.8,0.2182581411126187,0.01651445647689541
150,poly,0.01,0.6,0.8437991530550514,0.8,0.02222222222222222,0.04,0.05036820549570782
150,poly,0.01,0.7000000000000001,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
150,poly,0.01,0.8,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
150,poly,0.01,0.9,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
150,poly,0.1,0.1,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,0.1,0.2,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,0.1,0.30000000000000004,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,0.1,0.4,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,0.1,0.5,0.5724137931034482,0.6575048732943469,0.37777777777777777,0.138989898989899,0.009970457239052788
150,poly,0.1,0.6,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
150,poly,0.1,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,0.1,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,0.1,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,1.0,0.1,0.15626134301270417,0.15379828882551205,0.9777777777777779,0.2657843648888425,-0.03599661647706926
150,poly,1.0,0.2,0.1632788868723533,0.15494661418436373,0.9777777777777779,0.26748891034338795,-0.019482160000173852
150,poly,1.0,0.30000000000000004,0.16678765880217786,0.15555267479042434,0.9777777777777779,0.2683817674862451,-0.015584201953876109
150,poly,1.0,0.4,0.1736842105263158,0.15661087584862537,0.9777777777777779,0.26994464904912663,0.006156125014931268
150,poly,1.0,0.5,0.5862068965517241,0.6298245614035087,0.5111111111111111,0.24242424242424238,0.13859950594537876
150,poly,1.0,0.6,0.8471869328493649,1.0,0.02222222222222222,0.04,0.06181150999636872
150,poly,1.0,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,1.0,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,1.0,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,poly,10.0,0.1,0.1632788868723533,0.15740966837155584,1.0,0.2719894843962008,0.01651445647689541
150,poly,10.0,0.2,0.16678765880217786,0.15801572897761645,1.0,0.27288234153905794,0.020412414523193152
150,poly,10.0,0.30000000000000004,0.17023593466424683,0.15856019358741683,1.0,0.2736964528009304,0.0317655490123221
150,poly,10.0,0.4,0.2530550514216576,0.1704673198937487,0.9333333333333332,0.28493752210651585,0.05533740171290909
150,poly,10.0,0.5,0.44488808227465215,0.42752571082879615,0.711111111111111,0.30948891904115783,0.1690484326062219
150,poly,10.0,0.6,0.8506352087114337,0.9333333333333332,0.08888888888888888,0.10666666666666666,0.0959739581322562
150,poly,10.0,0.7000000000000001,0.8506352087114337,0.95,0.06666666666666667,0.09230769230769231,0.08942581600636998
150,poly,10.0,0.8,0.8506352087114337,0.95,0.06666666666666667,0.09230769230769231,0.08942581600636998
150,poly,10.0,0.9,0.8506352087114337,0.95,0.06666666666666667,0.09230769230769231,0.08942581600636998
150,poly,100.0,0.1,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,100.0,0.2,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,100.0,0.30000000000000004,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
150,poly,100.0,0.4,0.16672716273442229,0.15795413298135622,1.0,0.2728035956580733,0.02786759096602436
150,poly,100.0,0.5,0.3255293405928615,0.27826329750104706,0.9333333333333332,0.362201005143477,0.15828287920505016
150,poly,100.0,0.6,0.8540834845735027,1.0,0.06666666666666667,0.1,0.10898985218261321
150,poly,100.0,0.7000000000000001,0.8506352087114337,1.0,0.04444444444444444,0.07272727272727272,0.08819171036881969
150,poly,100.0,0.8,0.8506352087114337,1.0,0.04444444444444444,0.07272727272727272,0.08819171036881969
150,poly,100.0,0.9,0.8506352087114337,1.0,0.04444444444444444,0.07272727272727272,0.08819171036881969
150,rbf,0.01,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.01,0.2,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.01,0.30000000000000004,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.01,0.4,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.01,0.5,0.1527525710828796,0.1532538242157117,0.9777777777777779,0.26497025362697,-0.06172133998483677
150,rbf,0.01,0.6,0.8437386569872958,1.0,0.0,0.0,0.0
150,rbf,0.01,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
150,rbf,0.01,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,rbf,0.01,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,rbf,0.1,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.1,0.2,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,rbf,0.1,0.30000000000000004,0.1631578947368421,0.15485648988371312,0.9777777777777779,0.26734724645172403,-0.014256289508261882
150,rbf,0.1,0.4,0.3818511796733212,0.18857691897085513,0.8222222222222222,0.30215684678864496,0.08888499896114462
150,rbf,0.1,0.5,0.6885057471264368,0.4071455938697318,0.48888888888888893,0.36984364515439794,0.24328744904527314
