pca__n_components,n_neighbors,weights,metric,threshold,accuracy,precision,recall,f1,mcc
150,3,distance,cosine,0.1,0.8093163944343618,0.44825757575757574,0.6444444444444445,0.5098850574712644,0.4234304376951055
150,3,distance,cosine,0.2,0.8162734422262552,0.46194178628389154,0.6222222222222222,0.5133333333333333,0.4250113849199881
150,3,distance,cosine,0.30000000000000004,0.8440411373260737,0.5212418300653595,0.5777777777777777,0.532603605544782,0.45281507700378726
150,3,distance,cosine,0.4,0.8682395644283123,0.5831313131313132,0.5777777777777777,0.5687208216619981,0.4994037383159438
150,3,distance,cosine,0.5,0.8647912885662432,0.5722222222222222,0.5555555555555556,0.5529313479777876,0.48112957833398007
150,3,distance,cosine,0.6,0.8682395644283121,0.5898412698412698,0.5333333333333333,0.551796157059315,0.48147949427757614
150,3,distance,cosine,0.7000000000000001,0.8924984875983061,0.7626984126984127,0.48888888888888893,0.5728632478632478,0.5451194157940847
150,3,distance,cosine,0.8,0.8889897156684816,0.7571428571428571,0.4666666666666667,0.5584841628959276,0.5291198583638185
150,3,distance,cosine,0.9,0.8889897156684816,0.7571428571428571,0.4666666666666667,0.5584841628959276,0.5291198583638185
150,3,distance,euclidean,0.1,0.7605565638233515,0.37940866151392466,0.711111111111111,0.48438398047905684,0.388466534808635
150,3,distance,euclidean,0.2,0.795220810647308,0.4164928157497817,0.711111111111111,0.5169715342129135,0.42985670105835083
150,3,distance,euclidean,0.30000000000000004,0.8091349062310951,0.4344444444444444,0.6888888888888889,0.5259259259259259,0.4381462261498993
150,3,distance,euclidean,0.4,0.8335148215366001,0.47478632478632476,0.5555555555555556,0.5022222222222222,0.4124190038284924
150,3,distance,euclidean,0.5,0.8369630973986691,0.48589743589743595,0.5555555555555556,0.5074509803921569,0.4201287543953859
150,3,distance,euclidean,0.6,0.840411373260738,0.4935897435897436,0.5555555555555556,0.512645785586962,0.42645640968810905
150,3,distance,euclidean,0.7000000000000001,0.8750151240169389,0.663888888888889,0.4666666666666667,0.5323278029160383,0.48207351867658066
150,3,distance,euclidean,0.8,0.8750151240169389,0.663888888888889,0.4666666666666667,0.5323278029160383,0.48207351867658066
150,3,distance,euclidean,0.9,0.8750151240169389,0.663888888888889,0.4666666666666667,0.5323278029160383,0.48207351867658066
