kernel,C,dim,eps,storage,preparationTime,predictionTime,precision,recall
poly,10.0,200,0.1,313012,0.22722378333298052,0.0014556147863245277,0.4958157095673046,0.8466666666666665
poly,10.0,200,0.3,313012,0.20743963666591309,0.0013288744444462984,0.49238821206700467,0.8833333333333333
poly,10.0,200,0.5,313012,0.22253401000143627,0.0014255407692397631,0.468245745267804,0.8366666666666667
sigmoid,10.0,0,0.1,7050653,0.6841185433330487,0.004365815128207592,0.5003898325521131,0.5233333333333333
sigmoid,10.0,0,0.3,913613,0.2638733600012227,0.0016892111111149607,0.5257985661855631,0.5583333333333332
sigmoid,10.0,0,0.5,395692,0.22220417999894085,0.0014230168375900412,0.484652618030944,0.5066666666666667
sigmoid,10.0,100,0.1,157012,0.21664979999908004,0.00138783786324217,0.5199630954887382,0.5
sigmoid,10.0,100,0.3,157012,0.22177385333422245,0.0014207394017216564,0.5114620782479512,0.4816666666666667
sigmoid,10.0,100,0.5,157012,0.20605858000065685,0.001319806410261414,0.521161716020793,0.5516666666666664
sigmoid,10.0,200,0.1,313012,0.2401656666670534,0.0015384774358981538,0.5054352189775739,0.5133333333333333
sigmoid,10.0,200,0.3,313012,0.20922040333280173,0.0013404009401648746,0.48608699110167464,0.49666666666666665
sigmoid,10.0,200,0.5,313012,0.2264208133323944,0.0014503125640945873,0.536386289250302,0.5433333333333332
