alpha,accuracy,precision,recall,preparationTime
0.01,0.7760233918128655,0.8206349206349207,0.7266666666666667,0.002073609925531023
0.1,0.7444444444444445,0.8083333333333333,0.6644444444444444,0.002073609925531023
1.0,0.7444444444444445,0.8219696969696969,0.6422222222222221,0.002073609925531023
10.0,0.6380116959064328,0.6385714285714286,0.7444444444444445,0.002073609925531023
