pca__n_components,kernel,C,threshold,accuracy,precision,recall,f1,mcc
150,linear,0.01,0.1,0.8071584699453552,0.48075396825396827,0.7711111111111111,0.5687321005215742,0.49971172851395096
150,linear,0.01,0.2,0.8871038251366119,0.6511111111111111,0.6644444444444444,0.6295873015873016,0.5825059140078359
150,linear,0.01,0.30000000000000004,0.9003825136612023,0.740909090909091,0.5777777777777777,0.6083559577677224,0.5836855063899165
150,linear,0.01,0.4,0.9137158469945355,0.8380952380952381,0.5555555555555556,0.6341205578047683,0.6246818981921944
150,linear,0.01,0.5,0.9137158469945355,0.9142857142857143,0.5155555555555555,0.6209173179761416,0.6286176191876277
150,linear,0.01,0.6,0.9137158469945355,0.9142857142857143,0.5155555555555555,0.6209173179761416,0.6286176191876277
150,linear,0.01,0.7000000000000001,0.9070491803278689,0.8914285714285715,0.47555555555555556,0.5832702591526121,0.5919308090349132
150,linear,0.01,0.8,0.9070491803278689,0.8914285714285715,0.47555555555555556,0.5832702591526121,0.5919308090349132
150,linear,0.01,0.9,0.8970491803278688,0.96,0.36666666666666664,0.4882600732600733,0.530544899586981
150,linear,0.1,0.1,0.6144262295081967,0.2644300766283525,0.7933333333333333,0.3917065390749601,0.2766228870266178
150,linear,0.1,0.2,0.810655737704918,0.42658730158730157,0.6222222222222222,0.4975652173913043,0.4038811061168891
150,linear,0.1,0.30000000000000004,0.8672677595628416,0.563076923076923,0.6222222222222222,0.5800778684679614,0.5108050913785739
150,linear,0.1,0.4,0.893879781420765,0.741025641025641,0.6,0.6321970058926581,0.5955356469770952
150,linear,0.1,0.5,0.9070491803278689,0.8690909090909091,0.5577777777777777,0.6350144592249856,0.6297763130761628
150,linear,0.1,0.6,0.8937158469945355,0.835,0.47555555555555556,0.5702525544630808,0.5621646509652171
150,linear,0.1,0.7000000000000001,0.887049180327869,0.8171428571428571,0.4333333333333333,0.530864491545606,0.5252236125535099
150,linear,0.1,0.8,0.887049180327869,0.8166666666666667,0.3688888888888889,0.4873303167420815,0.491523099633907
150,linear,0.1,0.9,0.887049180327869,0.7714285714285715,0.32666666666666666,0.43811188811188817,0.4506714628304443
150,linear,1.0,0.1,0.6044262295081968,0.2586111111111111,0.7933333333333333,0.38477457501847745,0.26834777451618097
150,linear,1.0,0.2,0.8039890710382513,0.4154761904761905,0.6222222222222222,0.4880837359098228,0.3936317253312909
150,linear,1.0,0.30000000000000004,0.8672677595628416,0.563076923076923,0.6222222222222222,0.5800778684679614,0.5108050913785739
150,linear,1.0,0.4,0.893879781420765,0.741025641025641,0.6,0.6321970058926581,0.5955356469770952
150,linear,1.0,0.5,0.9070491803278689,0.8690909090909091,0.5577777777777777,0.6350144592249856,0.6297763130761628
150,linear,1.0,0.6,0.8937158469945355,0.835,0.47555555555555556,0.5702525544630808,0.5621646509652171
150,linear,1.0,0.7000000000000001,0.8837158469945354,0.8126984126984127,0.4111111111111111,0.5179989944695828,0.5101177151720246
150,linear,1.0,0.8,0.887049180327869,0.8166666666666667,0.3688888888888889,0.4873303167420815,0.491523099633907
150,linear,1.0,0.9,0.8837158469945354,0.7666666666666667,0.3044444444444444,0.42144522144522145,0.4343086762076512
150,linear,10.0,0.1,0.6044262295081968,0.2586111111111111,0.7933333333333333,0.38477457501847745,0.26834777451618097
150,linear,10.0,0.2,0.8039890710382513,0.4154761904761905,0.6222222222222222,0.4880837359098228,0.3936317253312909
150,linear,10.0,0.30000000000000004,0.8672677595628416,0.563076923076923,0.6222222222222222,0.5800778684679614,0.5108050913785739
150,linear,10.0,0.4,0.893879781420765,0.741025641025641,0.6,0.6321970058926581,0.5955356469770952
150,linear,10.0,0.5,0.9070491803278689,0.8690909090909091,0.5577777777777777,0.6350144592249856,0.6297763130761628
150,linear,10.0,0.6,0.8937158469945355,0.835,0.47555555555555556,0.5702525544630808,0.5621646509652171
150,linear,10.0,0.7000000000000001,0.8837158469945354,0.8126984126984127,0.4111111111111111,0.5179989944695828,0.5101177151720246
150,linear,10.0,0.8,0.887049180327869,0.8166666666666667,0.3688888888888889,0.4873303167420815,0.491523099633907
150,linear,10.0,0.9,0.8837158469945354,0.7666666666666667,0.3044444444444444,0.42144522144522145,0.4343086762076512
150,linear,100.0,0.1,0.6044262295081968,0.2586111111111111,0.7933333333333333,0.38477457501847745,0.26834777451618097
150,linear,100.0,0.2,0.8039890710382513,0.4154761904761905,0.6222222222222222,0.4880837359098228,0.3936317253312909
150,linear,100.0,0.30000000000000004,0.8672677595628416,0.563076923076923,0.6222222222222222,0.5800778684679614,0.5108050913785739
150,linear,100.0,0.4,0.893879781420765,0.741025641025641,0.6,0.6321970058926581,0.5955356469770952
150,linear,100.0,0.5,0.9070491803278689,0.8690909090909091,0.5577777777777777,0.6350144592249856,0.6297763130761628
150,linear,100.0,0.6,0.8937158469945355,0.835,0.47555555555555556,0.5702525544630808,0.5621646509652171
150,linear,100.0,0.7000000000000001,0.8837158469945354,0.8126984126984127,0.4111111111111111,0.5179989944695828,0.5101177151720246
150,linear,100.0,0.8,0.887049180327869,0.8166666666666667,0.3688888888888889,0.4873303167420815,0.491523099633907
150,linear,100.0,0.9,0.8837158469945354,0.7666666666666667,0.3044444444444444,0.42144522144522145,0.4343086762076512
150,poly,0.01,0.1,0.1594535519125683,0.15419039401783147,0.9777777777777779,0.2663135598836762,-0.023558060760785305
150,poly,0.01,0.2,0.1594535519125683,0.15419039401783147,0.9777777777777779,0.2663135598836762,-0.023558060760785305
150,poly,0.01,0.30000000000000004,0.1594535519125683,0.15419039401783147,0.9777777777777779,0.2663135598836762,-0.023558060760785305
150,poly,0.01,0.4,0.1594535519125683,0.15419039401783147,0.9777777777777779,0.2663135598836762,-0.023558060760785305
150,poly,0.01,0.5,0.31934426229508195,0.32512531328320804,0.7577777777777778,0.21474366429590308,-0.013420393607692982
150,poly,0.01,0.6,0.843879781420765,1.0,0.0,0.0,0.0
150,poly,0.01,0.7000000000000001,0.843879781420765,1.0,0.0,0.0,0.0
150,poly,0.01,0.8,0.843879781420765,1.0,0.0,0.0,0.0
150,poly,0.01,0.9,0.843879781420765,1.0,0.0,0.0,0.0
150,poly,0.1,0.1,0.16273224043715845,0.15473684210526314,0.9777777777777779,0.2671183888575193,-0.012124821751284716
150,poly,0.1,0.2,0.16273224043715845,0.15473684210526314,0.9777777777777779,0.2671183888575193,-0.012124821751284716
150,poly,0.1,0.30000000000000004,0.16273224043715845,0.15473684210526314,0.9777777777777779,0.2671183888575193,-0.012124821751284716
150,poly,0.1,0.4,0.17595628415300546,0.15692075015124016,0.9777777777777779,0.2703564913665307,0.01218495562675403
150,poly,0.1,0.5,0.5872131147540983,0.562962962962963,0.42000000000000004,0.18126984126984125,0.09229684378987718
150,poly,0.1,0.6,0.843879781420765,1.0,0.0,0.0,0.0
150,poly,0.1,0.7000000000000001,0.843879781420765,1.0,0.0,0.0,0.0
