pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,1,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,1,0.2,0.1724137931034483,0.15789473684210525,1.0,0.2727272727272727,0.05676567244564474
150,3,0.01,100,1,0.30000000000000004,0.4827586206896552,0.23076923076923078,1.0,0.375,0.2991353316223341
150,3,0.01,100,1,0.4,0.7241379310344828,0.34782608695652173,0.8888888888888888,0.5,0.43133618059645723
150,3,0.01,100,1,0.5,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
150,3,0.01,100,1,0.6,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,0.01,100,1,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,2,0.2,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,2,0.30000000000000004,0.43103448275862066,0.2,0.8888888888888888,0.32653061224489793,0.18456434099998265
150,3,0.01,100,2,0.4,0.7413793103448276,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33008622524996895
150,3,0.01,100,2,0.5,0.7931034482758621,0.36363636363636365,0.4444444444444444,0.4,0.2785396815179102
150,3,0.01,100,2,0.6,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
150,3,0.01,100,2,0.7000000000000001,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
150,3,0.01,100,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,3,0.2,0.25862068965517243,0.17307692307692307,1.0,0.29508196721311475,0.14557847581859087
150,3,0.01,100,3,0.30000000000000004,0.5689655172413793,0.2647058823529412,1.0,0.4186046511627907,0.36007202160720253
150,3,0.01,100,3,0.4,0.6896551724137931,0.32,0.8888888888888888,0.47058823529411764,0.3962339026039217
150,3,0.01,100,3,0.5,0.8448275862068966,0.5,0.6666666666666666,0.5714285714285714,0.4864323032907135
150,3,0.01,100,3,0.6,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,3,0.01,100,3,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,4,0.2,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,4,0.30000000000000004,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
150,3,0.01,100,4,0.4,0.7719298245614035,0.4,0.8888888888888888,0.5517241379310345,0.4881478139747102
150,3,0.01,100,4,0.5,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
150,3,0.01,100,4,0.6,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,3,0.01,100,4,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
150,3,0.01,100,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,5,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,5,0.2,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,5,0.30000000000000004,0.7017543859649122,0.3181818181818182,0.7777777777777778,0.45161290322580644,0.3485048460289006
150,3,0.01,100,5,0.4,0.8421052631578947,0.5,0.7777777777777778,0.6086956521739131,0.5353311660685758
150,3,0.01,100,5,0.5,0.8596491228070176,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4722222222222222
150,3,0.01,100,5,0.6,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,3,0.01,100,5,0.7000000000000001,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,3,0.01,100,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,150,1,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,150,1,0.2,0.3793103448275862,0.2,1.0,0.3333333333333333,0.23035022137995856
150,3,0.01,150,1,0.30000000000000004,0.6379310344827587,0.3,1.0,0.46153846153846156,0.41403933560541256
150,3,0.01,150,1,0.4,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
150,3,0.01,150,1,0.5,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
150,3,0.01,150,1,0.6,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,0.01,150,1,0.7000000000000001,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
150,3,0.01,150,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,150,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,150,2,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,150,2,0.2,0.3448275862068966,0.19148936170212766,1.0,0.32142857142857145,0.20733404864867003
150,3,0.01,150,2,0.30000000000000004,0.5517241379310345,0.22580645161290322,0.7777777777777778,0.35,0.20903629401708573
150,3,0.01,150,2,0.4,0.7758620689655172,0.375,0.6666666666666666,0.48,0.3747367070507946
150,3,0.01,150,2,0.5,0.8620689655172413,0.5714285714285714,0.4444444444444444,0.5,0.4259251664772323
150,3,0.01,150,2,0.6,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
150,3,0.01,150,2,0.7000000000000001,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,0.01,150,2,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,150,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
