pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,uniform,cosine,1,0.1,0.6885245901639344,0.2857142857142857,0.6,0.3870967741935484,0.23834160922733494
150,3,uniform,cosine,1,0.2,0.6885245901639344,0.2857142857142857,0.6,0.3870967741935484,0.23834160922733494
150,3,uniform,cosine,1,0.30000000000000004,0.6885245901639344,0.2857142857142857,0.6,0.3870967741935484,0.23834160922733494
150,3,uniform,cosine,1,0.4,0.8032786885245902,0.4166666666666667,0.5,0.45454545454545453,0.3378298165161036
150,3,uniform,cosine,1,0.5,0.8032786885245902,0.4166666666666667,0.5,0.45454545454545453,0.3378298165161036
150,3,uniform,cosine,1,0.6,0.8032786885245902,0.4166666666666667,0.5,0.45454545454545453,0.3378298165161036
150,3,uniform,cosine,1,0.7000000000000001,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
150,3,uniform,cosine,1,0.8,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
150,3,uniform,cosine,1,0.9,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
150,3,uniform,cosine,2,0.1,0.6833333333333333,0.30434782608695654,0.7,0.42424242424242425,0.29127540765095955
150,3,uniform,cosine,2,0.2,0.6833333333333333,0.30434782608695654,0.7,0.42424242424242425,0.29127540765095955
150,3,uniform,cosine,2,0.30000000000000004,0.6833333333333333,0.30434782608695654,0.7,0.42424242424242425,0.29127540765095955
150,3,uniform,cosine,2,0.4,0.8,0.42857142857142855,0.6,0.5,0.38769905726763276
150,3,uniform,cosine,2,0.5,0.8,0.42857142857142855,0.6,0.5,0.38769905726763276
150,3,uniform,cosine,2,0.6,0.8,0.42857142857142855,0.6,0.5,0.38769905726763276
150,3,uniform,cosine,2,0.7000000000000001,0.8666666666666667,0.6666666666666666,0.4,0.5,0.4472135954999579
150,3,uniform,cosine,2,0.8,0.8666666666666667,0.6666666666666666,0.4,0.5,0.4472135954999579
