dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,threshold,accuracy,precision,recall,f1,mcc
10,5,2,gini,,1,0.1,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.2,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.30000000000000004,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.4,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.5,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.6,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.7000000000000001,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.8,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,1,0.9,0.9180327868852459,0.7777777777777778,0.7,0.7368421052631579,0.6897979292329923
10,5,2,gini,,2,0.1,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.2,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.30000000000000004,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.4,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.5,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.6,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.7000000000000001,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.8,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.9,0.95,0.8888888888888888,0.8,0.8421052631578947,0.8140915784106943
10,5,2,gini,,3,0.1,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.2,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.30000000000000004,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.4,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.5,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.6,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.7000000000000001,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.8,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,3,0.9,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
10,5,2,gini,,4,0.1,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.2,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.30000000000000004,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.4,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.5,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.6,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.7000000000000001,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.8,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,4,0.9,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,5,0.1,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.2,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.30000000000000004,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.4,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.5,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.6,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.7000000000000001,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.8,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,,5,0.9,0.95,0.875,0.7777777777777778,0.8235294117647058,0.79639080275258
10,5,2,gini,sqrt,1,0.1,0.8524590163934426,0.5294117647058824,0.9,0.6666666666666666,0.6136253926218981
10,5,2,gini,sqrt,1,0.2,0.8524590163934426,0.5294117647058824,0.9,0.6666666666666666,0.6136253926218981
10,5,2,gini,sqrt,1,0.30000000000000004,0.8524590163934426,0.5294117647058824,0.9,0.6666666666666666,0.6136253926218981
10,5,2,gini,sqrt,1,0.4,0.8524590163934426,0.5294117647058824,0.9,0.6666666666666666,0.6136253926218981
10,5,2,gini,sqrt,1,0.5,0.8524590163934426,0.5294117647058824,0.9,0.6666666666666666,0.6136253926218981
10,5,2,gini,sqrt,1,0.6,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
10,5,2,gini,sqrt,1,0.7000000000000001,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
