pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,100,0.2,0.2810647307924985,0.17612254280885725,0.9555555555555555,0.2965872476292094,0.09752368017401189
150,3,0.01,100,0.30000000000000004,0.5759830611010284,0.24857808857808855,0.8444444444444444,0.3832214632214632,0.27207275048508806
150,3,0.01,100,0.4,0.7253478523895946,0.35272018429913166,0.7333333333333333,0.4672246058230485,0.36244109636920074
150,3,0.01,100,0.5,0.8054446460980037,0.4288888888888889,0.5555555555555556,0.47244778613199667,0.37144056345027304
150,3,0.01,100,0.6,0.8294615849969752,0.4950549450549451,0.37777777777777777,0.40802139037433155,0.3272754952013043
150,3,0.01,100,0.7000000000000001,0.8747731397459166,0.8,0.22222222222222224,0.32285714285714284,0.3642854781779171
150,3,0.01,100,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,100,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,150,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,150,0.2,0.46817906836055656,0.21796384653313017,0.9111111111111111,0.35137586960842776,0.22586746568841218
150,3,0.01,150,0.30000000000000004,0.6698729582577132,0.29994293788778126,0.8,0.43414881901724006,0.3315572810081352
150,3,0.01,150,0.4,0.7774349667271627,0.39984415584415584,0.6666666666666666,0.4906393861892583,0.39008384386916983
150,3,0.01,150,0.5,0.815728977616455,0.44982456140350874,0.5333333333333333,0.478077546808197,0.37832445662415654
150,3,0.01,150,0.6,0.8503932244404113,0.5976190476190476,0.4,0.4572936867054514,0.3979064212170691
150,3,0.01,150,0.7000000000000001,0.8818511796733212,0.9666666666666668,0.26666666666666666,0.38606060606060605,0.44784617483017736
150,3,0.01,150,0.8,0.8609800362976406,1.0,0.11111111111111112,0.18545454545454546,0.2381949307340081
150,3,0.01,150,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,200,0.1,0.25686630369026014,0.17433951762523192,1.0,0.2967894955716405,0.13872605266603016
150,3,0.01,200,0.2,0.5793708408953417,0.2558544490593172,0.8666666666666666,0.3941758649714586,0.2881791111495836
150,3,0.01,200,0.30000000000000004,0.7323049001814882,0.35552570236780767,0.7777777777777778,0.48405000264844533,0.3885397633109499
150,3,0.01,200,0.4,0.8018148820326679,0.4401512979773849,0.6666666666666666,0.519681615104956,0.42680911470981736
