C,kernel,gamma,degree,threshold,mean_accuracy,mean_precision,mean_recall, ,mean_mcc
100,rbf,scale,3,0.30000000000000004,0.9003825136612023,0.711025641,0.6599999999999999,0.6719381574139953,0.6223299710710137
100,rbf,scale,5,0.30000000000000004,0.9003825136612023,0.711025641,0.6599999999999999,0.6719381574139953,0.6223299710710137
100,rbf,scale,7,0.30000000000000004,0.9003825136612023,0.711025641,0.6599999999999999,0.6719381574139953,0.6223299710710137
10,rbf,scale,3,0.2,0.8805464480874317,0.6139527139527139,0.7266666666666666,0.6583954451345756,0.5950693609838105
10,rbf,scale,5,0.2,0.8805464480874317,0.6139527139527139,0.7266666666666666,0.6583954451345756,0.5950693609838105
10,rbf,scale,7,0.2,0.8805464480874317,0.6139527139527139,0.7266666666666666,0.6583954451345756,0.5950693609838105
10,rbf,scale,3,0.30000000000000004,0.8871584699453553,0.6724242424242425,0.6,0.61992674,0.564058999
10,rbf,scale,5,0.30000000000000004,0.8871584699453553,0.6724242424242425,0.6,0.61992674,0.564058999
10,rbf,scale,7,0.30000000000000004,0.8871584699453553,0.6724242424242425,0.6,0.61992674,0.564058999
100,rbf,scale,3,0.2,0.843879781,0.5078821178821179,0.7644444444444444,0.6064690382081687,0.5347208397497187
100,rbf,scale,5,0.2,0.843879781,0.5078821178821179,0.7644444444444444,0.6064690382081687,0.5347208397497187
100,rbf,scale,7,0.2,0.843879781,0.5078821178821179,0.7644444444444444,0.6064690382081687,0.5347208397497187
0.1,linear,scale,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.1,linear,scale,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.1,linear,scale,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.1,linear,auto,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.1,linear,auto,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.1,linear,auto,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,scale,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,scale,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,scale,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,auto,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,auto,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
1,linear,auto,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,scale,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,scale,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,scale,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,auto,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,auto,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
10,linear,auto,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,scale,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,scale,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,scale,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,auto,3,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,auto,5,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
100,linear,auto,7,0.2,0.8668852459016394,0.5630769230769231,0.6533333333333333,0.6028898332788493,0.5271165770315841
0.01,linear,scale,3,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,linear,scale,5,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,linear,scale,7,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,linear,auto,3,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,linear,auto,5,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,linear,auto,7,0.2,0.8802732240437159,0.6375901875901876,0.5733333333333335,0.5975163398692811,0.5328660451773387
0.01,rbf,scale,3,0.2,0.8605464480874317,0.5690909090909091,0.6422222222222222,0.5887912087912087,0.5174797537711966
0.01,rbf,scale,5,0.2,0.8605464480874317,0.5690909090909091,0.6422222222222222,0.5887912087912087,0.5174797537711966
0.01,rbf,scale,7,0.2,0.8605464480874317,0.5690909090909091,0.6422222222222222,0.5887912087912087,0.5174797537711966
10,rbf,scale,3,0.4,0.883825137,0.7422222222222222,0.47555555555555556,0.5587134502923977,0.5235990860388071
10,rbf,scale,5,0.4,0.883825137,0.7422222222222222,0.47555555555555556,0.5587134502923977,0.5235990860388071
10,rbf,scale,7,0.4,0.883825137,0.7422222222222222,0.47555555555555556,0.5587134502923977,0.5235990860388071
100,rbf,scale,3,0.4,0.8936612021857921,0.8095238095238095,0.4644444444444445,0.5496491228070176,0.5365892217335416
100,rbf,scale,5,0.4,0.8936612021857921,0.8095238095238095,0.4644444444444445,0.5496491228070176,0.5365892217335416
100,rbf,scale,7,0.4,0.8936612021857921,0.8095238095238095,0.4644444444444445,0.5496491228070176,0.5365892217335416
0.1,rbf,scale,3,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
0.1,rbf,scale,5,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
0.1,rbf,scale,7,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
1,rbf,scale,3,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
1,rbf,scale,5,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
1,rbf,scale,7,0.2,0.8538797814207651,0.5533333333333333,0.5777777777777778,0.5485964912280702,0.47322545157731116
10,rbf,scale,3,0.1,0.7177049180327869,0.3525186224092255,0.8955555555555555,0.5028042328042328,0.43453644236225814
10,rbf,scale,5,0.1,0.7177049180327869,0.3525186224092255,0.8955555555555555,0.5028042328042328,0.43453644236225814
10,rbf,scale,7,0.1,0.7177049180327869,0.3525186224092255,0.8955555555555555,0.5028042328042328,0.43453644236225814
100,rbf,scale,3,0.5,0.8936612021857924,0.9166666666666667,0.36,0.4935714285714286,0.5178613333590762
100,rbf,scale,5,0.5,0.8936612021857924,0.9166666666666667,0.36,0.4935714285714286,0.5178613333590762
100,rbf,scale,7,0.5,0.8936612021857924,0.9166666666666667,0.36,0.4935714285714286,0.5178613333590762
100,rbf,scale,3,0.1,0.6739890710382512,0.32896103896103895,0.9133333333333333,0.47823251823251817,0.4067891916155263
100,rbf,scale,5,0.1,0.6739890710382512,0.32896103896103895,0.9133333333333333,0.47823251823251817,0.4067891916155263
100,rbf,scale,7,0.1,0.6739890710382512,0.32896103896103895,0.9133333333333333,0.47823251823251817,0.4067891916155263
10,rbf,scale,3,0.5,0.8704371584699453,0.7333333333333333,0.3466666666666666,0.451890756,0.4341352096239978
10,rbf,scale,5,0.5,0.8704371584699453,0.7333333333333333,0.3466666666666666,0.451890756,0.4341352096239978
10,rbf,scale,7,0.5,0.8704371584699453,0.7333333333333333,0.3466666666666666,0.451890756,0.4341352096239978
100,rbf,scale,3,0.6,0.88704918,0.9099999999999999,0.3177777777777778,0.447965368,0.48028078703163624
100,rbf,scale,5,0.6,0.88704918,0.9099999999999999,0.3177777777777778,0.447965368,0.48028078703163624
100,rbf,scale,7,0.6,0.88704918,0.9099999999999999,0.3177777777777778,0.447965368,0.48028078703163624
0.01,sigmoid,scale,3,0.2,0.8273224043715848,0.4815406162464986,0.45111111111111113,0.4432167832167832,0.35904151703467113
0.01,sigmoid,scale,5,0.2,0.8273224043715848,0.4815406162464986,0.45111111111111113,0.4432167832167832,0.35904151703467113
0.01,sigmoid,scale,7,0.2,0.8273224043715848,0.4815406162464986,0.45111111111111113,0.4432167832167832,0.35904151703467113
1,rbf,scale,3,0.1,0.6380874316939891,0.29868128431595925,0.8977777777777778,0.44178134807558467,0.36493783662157575
1,rbf,scale,5,0.1,0.6380874316939891,0.29868128431595925,0.8977777777777778,0.44178134807558467,0.36493783662157575
1,rbf,scale,7,0.1,0.6380874316939891,0.29868128431595925,0.8977777777777778,0.44178134807558467,0.36493783662157575
0.1,sigmoid,scale,3,0.2,0.820655738,0.47411027568922304,0.45111111111111113,0.4366233766233766,0.35078412299408085
0.1,sigmoid,scale,5,0.2,0.820655738,0.47411027568922304,0.45111111111111113,0.4366233766233766,0.35078412299408085
0.1,sigmoid,scale,7,0.2,0.820655738,0.47411027568922304,0.45111111111111113,0.4366233766233766,0.35078412299408085
0.1,rbf,scale,3,0.1,0.6314207650273224,0.292958153,0.8977777777777778,0.435937713,0.35813849100096956
0.1,rbf,scale,5,0.1,0.6314207650273224,0.292958153,0.8977777777777778,0.435937713,0.35813849100096956
0.1,rbf,scale,7,0.1,0.6314207650273224,0.292958153,0.8977777777777778,0.435937713,0.35813849100096956
0.01,rbf,scale,3,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
0.01,rbf,scale,5,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
0.01,rbf,scale,7,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
0.1,rbf,scale,3,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
0.1,rbf,scale,5,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
0.1,rbf,scale,7,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
1,rbf,scale,3,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
1,rbf,scale,5,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
1,rbf,scale,7,0.30000000000000004,0.8505464480874316,0.5466666666666666,0.3666666666666666,0.421157059,0.3594185448034851
1,sigmoid,scale,3,0.2,0.8008743169398906,0.44726190476190475,0.45111111111111113,0.41692307692307684,0.3236406982851056
1,sigmoid,scale,5,0.2,0.8008743169398906,0.44726190476190475,0.45111111111111113,0.41692307692307684,0.3236406982851056
1,sigmoid,scale,7,0.2,0.8008743169398906,0.44726190476190475,0.45111111111111113,0.41692307692307684,0.3236406982851056
0.01,rbf,scale,3,0.4,0.8538251366120218,0.5738095238095238,0.32222222222222224,0.40309200603318257,0.35033187350985684
0.01,rbf,scale,5,0.4,0.8538251366120218,0.5738095238095238,0.32222222222222224,0.40309200603318257,0.35033187350985684
0.01,rbf,scale,7,0.4,0.8538251366120218,0.5738095238095238,0.32222222222222224,0.40309200603318257,0.35033187350985684
0.01,rbf,scale,3,0.1,0.5552459016393442,0.2598638068038313,0.8977777777777778,0.3958086885996773,0.3010006708774823
0.01,rbf,scale,5,0.1,0.5552459016393442,0.2598638068038313,0.8977777777777778,0.3958086885996773,0.3010006708774823
0.01,rbf,scale,7,0.1,0.5552459016393442,0.2598638068038313,0.8977777777777778,0.3958086885996773,0.3010006708774823
0.1,rbf,scale,3,0.4,0.8504918032786886,0.555952381,0.32222222222222224,0.3957390648567119,0.3398222373446652
0.1,rbf,scale,5,0.4,0.8504918032786886,0.555952381,0.32222222222222224,0.3957390648567119,0.3398222373446652
0.1,rbf,scale,7,0.4,0.8504918032786886,0.555952381,0.32222222222222224,0.3957390648567119,0.3398222373446652
1,rbf,scale,3,0.4,0.8504918032786886,0.555952381,0.32222222222222224,0.3957390648567119,0.3398222373446652
