n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1
10,10,2,1,gini,0.923030303030303,0.7152777777777777,0.8222222222222223,0.764418377321603
50,10,2,1,gini,0.923030303030303,0.7318121693121693,0.7777777777777778,0.7520589656295996
100,10,2,1,gini,0.9296969696969697,0.7625000000000001,0.7777777777777778,0.7698924731182796
10,10,5,1,gini,0.9062962962962963,0.6698691172375383,0.7555555555555555,0.7070092404778002
50,10,5,1,gini,0.9196632996632997,0.7183317771553065,0.7777777777777778,0.7446664925113201
100,10,5,1,gini,0.9296969696969697,0.750735294117647,0.7999999999999999,0.7740591397849462
10,10,2,2,gini,0.9162626262626263,0.7071428571428572,0.8000000000000002,0.7469534050179211
50,10,2,2,gini,0.9229629629629629,0.737037037037037,0.7777777777777778,0.7555555555555555
100,10,2,2,gini,0.922929292929293,0.7437761069340016,0.7777777777777778,0.7574487266170836
10,10,5,2,gini,0.9162289562289562,0.7151515151515152,0.8000000000000002,0.7495495495495496
50,10,5,2,gini,0.9162626262626263,0.7082602339181286,0.7777777777777778,0.7397006114273666
100,10,5,2,gini,0.9195959595959596,0.7382816014394962,0.7555555555555555,0.7426704014939309
10,30,2,1,gini,0.9397979797979797,0.8436674436674437,0.7333333333333334,0.7815628815628816
50,30,2,1,gini,0.9263973063973064,0.7682539682539682,0.7333333333333333,0.750191570881226
100,30,2,1,gini,0.9297643097643098,0.7857142857142857,0.7333333333333333,0.7586206896551723
10,30,5,1,gini,0.9029629629629629,0.6697670521199933,0.7111111111111111,0.6865079365079364
50,30,5,1,gini,0.9196969696969698,0.7236111111111111,0.7555555555555555,0.7390681003584229
100,30,5,1,gini,0.923030303030303,0.7410714285714285,0.7555555555555555,0.7474972191323692
10,30,2,2,gini,0.9128956228956229,0.7348484848484849,0.7555555555555555,0.730690988755505
50,30,2,2,gini,0.9263299663299662,0.7633053221288515,0.7555555555555555,0.7579022988505747
100,30,2,2,gini,0.9296969696969697,0.7767857142857143,0.7555555555555555,0.7652947719688544
10,30,5,2,gini,0.9028619528619529,0.6803232998885173,0.7555555555555555,0.706686070013744
50,30,5,2,gini,0.932996632996633,0.7871148459383753,0.7777777777777778,0.7808908045977011
100,30,5,2,gini,0.9330303030303031,0.7987637362637363,0.7555555555555555,0.7751469887176228
10,50,2,1,gini,0.9397979797979797,0.8436674436674437,0.7333333333333334,0.7815628815628816
50,50,2,1,gini,0.9263973063973064,0.7682539682539682,0.7333333333333333,0.750191570881226
100,50,2,1,gini,0.9297643097643098,0.7857142857142857,0.7333333333333333,0.7586206896551723
10,50,5,1,gini,0.9029629629629629,0.6697670521199933,0.7111111111111111,0.6865079365079364
50,50,5,1,gini,0.9196969696969698,0.7236111111111111,0.7555555555555555,0.7390681003584229
100,50,5,1,gini,0.923030303030303,0.7410714285714285,0.7555555555555555,0.7474972191323692
10,50,2,2,gini,0.9128956228956229,0.7348484848484849,0.7555555555555555,0.730690988755505
50,50,2,2,gini,0.9263299663299662,0.7633053221288515,0.7555555555555555,0.7579022988505747
100,50,2,2,gini,0.9296969696969697,0.7767857142857143,0.7555555555555555,0.7652947719688544
10,50,5,2,gini,0.9028619528619529,0.6803232998885173,0.7555555555555555,0.706686070013744
50,50,5,2,gini,0.932996632996633,0.7871148459383753,0.7777777777777778,0.7808908045977011
100,50,5,2,gini,0.9330303030303031,0.7987637362637363,0.7555555555555555,0.7751469887176228
10,10,2,1,entropy,0.9230976430976431,0.7222222222222222,0.8000000000000002,0.7585532746823068
50,10,2,1,entropy,0.9297643097643098,0.7493464052287582,0.8000000000000002,0.7733422939068101
100,10,2,1,entropy,0.933063973063973,0.7660130718954248,0.7999999999999999,0.7819444444444444
10,10,5,1,entropy,0.9163636363636364,0.7139265962795375,0.7555555555555555,0.7305194805194807
50,10,5,1,entropy,0.923030303030303,0.7285130718954248,0.7777777777777778,0.7518369175627241
100,10,5,1,entropy,0.9296969696969697,0.7619047619047619,0.7777777777777778,0.7690025954764552
10,10,2,2,entropy,0.9129292929292929,0.6812169312169312,0.8222222222222223,0.742913000977517
50,10,2,2,entropy,0.9263299663299662,0.748424369747899,0.7777777777777778,0.7616101223581757
100,10,2,2,entropy,0.9263299663299662,0.748424369747899,0.7777777777777778,0.7616101223581757
10,10,5,2,entropy,0.9095959595959596,0.6793650793650793,0.8000000000000002,0.7313131313131312
50,10,5,2,entropy,0.9195959595959596,0.725720551378446,0.7777777777777778,0.7481297302013129
100,10,5,2,entropy,0.9262962962962963,0.7544973544973544,0.7777777777777778,0.7639846743295019
10,30,2,1,entropy,0.9264983164983165,0.7857142857142857,0.7111111111111111,0.744997871434653
50,30,2,1,entropy,0.9297643097643098,0.7738095238095237,0.7555555555555555,0.7638116425658138
100,30,2,1,entropy,0.9364309764309763,0.8095238095238094,0.7555555555555555,0.7816091954022989
10,30,5,1,entropy,0.9130639730639731,0.7117063492063492,0.7111111111111111,0.710888641700655
50,30,5,1,entropy,0.9263973063973064,0.7563492063492063,0.7555555555555555,0.7553825237918675
