learning_rate,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.01,3,50,0.8494915254237287,1.0,0.0,0.0,0.0,0.14711757859534016
0.01,3,100,0.9464406779661017,1.0,0.6444444444444445,0.7807142857142857,0.777412188009807,0.1471176127090203
0.01,3,200,0.9564406779661017,1.0,0.711111111111111,0.82609243697479,0.8206039878663228,0.1471176404682343
0.01,3,300,0.9497175141242937,1.0,0.6666666666666666,0.789169360051713,0.789138208451637,0.147117662876237
0.01,5,50,0.8494915254237287,1.0,0.0,0.0,0.0,0.1471176839464369
0.01,5,100,0.9464406779661017,1.0,0.6444444444444445,0.7807142857142857,0.777412188009807,0.14711770066887492
0.01,5,200,0.9597175141242937,1.0,0.7333333333333332,0.8345475113122174,0.8323300083081527,0.1471177214046241
0.01,5,300,0.9563841807909604,1.0,0.711111111111111,0.8213122171945703,0.8186135247516739,0.1471177421404706
0.01,7,50,0.8494915254237287,1.0,0.0,0.0,0.0,0.14711776287621978
0.01,7,100,0.9464406779661017,1.0,0.6444444444444445,0.7807142857142857,0.777412188009807,0.14711777859530567
0.01,7,200,0.9597175141242937,1.0,0.7333333333333332,0.8345475113122174,0.8323300083081527,0.14711780100330837
0.01,7,300,0.9563841807909604,1.0,0.711111111111111,0.8213122171945703,0.8186135247516739,0.1471178224080563
0.01,10,50,0.8494915254237287,1.0,0.0,0.0,0.0,0.1471178438127069
0.01,10,100,0.9464406779661017,1.0,0.6444444444444445,0.7807142857142857,0.777412188009807,0.1471178588628914
0.01,10,200,0.9597175141242937,1.0,0.7333333333333332,0.8345475113122174,0.8323300083081527,0.14711787926418984
0.01,10,300,0.9563841807909604,1.0,0.711111111111111,0.8213122171945703,0.8186135247516739,0.1471179003343897
0.1,3,50,0.9631638418079096,1.0,0.7555555555555555,0.858235294117647,0.8500954966625571,0.14711792073578553
0.1,3,100,0.9598305084745762,1.0,0.7333333333333333,0.84109243697479,0.8349451996524373,0.14711794113708399
0.1,3,200,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667,0.1471179612040291
0.1,3,300,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667,0.14711798160532755
