alpha,accuracy,precision,recall,f1,preparationTime
0.001,0.9196610169491526,0.7517460317460317,0.6666666666666666,0.6996031746031746,0.0004664294314212524
0.01,0.9128813559322035,0.7313131313131314,0.6666666666666666,0.6888888888888889,0.00046645418077358435
0.1,0.8928248587570622,0.6527777777777778,0.6444444444444444,0.6450046685340803,0.00046646856176464456
1.0,0.9063276836158194,0.7016666666666667,0.6444444444444444,0.6672445820433436,0.00046648160573157377
10.0,0.8996610169491526,0.95,0.3555555555555555,0.5078921078921079,0.00046649431485844696
