C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
0.01,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.01594332709030893
0.01,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.01594335418062154
0.01,poly,0.8461616161616162,0.6666666666666666,0.0,0.0,-0.01407334436402497,0.01594336755855249
0.01,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.015943381270836807
0.1,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.015943393979866344
0.1,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.01594340802669871
0.1,poly,0.8461616161616162,0.6666666666666666,0.0,0.0,-0.01407334436402497,0.01594341872912134
0.1,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.01594343076924946
1.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.015943439799321217
1.0,rbf,0.8494949494949494,1.0,0.0,0.0,0.0,0.015943452173900047
1.0,poly,0.8561952861952862,0.8888888888888888,0.06666666666666667,0.11574074074074074,0.16450397529403413,0.015943461872873217
1.0,sigmoid,0.8494949494949494,1.0,0.0,0.0,0.0,0.015943476923057705
10.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.01594348595312946
10.0,rbf,0.8896296296296295,0.9523809523809524,0.2888888888888889,0.4332801701222753,0.4825148119604272,0.015943498662158995
10.0,poly,0.8628619528619529,0.8055555555555555,0.13333333333333333,0.22100389863547756,0.27883636538904,0.01594351404679419
10.0,sigmoid,0.8595959595959596,0.5824175824175825,0.3333333333333333,0.41558441558441556,0.36467043225850304,0.01594352742472514
100.0,linear,0.9196632996632997,0.8366402116402116,0.6,0.6675450153711023,0.6551020597348539,0.01594354080265609
100.0,rbf,0.9196632996632997,0.9047619047619048,0.5333333333333333,0.6481564412598896,0.6477682409015256,0.015943554515037747
100.0,poly,0.8627946127946128,0.65,0.19999999999999998,0.30526315789473685,0.3068173264373793,0.01594356889632082
100.0,sigmoid,0.7827609427609428,0.3223905723905724,0.35555555555555557,0.3325749992416659,0.20828125983701573,0.01594358193980106
