n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
3,cosine,uniform,0.8704290429042905,0.6566137566137565,0.36388888888888893,0.4649275362318841,0.4227323246001637,0.0007966402292331744
3,cosine,distance,0.8837623762376238,0.7428571428571429,0.38611111111111107,0.5031884057971014,0.4790108392289163,0.0007966402292331744
5,cosine,uniform,0.8704290429042905,0.7424242424242425,0.3236111111111111,0.4215024741340531,0.41503967661511815,0.0007966402292331744
5,cosine,distance,0.8870627062706271,0.8282828282828283,0.3666666666666667,0.4853146853146853,0.49169688824947483,0.0007966402292331744
7,cosine,uniform,0.8604620462046205,0.8333333333333334,0.1708333333333333,0.2760942760942761,0.3268500934658452,0.0007966402292331744
7,cosine,distance,0.8804290429042904,0.8472222222222222,0.3013888888888889,0.42937382983149575,0.45039104471224184,0.0007966402292331744
9,cosine,uniform,0.8538613861386138,0.8888888888888888,0.0861111111111111,0.14860681114551083,0.19437301553900851,0.0007966402292331744
9,cosine,distance,0.8770957095709572,0.8888888888888888,0.2569444444444444,0.39314194577352474,0.43285257154111956,0.0007966402292331744
11,cosine,uniform,0.8538613861386138,0.8888888888888888,0.0861111111111111,0.14860681114551083,0.19437301553900851,0.0007966402292331744
11,cosine,distance,0.8704620462046204,0.9166666666666666,0.19305555555555554,0.3144249512670565,0.3806745049607789,0.0007966402292331744
15,cosine,uniform,0.8571617161716172,1.0,0.0861111111111111,0.1568627450980392,0.26694657502501457,0.0007966402292331744
15,cosine,distance,0.8737953795379538,1.0,0.19444444444444442,0.3148148148148148,0.4003492545848708,0.0007966402292331744
20,cosine,uniform,0.8438613861386138,1.0,0.0,0.0,0.0,0.0007966402292331744
20,cosine,distance,0.8671287128712871,1.0,0.15,0.25925925925925924,0.3578556770076788,0.0007966402292331744
3,euclidean,uniform,0.8637293729372937,0.7222222222222222,0.2347222222222222,0.3512265512265513,0.35597619821487214,0.0007966402292331744
3,euclidean,distance,0.887029702970297,0.8857142857142857,0.32083333333333336,0.4675324675324675,0.4899472420234552,0.0007966402292331744
5,euclidean,uniform,0.8670627062706271,0.7666666666666666,0.19305555555555554,0.3037037037037037,0.3393870189464107,0.0007966402292331744
5,euclidean,distance,0.8836963696369637,1.0,0.2569444444444444,0.3994708994708995,0.4664871329443656,0.0007966402292331744
7,euclidean,uniform,0.8537953795379538,0.611111111111111,0.1486111111111111,0.23232323232323235,0.2455916640664888,0.0007966402292331744
7,euclidean,distance,0.8704290429042905,0.9047619047619048,0.2125,0.3301127214170692,0.3871355146074075,0.0007966402292331744
9,euclidean,uniform,0.8439273927392739,0.5,0.06527777777777778,0.11546840958605664,0.13696371614088396,0.0007966402292331744
9,euclidean,distance,0.8572277227722772,0.7777777777777777,0.12916666666666668,0.22027290448343076,0.2765939689969739,0.0007966402292331744
11,euclidean,uniform,0.8571617161716172,1.0,0.0861111111111111,0.1568627450980392,0.26694657502501457,0.0007966402292331744
11,euclidean,distance,0.8638283828382839,1.0,0.12916666666666668,0.224400871459695,0.3254844651091617,0.0007966402292331744
15,euclidean,uniform,0.8504950495049505,1.0,0.041666666666666664,0.0784313725490196,0.1535905682227471,0.0007966402292331744
15,euclidean,distance,0.8604950495049505,1.0,0.10694444444444444,0.19172113289760348,0.299294489064371,0.0007966402292331744
20,euclidean,uniform,0.8438613861386138,1.0,0.0,0.0,0.0,0.0007966402292331744
20,euclidean,distance,0.8504950495049505,1.0,0.04305555555555555,0.08088235294117647,0.1565784885402489,0.0007966402292331744
