pca_n_components,C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
180,0.01,linear,0.9094915254237289,0.7514285714285714,0.5666666666666667,0.6357836899942163,0.5998457556652517,0.16315886375838126
180,0.01,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315889496644065
180,0.01,poly,0.8524293785310734,0.8,0.025,0.04444444444444444,0.055368442002809236,0.16315890838926397
180,0.01,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315892416107408
180,0.1,linear,0.9094350282485877,0.7554545454545455,0.5888888888888888,0.6471105365223012,0.6118258327143952,0.16315893489932543
180,0.1,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315895000000166
180,0.1,poly,0.8490395480225988,0.8,0.0,0.0,-0.010938056352464587,0.16315896006710698
180,0.1,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.1631589818791949
180,1.0,linear,0.9094350282485877,0.7554545454545455,0.5888888888888888,0.6471105365223012,0.6118258327143952,0.1631589949664452
180,1.0,rbf,0.8523728813559324,0.8,0.02222222222222222,0.04,0.051044262978168074,0.16315900973153621
180,1.0,poly,0.8557627118644067,0.9,0.04722222222222222,0.0808080808080808,0.1027100660797379,0.1631590224832135
180,1.0,sigmoid,0.8490960451977401,0.7,0.04722222222222222,0.0808080808080808,0.08710853705496757,0.16315903590603684
180,10.0,linear,0.9094350282485877,0.7554545454545455,0.5888888888888888,0.6471105365223012,0.6118258327143952,0.163159049999994
180,10.0,rbf,0.8893785310734463,0.8428571428571429,0.3611111111111111,0.4808041958041958,0.4903382369980416,0.16315906375839037
180,10.0,poly,0.8657627118644069,0.9333333333333332,0.11388888888888889,0.18383838383838386,0.22110606133663993,0.16315907785234757
180,10.0,sigmoid,0.8457627118644068,0.48,0.27222222222222225,0.3379271708683473,0.2769446979515776,0.16315909161073172
180,100.0,linear,0.9094350282485877,0.7554545454545455,0.5888888888888888,0.6471105365223012,0.6118258327143952,0.1631591060402619
180,100.0,rbf,0.9062146892655368,0.8055555555555556,0.475,0.5784926184926185,0.565413219642752,0.16315911946308526
180,100.0,poly,0.8590960451977401,0.7,0.15555555555555553,0.2246153846153846,0.22225915432854895,0.16315913355704242
180,100.0,sigmoid,0.8123163841807909,0.403015873015873,0.3611111111111111,0.36125251814038994,0.26542540060847203,0.16315914731542658
200,0.01,linear,0.9195480225988701,0.7933333333333333,0.5888888888888888,0.6649315596684018,0.6370439857469953,0.1631591604026769
200,0.01,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.1631591734899272
200,0.01,poly,0.8524293785310734,0.8,0.025,0.04444444444444444,0.055368442002809236,0.1631591832214717
200,0.01,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.1631591949664421
200,0.1,linear,0.9128813559322035,0.78,0.5666666666666667,0.6457836899942163,0.6146537053766268,0.1631592046979866
200,0.1,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315921744966386
200,0.1,poly,0.8490395480225988,0.8,0.0,0.0,-0.010938056352464587,0.16315922718120834
200,0.1,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.1631592382550327
200,1.0,linear,0.9128813559322035,0.78,0.5666666666666667,0.6457836899942163,0.6146537053766268,0.16315924765100415
200,1.0,rbf,0.8523728813559324,0.8,0.02222222222222222,0.04,0.051044262978168074,0.1631592610738275
200,1.0,poly,0.8557627118644067,0.9,0.04722222222222222,0.0808080808080808,0.1027100660797379,0.16315927348993176
200,1.0,sigmoid,0.8490960451977401,0.7,0.04722222222222222,0.0808080808080808,0.08710853705496757,0.1631592869127429
200,10.0,linear,0.9128813559322035,0.78,0.5666666666666667,0.6457836899942163,0.6146537053766268,0.1631592999999932
200,10.0,rbf,0.8893785310734463,0.8428571428571429,0.3611111111111111,0.4808041958041958,0.4903382369980416,0.16315931342281653
200,10.0,poly,0.8657627118644069,0.9333333333333332,0.11388888888888889,0.18383838383838386,0.22110606133663993,0.16315932785234674
200,10.0,sigmoid,0.8457627118644068,0.48,0.27222222222222225,0.3379271708683473,0.2769446979515776,0.1631593416107309
200,100.0,linear,0.9128813559322035,0.78,0.5666666666666667,0.6457836899942163,0.6146537053766268,0.16315935436240817
200,100.0,rbf,0.9062146892655368,0.7933333333333333,0.49722222222222223,0.5841786283891547,0.5700449936258394,0.16315936677852463
200,100.0,poly,0.8590960451977401,0.7,0.15555555555555553,0.2246153846153846,0.22225915432854895,0.16315938087248183
200,100.0,sigmoid,0.8157062146892656,0.4125396825396826,0.3611111111111111,0.36506204194991376,0.27211604622853297,0.1631593936241591
220,0.01,linear,0.9195480225988701,0.8236363636363636,0.5888888888888888,0.6661538461538462,0.6466292446978781,0.16315940704697024
220,0.01,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315942046979356
220,0.01,poly,0.8524293785310734,0.8,0.025,0.04444444444444444,0.055368442002809236,0.163159429865765
220,0.01,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315944228188148
220,0.1,linear,0.9195480225988701,0.8236363636363636,0.5888888888888888,0.6661538461538462,0.6466292446978781,0.1631594523489868
220,0.1,rbf,0.8523728813559321,1.0,0.0,0.0,0.0,0.16315946577181012
220,0.1,poly,0.8490395480225988,0.8,0.0,0.0,-0.010938056352464587,0.16315947617448845
220,0.1,sigmoid,0.8523728813559321,1.0,0.0,0.0,0.0,0.163159486912752
220,1.0,linear,0.9195480225988701,0.8236363636363636,0.5888888888888888,0.6661538461538462,0.6466292446978781,0.16315949630872345
