pca_n_components,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
167,10,10,2,1,gini,0.8694612794612794,0.5727272727272728,0.26666666666666666,0.3366515837104072,0.31924462976578843,1.7719766454848835
167,50,10,2,1,gini,0.862929292929293,0.6904761904761904,0.17777777777777778,0.27153891859774215,0.29405257072492746,1.7719766862875779
167,100,10,2,1,gini,0.8728956228956228,0.7277777777777779,0.24444444444444446,0.3639933166248956,0.3717073344998623,1.7719767107022848
167,300,10,2,1,gini,0.8795959595959596,0.8666666666666667,0.24444444444444446,0.37777777777777777,0.4178567831104147,1.771976733779189
167,500,10,2,1,gini,0.8795959595959596,0.8611111111111112,0.24444444444444446,0.37510442773600666,0.4149396980993864,1.7719767548494862
167,10,10,5,1,gini,0.8628956228956229,0.6888888888888888,0.2222222222222222,0.31176470588235294,0.3184898663010582,1.771976775919686
167,50,10,5,1,gini,0.8662289562289563,0.8333333333333334,0.15555555555555556,0.25971792225662194,0.3195064836640736,1.7719767966554352
167,100,10,5,1,gini,0.8628282828282828,0.6047619047619047,0.19999999999999998,0.2907308377896613,0.28741486417199313,1.771976817056831
167,300,10,5,1,gini,0.8728619528619529,0.7555555555555555,0.2222222222222222,0.34074074074074073,0.363075471849255,1.771976839130383
167,500,10,5,1,gini,0.8728956228956228,0.8111111111111112,0.2222222222222222,0.3371615312791783,0.3708044617741153,1.7719768595317789
167,10,10,2,2,gini,0.8595622895622895,0.8666666666666667,0.11111111111111112,0.1784313725490196,0.20964049152541406,1.7719768816053307
167,50,10,2,2,gini,0.8662289562289563,1.0,0.11111111111111112,0.19852941176470587,0.30637156479333766,1.7719769020066294
167,100,10,2,2,gini,0.8728956228956228,1.0,0.15555555555555556,0.26044891640866874,0.3549864439589952,1.7719769234113771
167,300,10,2,2,gini,0.8762289562289562,1.0,0.17777777777777778,0.2972136222910217,0.3885934993651212,1.7719769431437742
167,500,10,2,2,gini,0.8695622895622895,0.8888888888888888,0.15555555555555556,0.26361655773420484,0.3376346574470614,1.7719769622073673
167,10,10,5,2,gini,0.8594949494949495,0.5714285714285715,0.19999999999999998,0.291866028708134,0.2776930910375266,1.7719769829431165
167,50,10,5,2,gini,0.8695286195286195,0.8055555555555555,0.17777777777777778,0.290448343079922,0.3385403994365836,1.7719770033444149
167,100,10,5,2,gini,0.8628619528619529,0.8333333333333334,0.1111111111111111,0.19199346405228757,0.2659038929369513,1.7719770244147122
167,300,10,5,2,gini,0.8662289562289563,0.9166666666666666,0.13333333333333333,0.2253611971104231,0.30734794808607613,1.7719770458193627
167,500,10,5,2,gini,0.8695286195286195,0.9166666666666666,0.15555555555555556,0.2580409356725146,0.3335602802310236,1.771977066220661
167,10,30,2,1,gini,0.8595622895622895,0.6388888888888888,0.13333333333333333,0.2185529182433207,0.24566755012668395,1.7719770872909584
167,50,30,2,1,gini,0.8695622895622895,0.8055555555555555,0.20000000000000004,0.3106786574278834,0.349381170945132,1.7719771086956089
167,100,30,2,1,gini,0.8661952861952861,0.6888888888888888,0.19999999999999998,0.3074074074074074,0.3202426341023726,1.771977129765809
167,300,30,2,1,gini,0.8728619528619529,0.7555555555555555,0.2222222222222222,0.34074074074074073,0.363075471849255,1.7719771511705567
167,500,30,2,1,gini,0.8762626262626263,0.85,0.22222222222222224,0.34970760233918124,0.3929824505280528,1.7719771722407567
