n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
10,entropy,10.0,2,1,0.1,0.512090395480226,0.06746487814609836,0.22913041411115867,0.019354264632075735,0.9333333333333333,0.09938079899999067,0.36645862884160757,0.019603443567205628,0.27739820042941454,0.03513252656393053
10,entropy,10.0,2,1,0.2,0.7328248587570622,0.08892999045756925,0.35927601809954746,0.09867470105266685,0.8222222222222222,0.09938079899999067,0.49228858098423317,0.09110541484841897,0.41286876103642445,0.11402080641425179
10,entropy,10.0,2,1,0.30000000000000004,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,10.0,2,1,0.4,0.8561581920903955,0.02546872979034576,0.5277777777777778,0.09160351359911749,0.4444444444444445,0.13608276348795434,0.4746103569632981,0.11779521681214666,0.3993940268735078,0.11707810896504085
10,entropy,10.0,2,1,0.5,0.8627683615819208,0.028177452808147912,0.51,0.31701734968294715,0.26666666666666666,0.16850834320114555,0.34813186813186814,0.21693543503326257,0.3061881954974516,0.23057379550124868
10,entropy,10.0,2,1,0.6,0.8761581920903956,0.03085219123052661,0.8333333333333333,0.23570226039551587,0.22222222222222224,0.17568209223157663,0.3261072261072261,0.2455288030996079,0.3392600045427521,0.26021387553240616
10,entropy,10.0,2,1,0.7000000000000001,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,10.0,2,1,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
10,entropy,10.0,2,1,0.9,0.8561581920903955,0.009648867372810756,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.12396463866126532,0.16974557231938012
10,entropy,10.0,2,2,0.1,0.5656497175141244,0.07691675940292095,0.25290980094183757,0.032698800213429136,0.9333333333333333,0.09938079899999067,0.3954791438903372,0.03316076366541894,0.31807041193593083,0.048045826045340176
10,entropy,10.0,2,2,0.2,0.7794350282485876,0.07716245315127214,0.40341798552324865,0.10827442476442072,0.7777777777777778,0.0785674201318386,0.5259670437089792,0.10290595138268563,0.44378489064099025,0.1291489481799213
10,entropy,10.0,2,2,0.30000000000000004,0.8328813559322035,0.06945838859014282,0.4943956043956044,0.20325081157107097,0.4666666666666667,0.14487116456005888,0.4669002050580998,0.1557846965768636,0.3777810083744669,0.19420391390631908
10,entropy,10.0,2,2,0.4,0.8494915254237287,0.052716890175268705,0.5416666666666667,0.24650332429581734,0.3333333333333333,0.13608276348795434,0.4048265460030166,0.1678130553926306,0.34092199322533373,0.2052659481350113
10,entropy,10.0,2,2,0.5,0.8594915254237288,0.03050690516992864,0.6833333333333333,0.32489314482696546,0.17777777777777776,0.09938079899999064,0.2737995337995338,0.14405439758978614,0.28877046229059733,0.1774210877541072
10,entropy,10.0,2,2,0.6,0.8695480225988701,0.007768104772334472,1.0,0.0,0.13333333333333333,0.049690399499995326,0.23272727272727273,0.07318040653635677,0.3362540685246137,0.05913826951975007
