criterion,splitter,max_depth,min_samples_split,min_samples_leaf,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,f1,storage,preparationTime,predictionTime
gini,best,None,2,1,37.56666666666667,37.43333333333333,9.433333333333334,9.566666666666666,0.641971916971917,0.6185185185185187,0.6385964912280703,0.6211592297737809,379617,0.17689139546097482,0.002302637080996302
gini,best,None,2,2,37.56666666666667,37.43333333333333,9.433333333333334,9.566666666666666,0.6616982091982092,0.5881481481481483,0.6403508771929826,0.6108648635132682,379617,0.1043618031917665,0.001337350007472081
gini,best,None,2,4,37.666666666666664,37.333333333333336,9.333333333333334,9.666666666666666,0.6372613035113035,0.6440740740740741,0.6456140350877193,0.6270628715022981,379617,0.10435676269513568,0.0013448781037753443
gini,best,None,5,1,37.5,37.5,9.5,9.5,0.7322261997261997,0.7277777777777779,0.7140350877192982,0.7123621484606139,379617,0.10539674517702952,0.001351093587156231
gini,best,None,5,2,37.333333333333336,37.666666666666664,9.666666666666666,9.333333333333334,0.7064459614459616,0.6255555555555556,0.6771929824561403,0.6589726785705384,379617,0.10529695290763726,0.0013525619522180032
gini,best,None,5,4,37.5,37.5,9.5,9.5,0.6612736337736338,0.5925925925925927,0.6315789473684211,0.6102258470130996,379617,0.10476400070949096,0.001351919962677811
gini,best,None,10,1,37.6,37.4,9.4,9.6,0.7283190883190884,0.6466666666666668,0.6912280701754387,0.6698372751546127,379617,0.1066967722692715,0.0013700618103764798
gini,best,None,10,2,37.6,37.4,9.4,9.6,0.6272970547970547,0.6437037037037037,0.6333333333333333,0.6265541061068723,379617,0.10708585028347464,0.00137783244120981
gini,best,None,10,4,37.53333333333333,37.46666666666667,9.466666666666667,9.533333333333333,0.7205747955747956,0.6562962962962964,0.6947368421052631,0.6803670346394807,379617,0.10364008602827329,0.0013354724897338109
gini,best,10,2,1,37.6,37.4,9.4,9.6,0.6903922003922004,0.6737037037037037,0.6807017543859649,0.6746914188322857,379617,0.105152576312295,0.0013499677379575188
gini,best,10,2,2,37.43333333333333,37.56666666666667,9.566666666666666,9.433333333333334,0.6231961556961554,0.5655555555555556,0.6035087719298246,0.5776579591918132,379617,0.11397446687968708,0.001465485427399574
gini,best,10,2,4,37.43333333333333,37.56666666666667,9.566666666666666,9.433333333333334,0.6507106782106783,0.5548148148148149,0.617543859649123,0.5873346318857156,379617,0.1038383309215694,0.0013402201269080765
gini,best,10,5,1,37.46666666666667,37.53333333333333,9.533333333333333,9.466666666666667,0.683094128094128,0.607777777777778,0.6473684210526316,0.6301200405164599,379617,0.10613812836862394,0.0013593718402349897
gini,best,10,5,2,37.266666666666666,37.733333333333334,9.733333333333333,9.266666666666667,0.6935630110630109,0.599259259259259,0.6508771929824562,0.6326998832494187,379617,0.10407121333346041,0.001336543508773273
gini,best,10,5,4,37.6,37.4,9.4,9.6,0.689086654086654,0.6340740740740742,0.6754385964912281,0.6488196501976958,379617,0.10366152645358126,0.0013401736954082916
gini,best,10,10,1,37.5,37.5,9.5,9.5,0.6356416731416731,0.6148148148148148,0.6280701754385964,0.6147376184137524,379617,0.10440772858126961,0.001338504986933122
