n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc,preparationTime
3,uniform,euclidean,0.7738251366120218,0.4026347687400319,0.7022222222222222,0.49877330242441803,0.40503949688461416,0.0003529343754140742
3,distance,euclidean,0.8271584699453551,0.49492424242424243,0.7022222222222222,0.565266106442577,0.48709268205676165,0.0003529343754140742
5,uniform,euclidean,0.7406557377049181,0.34904761904761905,0.7022222222222222,0.4585742264003133,0.3558232163222673,0.0003529343754140742
5,distance,euclidean,0.790655737704918,0.4159430438842204,0.7022222222222222,0.5107744107744108,0.4226152143390851,0.0003529343754140742
7,uniform,euclidean,0.7339344262295082,0.3554256389770222,0.7022222222222221,0.46271463169514143,0.3551891669090636,0.0003529343754140742
7,distance,euclidean,0.7839344262295083,0.41257918552036194,0.7022222222222221,0.5119572536963841,0.41723862275499746,0.0003529343754140742
9,uniform,euclidean,0.7307103825136613,0.3551225490196078,0.7244444444444443,0.46845222708637346,0.3633670139681245,0.0003529343754140742
9,distance,euclidean,0.7607103825136613,0.38767435830956704,0.7244444444444443,0.4971089596901955,0.3995614541876874,0.0003529343754140742
11,uniform,euclidean,0.7107650273224044,0.32857456140350877,0.7244444444444443,0.44631466094880734,0.3362666830028445,0.0003529343754140742
11,distance,euclidean,0.7473770491803278,0.3695076400679117,0.7466666666666666,0.4863448275862069,0.3924662795726373,0.0003529343754140742
15,uniform,euclidean,0.7339890710382514,0.3623455553329326,0.7466666666666666,0.47757363253856944,0.37975199264836046,0.0003529343754140742
15,distance,euclidean,0.7573224043715847,0.38963488124778445,0.7688888888888888,0.5061024033437826,0.4199371541187366,0.0003529343754140742
20,uniform,euclidean,0.7240983606557376,0.3374449624449624,0.7,0.44824203574203575,0.3377623438545346,0.0003529343754140742
20,distance,euclidean,0.7307650273224043,0.35036463536463536,0.7222222222222221,0.4641100834649222,0.35929326626149816,0.0003529343754140742
3,uniform,cosine,0.780655737704918,0.4005714285714285,0.768888888888889,0.5189592760180995,0.43951838547851746,0.0003529343754140742
3,distance,cosine,0.8239344262295081,0.4680361305361306,0.7466666666666667,0.566845388365725,0.49252268091839924,0.0003529343754140742
5,uniform,cosine,0.730655737704918,0.3657738095238095,0.7911111111111111,0.48625717650107897,0.4028189619792261,0.0003529343754140742
5,distance,cosine,0.7906010928961749,0.427014652014652,0.7911111111111111,0.5432049689440993,0.47049992030110965,0.0003529343754140742
7,uniform,cosine,0.7039890710382515,0.3410644257703081,0.7911111111111111,0.46284382284382286,0.37439542558076944,0.0003529343754140742
7,distance,cosine,0.7772677595628416,0.4156410256410257,0.7911111111111111,0.5309626464409073,0.4570168879071712,0.0003529343754140742
9,uniform,cosine,0.6674316939890711,0.30481803143093467,0.7911111111111111,0.43008547008547005,0.3325769943531897,0.0003529343754140742
9,distance,cosine,0.7573770491803279,0.38285327924273155,0.7911111111111111,0.5062250575934787,0.42693144108535896,0.0003529343754140742
11,uniform,cosine,0.6774863387978142,0.3077310924369748,0.7688888888888888,0.4316531165311653,0.32754799799745726,0.0003529343754140742
11,distance,cosine,0.777377049180328,0.4053333333333334,0.7911111111111111,0.5268520499108734,0.45053042710915553,0.0003529343754140742
15,uniform,cosine,0.6808196721311475,0.31363676571106913,0.7666666666666666,0.43675670816938894,0.331738778141831,0.0003529343754140742
15,distance,cosine,0.747431693989071,0.36541121150654615,0.7666666666666666,0.48762352531452696,0.39968899217579035,0.0003529343754140742
20,uniform,cosine,0.6907650273224043,0.3106892230576441,0.7,0.42250622940278115,0.30463970204682544,0.0003529343754140742
20,distance,cosine,0.7507103825136612,0.37696969696969695,0.7688888888888888,0.4955191618417425,0.40934875824959543,0.0003529343754140742
