max_depth,n_estimators,learning_rate,accuracy,precision,recall,f1,mcc,preparationTime
3,150,0.01,0.9401639344262295,0.9272727272727274,0.6977777777777778,0.7772564896403906,0.7654976504025677,0.0003456372392027762
3,100,0.01,0.9434972677595628,0.9272727272727274,0.72,0.7970367094206103,0.7818039608595521,0.0003456372392027762
3,200,0.01,0.9468306010928961,0.9400000000000001,0.72,0.8044051304732418,0.7905006323025131,0.0003456372392027762
3,300,0.01,0.9468306010928961,0.9400000000000001,0.72,0.8044051304732418,0.7905006323025131,0.0003456372392027762
5,150,0.01,0.9501639344262294,0.9333333333333332,0.7644444444444444,0.8244176618015627,0.8117519162365918,0.0003456372392027762
5,100,0.01,0.9533879781420763,0.9333333333333332,0.7822222222222223,0.8341854636591478,0.8227128302214893,0.0003456372392027762
5,200,0.01,0.9468306010928961,0.9333333333333332,0.7422222222222222,0.8094176618015627,0.7974268969466746,0.0003456372392027762
5,300,0.01,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
7,150,0.01,0.9468306010928961,0.9333333333333332,0.7422222222222222,0.8094176618015627,0.7974268969466746,0.0003456372392027762
7,100,0.01,0.9533879781420763,0.9333333333333332,0.7822222222222223,0.8341854636591478,0.8227128302214893,0.0003456372392027762
7,200,0.01,0.9468306010928961,0.9333333333333332,0.7422222222222222,0.8094176618015627,0.7974268969466746,0.0003456372392027762
7,300,0.01,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
10,150,0.01,0.9468306010928961,0.9333333333333332,0.7422222222222222,0.8094176618015627,0.7974268969466746,0.0003456372392027762
10,100,0.01,0.9533879781420763,0.9333333333333332,0.7822222222222223,0.8341854636591478,0.8227128302214893,0.0003456372392027762
10,200,0.01,0.9468306010928961,0.9333333333333332,0.7422222222222222,0.8094176618015627,0.7974268969466746,0.0003456372392027762
10,300,0.01,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
3,150,0.1,0.9468306010928963,0.9121212121212121,0.7422222222222222,0.8075128998968009,0.7899626558645207,0.0003456372392027762
3,100,0.1,0.9534972677595629,0.9454545454545455,0.7644444444444444,0.8320367094206104,0.8202547133449407,0.0003456372392027762
3,200,0.1,0.9468306010928963,0.9121212121212121,0.7422222222222222,0.8075128998968009,0.7899626558645207,0.0003456372392027762
3,300,0.1,0.9468306010928963,0.9121212121212121,0.7422222222222222,0.8075128998968009,0.7899626558645207,0.0003456372392027762
5,150,0.1,0.9534972677595629,0.9454545454545455,0.7644444444444444,0.8320367094206104,0.8202547133449407,0.0003456372392027762
5,100,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
5,200,0.1,0.9534972677595629,0.9454545454545455,0.7644444444444444,0.8320367094206104,0.8202547133449407,0.0003456372392027762
5,300,0.1,0.9534972677595629,0.9454545454545455,0.7644444444444444,0.8320367094206104,0.8202547133449407,0.0003456372392027762
7,150,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
7,100,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
7,200,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
7,300,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
10,150,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
10,100,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
10,200,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
10,300,0.1,0.9568306010928962,0.9454545454545455,0.7866666666666667,0.8452720035382575,0.8339711969014194,0.0003456372392027762
3,150,0.3,0.9534972677595629,0.9121212121212121,0.7866666666666667,0.835748194014448,0.8180041587109168,0.0003456372392027762
3,100,0.3,0.9534972677595629,0.9121212121212121,0.7866666666666667,0.835748194014448,0.8180041587109168,0.0003456372392027762
3,200,0.3,0.9534972677595629,0.9121212121212121,0.7866666666666667,0.835748194014448,0.8180041587109168,0.0003456372392027762
3,300,0.3,0.9534972677595629,0.9121212121212121,0.7866666666666667,0.835748194014448,0.8180041587109168,0.0003456372392027762
5,150,0.3,0.9468306010928963,0.8883116883116884,0.7644444444444444,0.8141795665634675,0.7915708939094847,0.0003456372392027762
5,100,0.3,0.9468306010928963,0.8883116883116884,0.7644444444444444,0.8141795665634675,0.7915708939094847,0.0003456372392027762
5,200,0.3,0.9468306010928963,0.8883116883116884,0.7644444444444444,0.8141795665634675,0.7915708939094847,0.0003456372392027762
5,300,0.3,0.9468306010928963,0.8883116883116884,0.7644444444444444,0.8141795665634675,0.7915708939094847,0.0003456372392027762
7,150,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
7,100,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
7,200,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
7,300,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
10,150,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
10,100,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
10,200,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
10,300,0.3,0.9501639344262296,0.8883116883116884,0.7866666666666667,0.8274148606811146,0.8052873774659635,0.0003456372392027762
3,150,0.5,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
3,100,0.5,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
3,200,0.5,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
3,300,0.5,0.9468306010928963,0.9454545454545455,0.72,0.7972564896403905,0.7896233835980391,0.0003456372392027762
5,150,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
5,100,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
5,200,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
5,300,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
7,150,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
7,100,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
7,200,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
7,300,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
10,150,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
10,100,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
10,200,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
10,300,0.5,0.9501639344262296,0.9454545454545455,0.7422222222222222,0.8170367094206104,0.8059296940550235,0.0003456372392027762
