n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc,preparationTime
3,uniform,euclidean,0.8204290429042903,0.4588420075676447,0.7041666666666666,0.551880551880552,0.46550387543807736,0.00043311708970027526
3,distance,euclidean,0.857062706270627,0.5318077803203661,0.7041666666666666,0.6041771094402673,0.5281142717308954,0.00043311708970027526
5,uniform,euclidean,0.8070957095709571,0.4376984126984127,0.6819444444444445,0.5291791791791792,0.43544462205313184,0.00043311708970027526
5,distance,euclidean,0.837062706270627,0.4936972059779077,0.6819444444444445,0.5682539682539681,0.4845908696238061,0.00043311708970027526
7,uniform,euclidean,0.7905280528052806,0.41534391534391535,0.7486111111111112,0.5275041436032148,0.44359866750004256,0.00043311708970027526
7,distance,euclidean,0.8204620462046206,0.4636363636363637,0.7486111111111112,0.5648148148148149,0.4884495290254655,0.00043311708970027526
9,uniform,euclidean,0.787161716171617,0.40952380952380957,0.7055555555555556,0.5110664152524618,0.4184355261997461,0.00043311708970027526
9,distance,euclidean,0.8137953795379538,0.44918478260869565,0.7055555555555556,0.541947020670425,0.4566774094011538,0.00043311708970027526
11,uniform,euclidean,0.7938613861386138,0.42280701754385963,0.7486111111111112,0.5316847110874287,0.45017872723247443,0.00043311708970027526
11,distance,euclidean,0.8104950495049504,0.4491603404646883,0.7486111111111112,0.5521449050860816,0.4747097921878581,0.00043311708970027526
15,uniform,euclidean,0.7806270627062707,0.4068968225914143,0.7694444444444445,0.5236533492347446,0.44327179445684456,0.00043311708970027526
15,distance,euclidean,0.8038283828382838,0.4493098688750862,0.7694444444444445,0.555005355005355,0.48078016959074316,0.00043311708970027526
20,uniform,euclidean,0.7839603960396039,0.40543129336232786,0.7680555555555556,0.5259259259259259,0.44313127444014233,0.00043311708970027526
20,distance,euclidean,0.8005610561056106,0.4370312341326834,0.7888888888888889,0.5562512422977539,0.4803534512902785,0.00043311708970027526
3,uniform,cosine,0.7772277227722771,0.3969121676978275,0.7263888888888889,0.5065949603027269,0.4152828378813885,0.00043311708970027526
3,distance,cosine,0.813861386138614,0.44534050179211476,0.7263888888888889,0.5480549199084668,0.464245090627384,0.00043311708970027526
5,uniform,cosine,0.7405940594059405,0.3649425287356322,0.7486111111111112,0.47962962962962963,0.38732284713510157,0.00043311708970027526
5,distance,cosine,0.7905280528052806,0.41524216524216523,0.7263888888888889,0.5216472553933854,0.4334249283681109,0.00043311708970027526
7,uniform,cosine,0.6906270627062706,0.32527131782945734,0.7694444444444445,0.44674531751836427,0.3444597942269472,0.00043311708970027526
7,distance,cosine,0.7605610561056105,0.38393009377664117,0.7694444444444445,0.5043978243978243,0.41771990097312894,0.00043311708970027526
9,uniform,cosine,0.7006930693069308,0.3274567656886641,0.7916666666666666,0.4561267435502943,0.36166767459237326,0.00043311708970027526
9,distance,cosine,0.7539933993399339,0.3707875457875458,0.7916666666666666,0.5002122060945591,0.41669614250463916,0.00043311708970027526
11,uniform,cosine,0.6873267326732674,0.32185806792652305,0.7902777777777779,0.4506353861192571,0.34914239827865384,0.00043311708970027526
11,distance,cosine,0.753927392739274,0.375510429312438,0.7902777777777779,0.5038095238095238,0.4186469410179366,0.00043311708970027526
15,uniform,cosine,0.6939603960396039,0.3257275132275132,0.7680555555555556,0.45004943080323995,0.34494893087306777,0.00043311708970027526
15,distance,cosine,0.7339273927392739,0.3560284388268984,0.7680555555555556,0.4810405643738977,0.3851103393226576,0.00043311708970027526
20,uniform,cosine,0.7272277227722772,0.3549760765550239,0.7680555555555556,0.4778170757225462,0.3809025271589516,0.00043311708970027526
20,distance,cosine,0.7471947194719472,0.3774891774891775,0.7902777777777779,0.5019829400686828,0.41620206913546715,0.00043311708970027526
