max_depth,criterion,min_samples_split,min_samples_leaf,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
10,gini,2,1,10,0.9269945355191258,0.7252813852813853,0.8511111111111112,0.7799999999999999,0.7424551630221409,0.0003413665116284126
10,gini,2,1,50,0.927049180327869,0.7300000000000001,0.8311111111111111,0.7742993848257006,0.7354454090422973,0.0003413665116284126
10,gini,2,1,100,0.9337158469945356,0.7642424242424242,0.8311111111111111,0.7936842105263157,0.7571538283027065,0.0003413665116284126
10,gini,5,1,10,0.9070491803278689,0.6742857142857142,0.8088888888888889,0.7272006102212052,0.6825158357557799,0.0003413665116284126
10,gini,5,1,50,0.927049180327869,0.7424242424242423,0.8088888888888889,0.7725814536340853,0.7314239664878386,0.0003413665116284126
10,gini,5,1,100,0.9369945355191257,0.780909090909091,0.8311111111111111,0.8007017543859648,0.7671726417692278,0.0003413665116284126
10,gini,2,2,10,0.9303825136612023,0.7504095904095903,0.8355555555555554,0.7825898505855432,0.7487430487769305,0.0003413665116284126
10,gini,2,2,50,0.9303278688524591,0.7502797202797205,0.8311111111111111,0.7821827295511506,0.7470720730862981,0.0003413665116284126
10,gini,2,2,100,0.940327868852459,0.791010101010101,0.8311111111111111,0.8067335004177109,0.7745883489638173,0.0003413665116284126
10,gini,5,2,10,0.9336612021857924,0.7593706293706294,0.8555555555555555,0.7993287566742945,0.7656276542076874,0.0003413665116284126
10,gini,5,2,50,0.9269945355191258,0.7338461538461539,0.8311111111111111,0.7734117903454287,0.7366466440680413,0.0003413665116284126
10,gini,5,2,100,0.9369945355191257,0.7754545454545456,0.8311111111111111,0.798546365914787,0.7646452747018967,0.0003413665116284126
30,gini,2,1,10,0.9269398907103824,0.782034632034632,0.7666666666666666,0.7663814616755793,0.7287372698749042,0.0003413665116284126
30,gini,2,1,50,0.950327868852459,0.8605555555555554,0.8111111111111111,0.8325421396628826,0.8057316396502678,0.0003413665116284126
30,gini,2,1,100,0.940327868852459,0.8091919191919192,0.8111111111111111,0.8057309941520467,0.7736796747996545,0.0003413665116284126
30,gini,5,1,10,0.9236065573770492,0.7456709956709957,0.7888888888888889,0.7581461675579323,0.7193214964920482,0.0003413665116284126
30,gini,5,1,50,0.9469945355191257,0.8247474747474748,0.8311111111111111,0.8244444444444443,0.7957554617360303,0.0003413665116284126
30,gini,5,1,100,0.940327868852459,0.7936363636363637,0.8311111111111111,0.8080701754385965,0.775869313212189,0.0003413665116284126
30,gini,2,2,10,0.9236065573770492,0.7514751914751915,0.7888888888888889,0.7598139734362646,0.7219700097431295,0.0003413665116284126
30,gini,2,2,50,0.940327868852459,0.7936363636363637,0.8311111111111111,0.8080701754385965,0.775869313212189,0.0003413665116284126
30,gini,2,2,100,0.9436612021857924,0.8091919191919192,0.8311111111111111,0.8162573099415203,0.7858123874741096,0.0003413665116284126
30,gini,5,2,10,0.9236612021857924,0.740909090909091,0.7888888888888889,0.7605513784461152,0.7183273560984773,0.0003413665116284126
30,gini,5,2,50,0.9336612021857924,0.7672727272727273,0.8311111111111111,0.7921303258145362,0.7578821128658744,0.0003413665116284126
30,gini,5,2,100,0.9369945355191257,0.78,0.8311111111111111,0.7994987468671679,0.7665787843088354,0.0003413665116284126
50,gini,2,1,10,0.9269398907103824,0.782034632034632,0.7666666666666666,0.7663814616755793,0.7287372698749042,0.0003413665116284126
50,gini,2,1,50,0.950327868852459,0.8605555555555554,0.8111111111111111,0.8325421396628826,0.8057316396502678,0.0003413665116284126
50,gini,2,1,100,0.940327868852459,0.8091919191919192,0.8111111111111111,0.8057309941520467,0.7736796747996545,0.0003413665116284126
50,gini,5,1,10,0.9236065573770492,0.7456709956709957,0.7888888888888889,0.7581461675579323,0.7193214964920482,0.0003413665116284126
