fold,accuracy,precision,recall,f1,mcc
1,0.9702970297029703,1.0,0.8125,0.896551724137931,0.8858900249825801
2,0.96,1.0,0.75,0.8571428571428571,0.8461141122266493
3,0.98,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9215686274509803
