C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
0.01,linear,0.9036065573770491,0.7658730158730159,0.6133333333333333,0.6715022851245761,0.6274933678423329,0.0003407861096331961
0.01,rbf,0.6718579234972678,0.37848484848484854,0.4933333333333333,0.3532092299278517,0.22193273933797547,0.0003407861096331961
0.01,poly,0.5727322404371585,0.45910465819721724,0.35777777777777775,0.1014260249554367,-0.05530898738811121,0.0003407861096331961
0.01,sigmoid,0.6872677595628416,0.3821428571428572,0.5777777777777777,0.37500366300366295,0.2833062012412867,0.0003407861096331961
0.1,linear,0.9036612021857924,0.7777777777777778,0.6133333333333333,0.6731829573934837,0.6316355931472479,0.0003407861096331961
0.1,rbf,0.6718579234972678,0.37848484848484854,0.4933333333333333,0.3532092299278517,0.22193273933797547,0.0003407861096331961
0.1,poly,0.573879781420765,0.5894909688013136,0.4,0.16365862992728664,0.01501770701190121,0.0003407861096331961
0.1,sigmoid,0.7103825136612022,0.4244155844155844,0.5555555555555556,0.39900366300366297,0.3102684080543347,0.0003407861096331961
1.0,linear,0.9036612021857924,0.7777777777777778,0.6133333333333333,0.6731829573934837,0.6316355931472479,0.0003407861096331961
1.0,rbf,0.877103825136612,0.7416666666666667,0.5088888888888888,0.5796092796092795,0.5384943767653997,0.0003407861096331961
1.0,poly,0.7687431693989071,0.7533333333333334,0.2933333333333333,0.2886513486513486,0.2868038242418173,0.0003407861096331961
1.0,sigmoid,0.6842622950819672,0.2643752617618316,0.5488888888888888,0.3521861079029863,0.2033018995099864,0.0003407861096331961
10.0,linear,0.9036612021857924,0.7777777777777778,0.6133333333333333,0.6731829573934837,0.6316355931472479,0.0003407861096331961
10.0,rbf,0.9202732240437157,0.8392857142857142,0.611111111111111,0.6963741366992141,0.6691593384052171,0.0003407861096331961
10.0,poly,0.7820218579234972,0.694463801780875,0.4444444444444445,0.4260985419808949,0.38306265350091573,0.0003407861096331961
10.0,sigmoid,0.5779781420765028,0.19308871205422928,0.5466666666666666,0.2845372050816697,0.09590555844877245,0.0003407861096331961
100.0,linear,0.9036612021857924,0.7777777777777778,0.6133333333333333,0.6731829573934837,0.6316355931472479,0.0003407861096331961
100.0,rbf,0.9102732240437158,0.8223376623376624,0.5911111111111111,0.6760971055088703,0.6443843076522806,0.0003407861096331961
100.0,poly,0.8037158469945356,0.5385714285714286,0.49333333333333335,0.44275528393175456,0.387909727546786,0.0003407861096331961
100.0,sigmoid,0.5547540983606558,0.183171344784248,0.5466666666666666,0.2738872466148958,0.07550773901377238,0.0003407861096331961
