pca_n_components,learning_rate,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
180,0.01,3,50,0.8494915254237287,1.0,0.0,0.0,0.0,1.0741773421404437
180,0.01,3,100,0.8661581920903956,1.0,0.11111111111111112,0.18545454545454546,0.23879964827802955,1.0741773886288
180,0.01,3,200,0.8761581920903954,0.9333333333333332,0.19999999999999998,0.31212121212121213,0.3524319637096146,1.0741774210702264
180,0.01,3,300,0.8861581920903955,0.9333333333333332,0.2666666666666667,0.38225108225108223,0.4075714117489708,1.074177448160539
180,0.01,5,50,0.8494915254237287,1.0,0.0,0.0,0.0,1.074177475919753
180,0.01,5,100,0.8761581920903954,0.96,0.2,0.287012987012987,0.30740448676764326,1.074177494648798
180,0.01,5,200,0.8661581920903956,0.7666666666666666,0.19999999999999998,0.2824242424242424,0.28766686982775974,1.0741775207357585
180,0.01,5,300,0.8761581920903954,0.7766666666666666,0.28888888888888886,0.3799267399267399,0.3624444662968064,1.0741775581939457
180,0.01,7,50,0.8494915254237287,1.0,0.0,0.0,0.0,1.0741775862876104
180,0.01,7,100,0.8761581920903954,0.96,0.2,0.287012987012987,0.30740448676764326,1.0741776050167526
180,0.01,7,200,0.862824858757062,0.7666666666666666,0.15555555555555556,0.24242424242424243,0.25759402921349783,1.0741776304348118
180,0.01,7,300,0.8728248587570622,0.8133333333333332,0.24444444444444446,0.33939393939393936,0.3405677085864957,1.0741776555184201
180,0.01,10,50,0.8494915254237287,1.0,0.0,0.0,0.0,1.0741776826087328
180,0.01,10,100,0.8761581920903954,0.96,0.2,0.287012987012987,0.30740448676764326,1.0741776989966227
180,0.01,10,200,0.862824858757062,0.7666666666666666,0.15555555555555556,0.24242424242424243,0.25759402921349783,1.0741777227424283
180,0.01,10,300,0.8728248587570622,0.8133333333333332,0.24444444444444446,0.33939393939393936,0.3405677085864957,1.0741777488293889
180,0.1,3,50,0.8861581920903955,0.8833333333333332,0.28888888888888886,0.40183150183150185,0.4089804899030868,1.0741777735786437
180,0.1,3,100,0.8861581920903955,0.8666666666666666,0.2888888888888889,0.3933333333333333,0.4007039427930598,1.0741777983278014
180,0.1,3,200,0.8861581920903955,0.8333333333333333,0.3111111111111111,0.4112820512820513,0.4047247932864709,1.0741778227425083
180,0.1,3,300,0.8894915254237288,0.8099999999999999,0.37777777777777777,0.46159340659340664,0.4379596614016079,1.0741778458194124
180,0.1,5,50,0.8761581920903956,0.7833333333333333,0.28888888888888886,0.3818315018315019,0.3651031575698439,1.0741778715719223
180,0.1,5,100,0.8828248587570622,0.8533333333333333,0.28888888888888886,0.3952380952380953,0.39515880684100724,1.0741778969899813
180,0.1,5,200,0.8828248587570622,0.8333333333333333,0.3111111111111111,0.4066666666666666,0.39965944820669924,1.0741779224080403
180,0.1,5,300,0.8861581920903955,0.8333333333333333,0.33333333333333337,0.4216666666666667,0.4139844674966165,1.0741779474916489
180,0.1,7,50,0.8794915254237289,0.8333333333333333,0.28888888888888886,0.38952380952380955,0.3845091511965795,1.0741779719063558
180,0.1,7,100,0.8761581920903956,0.7833333333333333,0.28888888888888886,0.3818315018315019,0.3651031575698439,1.0741779953177106
180,0.1,7,200,0.8794915254237289,0.8333333333333333,0.2888888888888889,0.3793939393939394,0.3788443764258477,1.0741780190635162
180,0.1,7,300,0.8828248587570622,0.8333333333333333,0.31111111111111117,0.3943939393939394,0.3931693957157649,1.0741780414716162
180,0.1,10,50,0.8794915254237289,0.8333333333333333,0.28888888888888886,0.38952380952380955,0.3845091511965795,1.0741780655518725
180,0.1,10,100,0.8761581920903956,0.7833333333333333,0.28888888888888886,0.3818315018315019,0.3651031575698439,1.0741780899665794
180,0.1,10,200,0.8794915254237289,0.8333333333333333,0.2888888888888889,0.3793939393939394,0.3788443764258477,1.074178115719089
180,0.1,10,300,0.8828248587570622,0.8333333333333333,0.31111111111111117,0.3943939393939394,0.3931693957157649,1.0741781394648946
180,0.3,3,50,0.8828248587570622,0.7833333333333333,0.3111111111111111,0.39551282051282055,0.3816257531481321,1.0741781628762495
180,0.3,3,100,0.8828248587570622,0.78,0.33333333333333337,0.4167582417582418,0.3948789471607953,1.0741781859531536
180,0.3,3,200,0.8861581920903955,0.8,0.3555555555555555,0.43961538461538463,0.4180053179900275,1.0741782096989592
180,0.3,3,300,0.8861581920903955,0.8,0.3555555555555555,0.43961538461538463,0.4180053179900275,1.07417823244151
180,0.3,5,50,0.8728248587570622,0.819047619047619,0.2666666666666667,0.35725108225108226,0.35505283283652644,1.0741782551839634
180,0.3,5,100,0.8761581920903956,0.769047619047619,0.3111111111111111,0.393974358974359,0.3716122080007621,1.0741782769230646
180,0.3,5,200,0.8761581920903956,0.769047619047619,0.3111111111111111,0.393974358974359,0.3716122080007621,1.0741783016722222
180,0.3,5,300,0.8761581920903956,0.769047619047619,0.3111111111111111,0.393974358974359,0.3716122080007621,1.0741783277591828
180,0.3,7,50,0.8794915254237289,0.8033333333333333,0.28888888888888886,0.3875457875457876,0.3757528132142716,1.074178354180594
