pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
167,3,euclidean,distance,0.896271186,0.933333333,0.333333333,0.482251082,0.516688641,0.235021604
191,3,euclidean,distance,0.896271186,0.933333333,0.333333333,0.482251082,0.516688641,0.235021617
215,3,euclidean,distance,0.896271186,0.933333333,0.333333333,0.482251082,0.516688641,0.23502163
167,5,euclidean,distance,0.896271186,1,0.311111111,0.468531469,0.522400096,0.235021685
191,5,euclidean,distance,0.896271186,1,0.311111111,0.468531469,0.522400096,0.235021699
215,5,euclidean,distance,0.896271186,1,0.311111111,0.468531469,0.522400096,0.235021711
167,5,cosine,distance,0.882937853,0.767619048,0.355555556,0.467965368,0.460021953,0.235021111
191,5,cosine,distance,0.882937853,0.767619048,0.355555556,0.467965368,0.460021953,0.235021126
215,5,cosine,distance,0.882937853,0.767619048,0.355555556,0.467965368,0.460021953,0.23502114
167,3,cosine,distance,0.879548023,0.700952381,0.355555556,0.461904762,0.437912556,0.235021005
191,3,cosine,distance,0.879548023,0.700952381,0.355555556,0.461904762,0.437912556,0.23502102
215,3,cosine,distance,0.879548023,0.700952381,0.355555556,0.461904762,0.437912556,0.235021036
191,7,cosine,distance,0.882937853,0.780952381,0.333333333,0.448917749,0.450416792,0.235021213
215,7,cosine,distance,0.882937853,0.780952381,0.333333333,0.448917749,0.450416792,0.235021227
167,7,cosine,distance,0.876271186,0.714285714,0.311111111,0.415584416,0.407583954,0.235021199
215,9,cosine,distance,0.876271186,0.833333333,0.266666667,0.392121212,0.41767186,0.235021312
167,3,cosine,uniform,0.862768362,0.594285714,0.288888889,0.38021978,0.344861084,0.235020932
191,3,cosine,uniform,0.862768362,0.594285714,0.288888889,0.38021978,0.344861084,0.235020972
215,3,cosine,uniform,0.862768362,0.594285714,0.288888889,0.38021978,0.344861084,0.235020989
191,7,euclidean,distance,0.886214689,1,0.244444444,0.375804196,0.448754968,0.235021776
215,7,euclidean,distance,0.886214689,1,0.244444444,0.375804196,0.448754968,0.235021788
191,9,cosine,distance,0.872937853,0.8,0.244444444,0.361818182,0.38768453,0.235021299
167,9,cosine,distance,0.86960452,0.733333333,0.244444444,0.355757576,0.365666764,0.235021284
