criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,,2,1,,1,0.1,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.2,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.30000000000000004,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.4,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.5,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.6,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.7000000000000001,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.8,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,1,0.9,0.9285714285714286,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8323734973274133
gini,,2,1,,2,0.1,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.2,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.30000000000000004,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.4,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.5,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.6,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.7000000000000001,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.8,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,2,0.9,0.9130434782608695,0.782608695652174,0.9473684210526315,0.8571428571428571,0.8029550685469662
gini,,2,1,,3,0.1,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.2,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.30000000000000004,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.4,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.5,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.6,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.7000000000000001,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.8,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,3,0.9,0.8985507246376812,0.8235294117647058,0.7777777777777778,0.8,0.7326498456229736
gini,,2,1,,4,0.1,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.2,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.30000000000000004,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.4,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.5,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.6,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.7000000000000001,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.8,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,4,0.9,0.8695652173913043,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.7001400420140048
gini,,2,1,,5,0.1,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.2,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.30000000000000004,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.4,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.5,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.6,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.7000000000000001,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.8,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
gini,,2,1,,5,0.9,0.8260869565217391,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6277906934027215
