C,kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,sigmoid,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,sigmoid,3,0.2,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11779030380392652
0.01,sigmoid,3,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.4,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.5,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,sigmoid,4,0.2,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.4,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.5,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,sigmoid,5,0.2,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.4,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.5,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.6,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,sigmoid,5,0.9,0.85,1.0,0.0,0.0,0.0
0.1,linear,1,0.1,0.16393442622950818,0.16393442622950818,1.0,0.28169014084507044,0.0
0.1,linear,1,0.2,0.819672131147541,0.0,0.0,0.0,-0.05716619504750294
0.1,linear,1,0.30000000000000004,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.4,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,linear,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
0.1,linear,2,0.2,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,linear,3,0.1,0.15,0.13793103448275862,0.8888888888888888,0.23880597014925373,-0.18201783862232032
0.1,linear,3,0.2,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.1,linear,3,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.4,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.5,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.6,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.8,0.85,1.0,0.0,0.0,0.0
0.1,linear,3,0.9,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.1,linear,4,0.2,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.4,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.5,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.6,0.85,1.0,0.0,0.0,0.0
