eta,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,100,3,0.2,0.8333333333333334,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5645244046440765
0.01,3,100,3,0.30000000000000004,0.8666666666666667,0.5454545454545454,0.6666666666666666,0.6,0.5247346970015024
0.01,3,100,3,0.4,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
0.01,3,100,3,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,100,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.1,0.5333333333333333,0.24324324324324326,1.0,0.391304347826087,0.3312067831843801
0.01,3,100,4,0.2,0.7833333333333333,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.43797817080236756
0.01,3,100,4,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.01,3,100,4,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,100,4,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.1,0.5666666666666667,0.24242424242424243,0.8888888888888888,0.38095238095238093,0.28615800206850767
0.01,3,100,5,0.2,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
0.01,3,100,5,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,100,5,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,100,5,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,1,0.1,0.7213114754098361,0.29411764705882354,0.5,0.37037037037037035,0.2185736886647922
0.01,3,200,1,0.2,0.8688524590163934,0.625,0.5,0.5555555555555556,0.4838541850227607
0.01,3,200,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
0.01,3,200,1,0.4,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.01,3,200,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,3,200,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,3,200,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,200,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,200,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,200,2,0.1,0.7166666666666667,0.37037037037037035,1.0,0.5405405405405406,0.4944132324730442
0.01,3,200,2,0.2,0.85,0.5294117647058824,0.9,0.6666666666666666,0.6120093165604356
0.01,3,200,2,0.30000000000000004,0.9166666666666666,0.7272727272727273,0.8,0.7619047619047619,0.7127255688897131
0.01,3,200,2,0.4,0.9,0.8333333333333334,0.5,0.625,0.5962847939999439
0.01,3,200,2,0.5,0.9,1.0,0.4,0.5714285714285714,0.5976143046671968
0.01,3,200,2,0.6,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
0.01,3,200,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,200,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,200,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,200,3,0.1,0.6166666666666667,0.26666666666666666,0.8888888888888888,0.41025641025641024,0.3267320196065356
0.01,3,200,3,0.2,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
0.01,3,200,3,0.30000000000000004,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375
0.01,3,200,3,0.4,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.01,3,200,3,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,200,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,200,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,4,0.1,0.7166666666666667,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.4192187636816883
0.01,3,200,4,0.2,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375
0.01,3,200,4,0.30000000000000004,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
0.01,3,200,4,0.4,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
0.01,3,200,4,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,200,4,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,200,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,200,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,5,0.1,0.7333333333333333,0.34782608695652173,0.8888888888888888,0.5,0.43680894593882014
0.01,3,200,5,0.2,0.8333333333333334,0.45454545454545453,0.5555555555555556,0.5,0.4041060310241455
0.01,3,200,5,0.30000000000000004,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,200,5,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,5,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,200,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,1,0.1,0.819672131147541,0.46153846153846156,0.6,0.5217391304347826,0.41834503598132505
0.01,3,300,1,0.2,0.8688524590163934,0.625,0.5,0.5555555555555556,0.4838541850227607
0.01,3,300,1,0.30000000000000004,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
0.01,3,300,1,0.4,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.01,3,300,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,3,300,1,0.6,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,3,300,1,0.7000000000000001,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
0.01,3,300,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,300,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,3,300,2,0.1,0.75,0.391304347826087,0.9,0.5454545454545454,0.47523882300946035
0.01,3,300,2,0.2,0.8833333333333333,0.6153846153846154,0.8,0.6956521739130435,0.6332313927204475
0.01,3,300,2,0.30000000000000004,0.9,0.7,0.7,0.7,0.64
0.01,3,300,2,0.4,0.9333333333333333,0.875,0.7,0.7777777777777778,0.7454993164109749
0.01,3,300,2,0.5,0.9,0.8333333333333334,0.5,0.625,0.5962847939999439
0.01,3,300,2,0.6,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
0.01,3,300,2,0.7000000000000001,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
0.01,3,300,2,0.8,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
0.01,3,300,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,3,300,3,0.1,0.75,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.4552391741653151
0.01,3,300,3,0.2,0.9,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6854561497129446
0.01,3,300,3,0.30000000000000004,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
0.01,3,300,3,0.4,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
0.01,3,300,3,0.5,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.01,3,300,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,300,3,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,4,0.1,0.8166666666666667,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5398335593610577
0.01,3,300,4,0.2,0.9,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6854561497129446
0.01,3,300,4,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
0.01,3,300,4,0.4,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
