criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,10,2,1,None,0.8437386569872958,0.5154822954822954,0.4444444444444445,0.46369408369408366,0.3840455088835476,0.032483444444450366
gini,10,5,1,None,0.8716273442226254,0.6211904761904762,0.4666666666666666,0.5156295149638803,0.46053356562317144,0.03248348541658035
gini,10,10,1,None,0.8577737447065941,0.545,0.48888888888888893,0.4997870241213894,0.4292001251196611,0.03248350763897179
gini,10,2,2,None,0.8404113732607381,0.5190909090909092,0.42222222222222217,0.4504655870445344,0.3707061467374594,0.03248352847246375
gini,10,5,2,None,0.868118572292801,0.6092857142857142,0.48888888888888893,0.5303881876637295,0.4661723923882325,0.03248354652775257
gini,10,10,2,None,0.854325468844525,0.5666666666666667,0.42222222222222217,0.463859649122807,0.39998128815939205,0.03248356597234508
gini,10,2,5,None,0.8332123411978222,0.5266666666666666,0.3111111111111111,0.354481658692185,0.2985528973368557,0.03248358437526298
gini,10,5,5,None,0.8228675136116153,0.5038095238095239,0.33333333333333337,0.352227654115526,0.29100475904802875,0.03248361770844591
gini,10,10,5,None,0.8332123411978222,0.52,0.33333333333333337,0.3707723855092276,0.30833320845726137,0.032483639930837346
gini,10,2,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.03248365833335103
gini,10,5,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.03248367673626894
gini,10,10,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.03248369548600749
gini,10,2,1,sqrt,0.847126436781609,0.5279220779220779,0.48888888888888893,0.5011764705882353,0.4162468166836823,0.032483713888925396
gini,10,5,1,sqrt,0.8333333333333334,0.49772727272727274,0.4444444444444445,0.45129928894634774,0.36644932156481835,0.03248373263906817
gini,10,10,1,sqrt,0.860919540229885,0.5783766233766233,0.5111111111111112,0.5311897390535161,0.4588328781388789,0.032483749999907253
gini,10,2,2,sqrt,0.8368421052631578,0.4791208791208791,0.4666666666666667,0.44815901489814536,0.3708418225028066,0.032483767361150565
gini,10,5,2,sqrt,0.8473079249848761,0.5242424242424242,0.48888888888888893,0.5001651186790506,0.414648179390446,0.032483785069618736
gini,10,10,2,sqrt,0.8192377495462795,0.4699999999999999,0.4,0.40376839534734266,0.3212247368127654,0.03248380243045782
gini,10,2,5,sqrt,0.8679370840895342,0.6900000000000001,0.3111111111111111,0.3889686783804431,0.37987231963064294,0.03248382118060059
gini,10,5,5,sqrt,0.8575922565033272,0.5864285714285714,0.48888888888888893,0.5243476337903582,0.44964528036814666,0.032483838541843904
gini,10,10,5,sqrt,0.8577737447065941,0.564047619047619,0.4444444444444445,0.49029116909921855,0.4175949292419183,0.032483855208233256
gini,10,2,10,sqrt,0.8196007259528131,0.46785714285714286,0.31111111111111106,0.3284325648775777,0.26235019978984053,0.03248387187502683
gini,10,5,10,sqrt,0.8229885057471265,0.3555555555555555,0.26666666666666666,0.2838490164805954,0.20401410094829214,0.03248388923627014
gini,10,10,10,sqrt,0.8509376890502118,0.6133333333333334,0.37777777777777777,0.4504761904761905,0.3929438058127471,0.03248390659710923
gini,10,2,1,log2,0.84010889292196,0.47786324786324785,0.4666666666666667,0.4629657923775571,0.37621410653393245,0.032483925000027135
gini,10,5,1,log2,0.7916515426497277,0.30887445887445886,0.35555555555555557,0.3269047619047619,0.20813287702568561,0.03248394236127044
gini,10,10,1,log2,0.8159709618874773,0.4584415584415584,0.4666666666666667,0.4404515050167223,0.34701301177918664,0.03248395937488466
gini,10,2,2,log2,0.8539624924379915,0.5185714285714286,0.4222222222222222,0.4638655462184874,0.3848320721340389,0.0324839763889031
gini,10,5,2,log2,0.8335148215366001,0.4612698412698412,0.4444444444444445,0.45098899208806326,0.3542760338118416,0.03248399270847181
gini,10,10,2,log2,0.8681790683605566,0.7666666666666667,0.28888888888888886,0.41641025641025636,0.4127980119262495,0.032484010069715116
gini,10,2,5,log2,0.8540834845735027,0.55,0.3555555555555555,0.42183150183150186,0.3603202505493207,0.032484028125003936
gini,10,5,5,log2,0.8335753176043557,0.5311111111111111,0.31111111111111106,0.3612819928609402,0.3021124843362511,0.03248404548624725
gini,10,10,5,log2,0.8335753176043557,0.4781135531135531,0.4222222222222222,0.440222816399287,0.34999102527767545,0.032484062500265684
gini,10,2,10,log2,0.8404113732607381,0.6478632478632479,0.28888888888888886,0.3113131313131313,0.3058664655005875,0.03248408020832964
gini,10,5,10,log2,0.8228070175438595,0.3589743589743589,0.2666666666666667,0.28242424242424236,0.20675721751144574,0.032484097916797815
gini,10,10,10,log2,0.8543859649122807,0.5666666666666667,0.28888888888888886,0.3748717948717949,0.3290670104268886,0.032484115625265986
gini,20,2,1,None,0.8369630973986691,0.4903762903762903,0.5111111111111111,0.48893939393939395,0.40074592816497495,0.03248413298610507
gini,20,5,1,None,0.8612220205686631,0.5574675324675324,0.5111111111111111,0.5191855203619908,0.44885079244273773,0.032484150000123516
gini,20,10,1,None,0.8578342407743497,0.5347186147186147,0.4666666666666666,0.48464912280701744,0.41420635429239167,0.03248416701414195
gini,20,2,2,None,0.8577132486388386,0.5770129870129871,0.5111111111111111,0.5249392712550607,0.45400427361609685,0.03248418402775618
gini,20,5,2,None,0.8611615245009073,0.6424242424242423,0.4444444444444445,0.48762923351158644,0.4402356432112347,0.032484201041774616
gini,20,10,2,None,0.8439806412583183,0.5060606060606061,0.39999999999999997,0.43166377482166957,0.35665226697716107,0.03248421840301793
gini,20,2,5,None,0.8228675136116153,0.44666666666666666,0.3111111111111111,0.3404010025062657,0.2648854488403915,0.032484236458306746
gini,20,5,5,None,0.8228070175438595,0.5003174603174603,0.33333333333333337,0.35714411192672063,0.29104089571120473,0.032484253472325184
gini,20,10,5,None,0.8298850574712644,0.48888888888888893,0.4,0.4170091896407685,0.33556016677595846,0.032484270833568495
gini,20,2,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.03248428680550811
gini,20,5,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.03248430381952656
gini,20,10,10,None,0.8680580762250454,0.6166666666666667,0.3555555555555555,0.4456410256410256,0.39985071421022106,0.032484320486320134
gini,20,2,1,sqrt,0.8439201451905625,0.5083333333333334,0.48888888888888893,0.4792849771487543,0.40194090058198756,0.03248433749993435
gini,20,5,1,sqrt,0.8679370840895342,0.5946031746031746,0.5111111111111112,0.545204678362573,0.4735151062159555,0.03248435416672793
gini,20,10,1,sqrt,0.8507562008469449,0.4624242424242424,0.4222222222222222,0.41963369963369956,0.35200270305386994,0.0324843708335215
gini,20,2,2,sqrt,0.847126436781609,0.5257142857142857,0.4222222222222222,0.45695488721804506,0.3800169707149849,0.03248438749991086
gini,20,5,2,sqrt,0.8332123411978222,0.46952380952380957,0.4222222222222222,0.4382832080200501,0.3459654167266331,0.032484404513929296
gini,20,10,2,sqrt,0.8576527525710829,0.5561111111111111,0.3555555555555555,0.41447245564892626,0.36254375631028674,0.03248443298636832
gini,20,2,5,sqrt,0.8332123411978222,0.47329004329004326,0.3333333333333333,0.37778388278388275,0.29955889528598123,0.03248445034720741
gini,20,5,5,sqrt,0.8679975801572898,0.6555555555555556,0.4666666666666666,0.5230065359477124,0.4700908153256654,0.032484468055675585
gini,20,10,5,sqrt,0.8713248638838476,0.5622222222222223,0.5333333333333333,0.5362573099415205,0.4703632607175419,0.032484486805818356
