alpha,fold,threshold,accuracy,precision,recall,f1
0.001,1,0.1,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.6,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.7000000000000001,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.8,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,1,0.9,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855
0.001,2,0.1,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.2,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.30000000000000004,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.4,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.5,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.6,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.7000000000000001,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.8,0.9,0.7142857142857143,0.5555555555555556,0.625
0.001,2,0.9,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.001,3,0.1,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.2,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.30000000000000004,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.4,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.5,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.6,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.7000000000000001,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.8,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,3,0.9,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.1,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.2,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.30000000000000004,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.4,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.5,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.6,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.7000000000000001,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.8,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,4,0.9,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
0.001,5,0.1,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.2,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.30000000000000004,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.4,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.5,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.6,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.7000000000000001,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.8,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,5,0.9,0.8983050847457628,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.01,1,0.1,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.2,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.4,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.5,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.6,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.7000000000000001,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.8,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,1,0.9,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,2,0.1,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
