pca__n_components,n_neighbors,weights,metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
150,3,distance,cosine,0.1,0.854204476709014,0.031165751657329138,0.5332167832167832,0.09048598569554309,0.6,0.16850834320114558,0.5557575757575758,0.11410207599582257,0.47690767263245276,0.12525489150634986
150,3,distance,cosine,0.2,0.8646098003629763,0.037400443217363445,0.5681818181818181,0.12239010925305688,0.6,0.16850834320114558,0.5754621848739496,0.13135531711656268,0.5014079957769454,0.14721548603972145
150,3,distance,cosine,0.30000000000000004,0.8681790683605566,0.03965169985206261,0.5888888888888889,0.1337954953199144,0.5111111111111111,0.16850834320114558,0.5422222222222223,0.1462283011232187,0.4708210767704112,0.16520384064836252
150,3,distance,cosine,0.4,0.878584392014519,0.023753471126455747,0.7342857142857143,0.20040774762000207,0.3555555555555555,0.14487116456005886,0.464935064935065,0.16224672777794324,0.4486584139471773,0.15891290470294886
150,3,distance,cosine,0.5,0.8750756200846945,0.02200219612089332,0.7742857142857142,0.23395446966782024,0.31111111111111106,0.14487116456005886,0.4233766233766234,0.15458091920923575,0.42752799686627274,0.14947115882955656
150,3,distance,cosine,0.6,0.8750756200846945,0.02200219612089332,0.7742857142857142,0.23395446966782024,0.31111111111111106,0.14487116456005886,0.4233766233766234,0.15458091920923575,0.42752799686627274,0.14947115882955656
150,3,distance,cosine,0.7000000000000001,0.8819721718088325,0.022308206956291085,0.86,0.21908902300206642,0.28888888888888886,0.12668615834434865,0.4233766233766234,0.15458091920923575,0.4513328157534394,0.15836535800265694
150,3,distance,cosine,0.8,0.8784633998790079,0.024518079319197167,0.86,0.21908902300206642,0.26666666666666666,0.14907119849998596,0.39064935064935064,0.18476599231918384,0.42497705452816736,0.1710965489587648
150,3,distance,cosine,0.9,0.8784029038112523,0.03276226533309567,0.9,0.22360679774997896,0.2444444444444444,0.18257418583505536,0.35944055944055947,0.25776369858701437,0.38086325870547,0.2755303863107178
150,3,distance,euclidean,0.1,0.8506957047791893,0.031302404056561095,0.5366666666666667,0.09746794344808961,0.6,0.16850834320114558,0.5503105590062112,0.09709239915975934,0.4744087570192395,0.10229215049143885
150,3,distance,euclidean,0.2,0.8575922565033272,0.025895567752242842,0.5533333333333333,0.08319823760229872,0.5777777777777777,0.14487116456005883,0.5533333333333333,0.09186897897033662,0.47747370830543207,0.09309561611088113
150,3,distance,euclidean,0.30000000000000004,0.8749546279491833,0.03338374520052654,0.65,0.15249681987983194,0.5555555555555556,0.13608276348795434,0.578974358974359,0.09467061135765599,0.5215034510093192,0.10082099324147922
150,3,distance,euclidean,0.4,0.8889897156684816,0.019046656371967532,0.8742857142857143,0.19016641476907128,0.37777777777777777,0.09938079899999064,0.5100899100899101,0.09552703829019281,0.5185342432628174,0.08588583477455372
150,3,distance,euclidean,0.5,0.8923774954627948,0.014424855733444823,0.9199999999999999,0.1095445115010332,0.3555555555555555,0.1217161238900369,0.4971028971028971,0.12315214951306652,0.5219631354804009,0.08234560102510874
150,3,distance,euclidean,0.6,0.8923774954627948,0.014424855733444823,0.9199999999999999,0.1095445115010332,0.3555555555555555,0.1217161238900369,0.4971028971028971,0.12315214951306652,0.5219631354804009,0.08234560102510874
150,3,distance,euclidean,0.7000000000000001,0.8818511796733212,0.02336902882442086,1.0,0.0,0.2444444444444444,0.14487116456005886,0.37272727272727274,0.21656598635584717,0.4150376255244096,0.23632550733862523
150,3,distance,euclidean,0.8,0.8818511796733212,0.02336902882442086,1.0,0.0,0.2444444444444444,0.14487116456005886,0.37272727272727274,0.21656598635584717,0.4150376255244096,0.23632550733862523
150,3,distance,euclidean,0.9,0.8818511796733212,0.02336902882442086,1.0,0.0,0.2444444444444444,0.14487116456005886,0.37272727272727274,0.21656598635584717,0.4150376255244096,0.23632550733862523
150,3,uniform,cosine,0.1,0.8090744101633394,0.04697286903359714,0.43626984126984125,0.10159179677554508,0.6222222222222222,0.20184335693983274,0.49916764132553604,0.11051288152657725,0.40754854503161975,0.13325621494996956
150,3,uniform,cosine,0.2,0.8090744101633394,0.04697286903359714,0.43626984126984125,0.10159179677554508,0.6222222222222222,0.20184335693983274,0.49916764132553604,0.11051288152657725,0.40754854503161975,0.13325621494996956
150,3,uniform,cosine,0.30000000000000004,0.8090744101633394,0.04697286903359714,0.43626984126984125,0.10159179677554508,0.6222222222222222,0.20184335693983274,0.49916764132553604,0.11051288152657725,0.40754854503161975,0.13325621494996956
150,3,uniform,cosine,0.4,0.8508166969147005,0.030672610057330903,0.5133333333333333,0.3208928516221921,0.22222222222222224,0.13608276348795434,0.30842490842490844,0.18917561050935566,0.26975702842816796,0.21961675952127063
150,3,uniform,cosine,0.5,0.8508166969147005,0.030672610057330903,0.5133333333333333,0.3208928516221921,0.22222222222222224,0.13608276348795434,0.30842490842490844,0.18917561050935566,0.26975702842816796,0.21961675952127063
150,3,uniform,cosine,0.6,0.8508166969147005,0.030672610057330903,0.5133333333333333,0.3208928516221921,0.22222222222222224,0.13608276348795434,0.30842490842490844,0.18917561050935566,0.26975702842816796,0.21961675952127063
150,3,uniform,cosine,0.7000000000000001,0.8507562008469449,0.019194516667847362,0.8,0.4472135954999579,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.13853547671734862,0.22176446579753525
150,3,uniform,cosine,0.8,0.8507562008469449,0.019194516667847362,0.8,0.4472135954999579,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.13853547671734862,0.22176446579753525
