pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,uniform,cosine,1,0.1,0.7540983606557377,0.35294117647058826,0.6,0.4444444444444444,0.31733661465406865
150,3,uniform,cosine,1,0.2,0.7540983606557377,0.35294117647058826,0.6,0.4444444444444444,0.31733661465406865
150,3,uniform,cosine,1,0.30000000000000004,0.7540983606557377,0.35294117647058826,0.6,0.4444444444444444,0.31733661465406865
150,3,uniform,cosine,1,0.4,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,3,uniform,cosine,1,0.5,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,3,uniform,cosine,1,0.6,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,3,uniform,cosine,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
150,3,uniform,cosine,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
150,3,uniform,cosine,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
150,3,uniform,cosine,2,0.1,0.6833333333333333,0.23529411764705882,0.4,0.2962962962962963,0.11578554637629863
150,3,uniform,cosine,2,0.2,0.6833333333333333,0.23529411764705882,0.4,0.2962962962962963,0.11578554637629863
150,3,uniform,cosine,2,0.30000000000000004,0.6833333333333333,0.23529411764705882,0.4,0.2962962962962963,0.11578554637629863
150,3,uniform,cosine,2,0.4,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
150,3,uniform,cosine,2,0.5,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
150,3,uniform,cosine,2,0.6,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
150,3,uniform,cosine,2,0.7000000000000001,0.8333333333333334,0.5,0.1,0.16666666666666666,0.16609095970747995
150,3,uniform,cosine,2,0.8,0.8333333333333334,0.5,0.1,0.16666666666666666,0.16609095970747995
150,3,uniform,cosine,2,0.9,0.8333333333333334,0.5,0.1,0.16666666666666666,0.16609095970747995
150,3,uniform,cosine,3,0.1,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
150,3,uniform,cosine,3,0.2,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
150,3,uniform,cosine,3,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
150,3,uniform,cosine,3,0.4,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,3,uniform,cosine,3,0.5,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,3,uniform,cosine,3,0.6,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,3,uniform,cosine,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
