C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
0.01,linear,0.910327868852459,0.831111111111111,0.5733333333333334,0.658546365914787,0.6351991480356738,0.0008527670265796639
0.01,rbf,0.843879781420765,0.0,0.0,0.0,0.0,0.0008527670265796639
0.01,poly,0.8405464480874316,0.0,0.0,0.0,-0.010938056352464587,0.0008527670265796639
0.01,sigmoid,0.843879781420765,0.0,0.0,0.0,0.0,0.0008527670265796639
0.1,linear,0.9070491803278689,0.7911111111111111,0.5733333333333334,0.6509273182957394,0.618226227773293,0.0008527670265796639
0.1,rbf,0.843879781420765,0.0,0.0,0.0,0.0,0.0008527670265796639
0.1,poly,0.8405464480874316,0.0,0.0,0.0,-0.010938056352464587,0.0008527670265796639
0.1,sigmoid,0.843879781420765,0.0,0.0,0.0,0.0,0.0008527670265796639
1.0,linear,0.9070491803278689,0.7911111111111111,0.5733333333333334,0.6509273182957394,0.618226227773293,0.0008527670265796639
1.0,rbf,0.843879781420765,0.0,0.0,0.0,0.0,0.0008527670265796639
1.0,poly,0.857158469945355,0.7,0.10666666666666666,0.18181818181818182,0.24134400212057366,0.0008527670265796639
1.0,sigmoid,0.8538797814207651,0.6,0.06444444444444444,0.11636363636363636,0.18218688963522353,0.0008527670265796639
10.0,linear,0.9070491803278689,0.7911111111111111,0.5733333333333334,0.6509273182957394,0.618226227773293,0.0008527670265796639
10.0,rbf,0.890382513661202,0.8833333333333332,0.33777777777777773,0.48461538461538456,0.5029939354328026,0.0008527670265796639
10.0,poly,0.8504918032786886,0.8400000000000001,0.1288888888888889,0.21402597402597406,0.2753667603451573,0.0008527670265796639
10.0,sigmoid,0.8204918032786885,0.40499999999999997,0.2955555555555555,0.3399859943977591,0.24400643215155177,0.0008527670265796639
100.0,linear,0.9070491803278689,0.7911111111111111,0.5733333333333334,0.6509273182957394,0.618226227773293,0.0008527670265796639
100.0,rbf,0.9070491803278689,0.8444444444444444,0.5333333333333333,0.6249752586594692,0.6119088890675084,0.0008527670265796639
100.0,poly,0.8604371584699454,0.825,0.2311111111111111,0.32861021331609563,0.3598649555275151,0.0008527670265796639
100.0,sigmoid,0.777431693989071,0.30025641025641026,0.33555555555555555,0.31551454782037636,0.18443250538464315,0.0008527670265796639
