pca_n_components,C,kernel,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,0.01,linear,0.9096793708408952,0.023060510660509008,0.8178571428571428,0.15419309389230645,0.5777777777777778,0.0831479419283098,0.6669004524886878,0.07724353001182017,0.6348296127051898,0.09260368472552627,0.8093200624999655
150,0.01,rbf,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093200975694749
150,0.01,poly,0.8402903811252269,0.006467705873395817,0.8,0.4000000000000001,0.0,0.0,0.0,0.0,-0.011353134489128948,0.022706268978257897,0.8093201184027647
150,0.01,sigmoid,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093201385416049
150,0.1,linear,0.9026618269812461,0.026310851975070736,0.8,0.1695582495781317,0.5555555555555556,0.12171612389003691,0.6364705882352941,0.1047257086318489,0.6061431930334674,0.10640585213785383,0.8093201548611736
150,0.1,rbf,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093201774305877
150,0.1,poly,0.8402903811252269,0.006467705873395817,0.8,0.4000000000000001,0.0,0.0,0.0,0.0,-0.011353134489128948,0.022706268978257897,0.8093201927082797
150,0.1,sigmoid,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093202097222982
150,1.0,linear,0.9026618269812461,0.026310851975070736,0.8,0.1695582495781317,0.5555555555555556,0.12171612389003691,0.6364705882352941,0.1047257086318489,0.6061431930334674,0.10640585213785383,0.8093202243055404
150,1.0,rbf,0.8507562008469449,0.013260373745884447,1.0,0.0,0.04444444444444444,0.08888888888888888,0.07272727272727272,0.14545454545454545,0.08807710121010884,0.17615420242021768,0.8093202444443806
150,1.0,poly,0.8472474289171202,0.01258841624118863,0.8,0.4000000000000001,0.04444444444444444,0.05443310539518174,0.08,0.09797958971132713,0.11217971549207655,0.16189846396285854,0.8093202663195471
150,1.0,sigmoid,0.8541439806412583,0.01401551715622056,0.9,0.20000000000000004,0.08888888888888888,0.08314794192830981,0.14909090909090908,0.13722154373900514,0.1859096668307257,0.1727798764450958,0.8093202861111624
150,10.0,linear,0.9026618269812461,0.026310851975070736,0.8,0.1695582495781317,0.5555555555555556,0.12171612389003691,0.6364705882352941,0.1047257086318489,0.6061431930334674,0.10640585213785383,0.8093203090278015
150,10.0,rbf,0.892377495462795,0.012737834588287929,0.8428571428571429,0.1289676434661985,0.4,0.0888888888888889,0.5326923076923077,0.07287421277498622,0.5289129010304755,0.07300055117124135,0.8093203305555411
150,10.0,poly,0.8646098003629763,0.012624124837708082,0.9,0.20000000000000004,0.17777777777777776,0.05443310539518174,0.286993006993007,0.07390864065308239,0.35164271431745,0.0749171261256932,0.8093203517360558
150,10.0,sigmoid,0.8437991530550516,0.018709429827273964,0.4966666666666666,0.14157840387730203,0.28888888888888886,0.11331154474650632,0.3569015298427063,0.11574796714863128,0.294271184191209,0.11949617214340806,0.809320371875098
150,100.0,linear,0.9026618269812461,0.026310851975070736,0.8,0.1695582495781317,0.5555555555555556,0.12171612389003691,0.6364705882352941,0.1047257086318489,0.6061431930334674,0.10640585213785383,0.8093203979167609
150,100.0,rbf,0.9165759225650334,0.025687972474704186,0.8857142857142858,0.13997084244475302,0.5555555555555556,0.12171612389003693,0.6711538461538462,0.10201374776826802,0.6553937792701122,0.10828768891600281,0.809320418055601
150,100.0,poly,0.8750151240169389,0.023135613626576165,0.85,0.2,0.24444444444444446,0.12957670877434,0.3644755244755245,0.16296821335534414,0.40209861245306816,0.15231037797862304,0.8093204399305655
150,100.0,sigmoid,0.7950998185117968,0.02053447213413361,0.3430952380952381,0.05141093171910773,0.3333333333333333,0.12171612389003693,0.3284131043721837,0.06698453736110907,0.2151732493573922,0.06842561881059057,0.8093204604166304
180,0.01,linear,0.9235329703569267,0.03224695778657768,0.8714285714285716,0.1371168130032319,0.6222222222222222,0.16629588385661961,0.7073529411764705,0.14184888884455876,0.6881158029604064,0.13615555872499333,0.8093204836804944
180,0.01,rbf,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809320505208436
180,0.01,poly,0.8402903811252269,0.006467705873395817,0.8,0.4000000000000001,0.0,0.0,0.0,0.0,-0.011353134489128948,0.022706268978257897,0.8093205211805778
180,0.01,sigmoid,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809320538541619
180,0.1,linear,0.9166364186327888,0.029813331317223246,0.8464285714285715,0.14533564249554146,0.6,0.15071844406945042,0.6838235294117647,0.12987883626952718,0.6604967553413588,0.12518926453290607,0.8093205531250633
180,0.1,rbf,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093205736111284
180,0.1,poly,0.8402903811252269,0.006467705873395817,0.8,0.4000000000000001,0.0,0.0,0.0,0.0,-0.011353134489128948,0.022706268978257897,0.8093205885415955
180,0.1,sigmoid,0.8437386569872958,0.0013336604770144687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093206052083891
180,1.0,linear,0.9166364186327888,0.029813331317223246,0.8464285714285715,0.14533564249554146,0.6,0.15071844406945042,0.6838235294117647,0.12987883626952718,0.6604967553413588,0.12518926453290607,0.8093206190971816
