pca_n_components,n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
10,5,2,('gini', {None}),0.955111917725348,0.03192599375451842,0.9134615384615385,0.12071042174211706,0.8222222222222222,0.20608041101101565,0.8396544631838749,0.13193594321701765,0.8321592184155057,0.1263266109637997,0.45842554513890515
10,10,2,('gini', {None}),0.9585601935874168,0.027962012857721538,0.9134615384615385,0.12071042174211706,0.8444444444444444,0.16629588385661961,0.8594346829640948,0.10049829715814947,0.8484841664213368,0.1029025141875166,0.4584256197914429
10,5,5,('gini', {None}),0.9445251058681186,0.012663201291766199,0.8804545454545455,0.10821237154490192,0.7777777777777778,0.12171612389003689,0.8109840778416629,0.054212868119922014,0.7905357911971642,0.04907663468549601,0.4584256545139296
10,10,5,('gini', {None}),0.9445251058681186,0.012663201291766199,0.8804545454545455,0.10821237154490192,0.7777777777777778,0.12171612389003689,0.8109840778416629,0.054212868119922014,0.7905357911971642,0.04907663468549601,0.4584256850693136
10,5,2,('gini', {'sqrt'}),0.9306110102843315,0.03300646828871295,0.7816450216450217,0.11724286468657824,0.7777777777777777,0.14054567378526128,0.7749896800825594,0.11574009357112217,0.7373613520910253,0.13406701867786414,0.45842571319452774
10,10,2,('gini', {'sqrt'}),0.8958257713248639,0.02182692759110405,0.6883116883116883,0.026825858675029752,0.6,0.21773242158072695,0.6183333333333333,0.154236470683457,0.5749759833785915,0.13980572844884775,0.4584257427082371
10,5,5,('gini', {'sqrt'}),0.8333938294010889,0.05167915316336777,0.4681385281385282,0.1548355045528556,0.5333333333333333,0.2154524381073924,0.4921777269260107,0.172456717265223,0.39933163270834576,0.20410855430438365,0.4584257722219465
10,10,5,('gini', {'sqrt'}),0.8333938294010889,0.05167915316336777,0.4681385281385282,0.1548355045528556,0.5333333333333333,0.2154524381073924,0.4921777269260107,0.172456717265223,0.39933163270834576,0.20410855430438365,0.45842580069438554
10,5,2,('gini', {'log2'}),0.8680580762250454,0.017558872938629046,0.8099999999999999,0.1854723699099141,0.3333333333333333,0.21081851067789195,0.40087912087912086,0.16885415492963257,0.41944064912592405,0.09585614547612145,0.4584258284719706
10,10,2,('gini', {'log2'}),0.8646098003629763,0.012624124837708082,0.9,0.1224744871391589,0.17777777777777776,0.13333333333333333,0.26461538461538464,0.17659501356654453,0.3021769693808667,0.16316992127068713,0.4584258569444096
10,5,5,('gini', {'log2'}),0.8507562008469449,0.013260373745884447,1.0,0.0,0.04444444444444444,0.08888888888888888,0.07272727272727272,0.14545454545454545,0.08807710121010884,0.17615420242021768,0.4584258847219947
10,10,5,('gini', {'log2'}),0.8507562008469449,0.013260373745884447,1.0,0.0,0.04444444444444444,0.08888888888888888,0.07272727272727272,0.14545454545454545,0.08807710121010884,0.17615420242021768,0.4584259131944337
20,5,2,('gini', {None}),0.955111917725348,0.03192599375451842,0.9134615384615385,0.12071042174211706,0.8222222222222222,0.20608041101101565,0.8396544631838749,0.13193594321701765,0.8321592184155057,0.1263266109637997,0.4584259399303442
20,10,2,('gini', {None}),0.9585601935874168,0.027962012857721538,0.9134615384615385,0.12071042174211706,0.8444444444444444,0.16629588385661961,0.8594346829640948,0.10049829715814947,0.8484841664213368,0.1029025141875166,0.4584259677083335
20,5,5,('gini', {None}),0.9445251058681186,0.012663201291766199,0.8804545454545455,0.10821237154490192,0.7777777777777778,0.12171612389003689,0.8109840778416629,0.054212868119922014,0.7905357911971642,0.04907663468549601,0.4584259958331434
20,10,5,('gini', {None}),0.9445251058681186,0.012663201291766199,0.8804545454545455,0.10821237154490192,0.7777777777777778,0.12171612389003689,0.8109840778416629,0.054212868119922014,0.7905357911971642,0.04907663468549601,0.45842602326390786
20,5,2,('gini', {'sqrt'}),0.9165154264972777,0.03583696369864718,0.7543434343434343,0.13648315002142739,0.6888888888888889,0.19116278371205836,0.7096031746031746,0.1555621151840128,0.6692757355555651,0.1683570329273161,0.45842605173594264
20,10,2,('gini', {'sqrt'}),0.902843315184513,0.0256537568055537,0.701010101010101,0.04499203525519212,0.6444444444444444,0.22662308949301263,0.6488888888888888,0.16712529490633926,0.6080137266288658,0.1537653042462472,0.45842607951393194
20,5,5,('gini', {'sqrt'}),0.8713248638838476,0.03801810869752362,0.5836940836940837,0.12416354529150875,0.6444444444444445,0.1632993161855452,0.6056280193236716,0.13159910643711906,0.535421711453704,0.14977777514096235,0.45842611249989
20,10,5,('gini', {'sqrt'}),0.8713248638838476,0.03801810869752362,0.5836940836940837,0.12416354529150875,0.6444444444444445,0.1632993161855452,0.6056280193236716,0.13159910643711906,0.535421711453704,0.14977777514096235,0.45842613958302536
20,5,2,('gini', {'log2'}),0.8784633998790078,0.02449112155478451,0.7809523809523811,0.21049558195524137,0.4444444444444445,0.15713484026367724,0.5203463203463203,0.09940321539894259,0.5064575957527262,0.07708585470287223,0.4584261680554644
20,10,2,('gini', {'log2'}),0.8715668481548698,0.017399956368285372,0.8476190476190476,0.1890422213455163,0.28888888888888886,0.16629588385661961,0.3793939393939394,0.19848276658635194,0.3778987217705899,0.1934104759108656,0.45842619652749916
20,5,5,('gini', {'log2'}),0.8507562008469449,0.013260373745884447,1.0,0.0,0.04444444444444444,0.08888888888888888,0.07272727272727272,0.14545454545454545,0.08807710121010884,0.17615420242021768,0.45842622256936416
20,10,5,('gini', {'log2'}),0.8507562008469449,0.013260373745884447,1.0,0.0,0.04444444444444444,0.08888888888888888,0.07272727272727272,0.14545454545454545,0.08807710121010884,0.17615420242021768,0.45842624930527465
30,5,2,('gini', {None}),0.955111917725348,0.03192599375451842,0.9134615384615385,0.12071042174211706,0.8222222222222222,0.20608041101101565,0.8396544631838749,0.13193594321701765,0.8321592184155057,0.1263266109637997,0.45842627777771366
30,10,2,('gini', {None}),0.9585601935874168,0.027962012857721538,0.9134615384615385,0.12071042174211706,0.8444444444444444,0.16629588385661961,0.8594346829640948,0.10049829715814947,0.8484841664213368,0.1029025141875166,0.45842630624974845
