n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,class_weight,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
50,10,5,2,gini,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
100,10,5,2,gini,balanced,0.9375075620084695,0.03197582025186587,0.8111111111111111,0.10191075737691188,0.7777777777777777,0.12171612389003689,0.7934640522875818,0.11088789574090714,0.7573492636403258,0.12909585732761483
200,10,5,2,gini,balanced,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,10,2,gini,balanced,0.940895341802783,0.023696858785129577,0.8105555555555556,0.09041058607305937,0.8222222222222222,0.05443310539518171,0.8149982800137598,0.0681310497088073,0.7808334450598473,0.08177028923115252
100,10,10,2,gini,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
200,10,10,2,gini,balanced,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,5,5,gini,balanced,0.8956442831215969,0.03684006880393735,0.6375058275058275,0.10678637918552422,0.8222222222222222,0.05443310539518171,0.7162998405103668,0.0872648457039691,0.6632158827309382,0.10431719031282498
100,10,5,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,10,5,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,10,10,5,gini,balanced,0.8956442831215969,0.03684006880393735,0.6375058275058275,0.10678637918552422,0.8222222222222222,0.05443310539518171,0.7162998405103668,0.0872648457039691,0.6632158827309382,0.10431719031282498
100,10,10,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,10,10,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,20,5,2,gini,balanced,0.9478523895946764,0.01569823418306894,0.8416666666666666,0.05241100628920333,0.8222222222222222,0.05443310539518171,0.8313725490196078,0.049844904483497016,0.8009320300802351,0.05909213707689203
100,20,5,2,gini,balanced,0.9409558378705384,0.025858371719319345,0.8194444444444443,0.08695819912499182,0.7999999999999999,0.0831479419283098,0.8091503267973856,0.08271525238983725,0.7746281752049518,0.09810605197101742
200,20,5,2,gini,balanced,0.9444041137326075,0.013121372569903846,0.8238888888888889,0.048291808471334935,0.8222222222222222,0.05443310539518171,0.822015823873409,0.04193302466637172,0.7898138504372108,0.04984274546216977
50,20,10,2,gini,balanced,0.940895341802783,0.023696858785129577,0.8105555555555556,0.09041058607305937,0.8222222222222222,0.05443310539518171,0.8149982800137598,0.0681310497088073,0.7808334450598473,0.08177028923115252
100,20,10,2,gini,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
200,20,10,2,gini,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
