n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,class_weight,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
50,20,5,5,gini,balanced,0.899092558983666,0.04204437538715641,0.6552836052836053,0.13581273463114324,0.8222222222222222,0.05443310539518171,0.7256565656565657,0.10158543222732362,0.6743340623739625,0.12126308374220895
100,20,5,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,20,5,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,20,10,5,gini,balanced,0.899092558983666,0.04204437538715641,0.6552836052836053,0.13581273463114324,0.8222222222222222,0.05443310539518171,0.7256565656565657,0.10158543222732362,0.6743340623739625,0.12126308374220895
100,20,10,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,20,10,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,30,5,2,gini,balanced,0.9478523895946764,0.01569823418306894,0.8416666666666666,0.05241100628920333,0.8222222222222222,0.05443310539518171,0.8313725490196078,0.049844904483497016,0.8009320300802351,0.05909213707689203
100,30,5,2,gini,balanced,0.9409558378705384,0.025858371719319345,0.8194444444444443,0.08695819912499182,0.7999999999999999,0.0831479419283098,0.8091503267973856,0.08271525238983725,0.7746281752049518,0.09810605197101742
200,30,5,2,gini,balanced,0.9444041137326075,0.013121372569903846,0.8238888888888889,0.048291808471334935,0.8222222222222222,0.05443310539518171,0.822015823873409,0.04193302466637172,0.7898138504372108,0.04984274546216977
50,30,10,2,gini,balanced,0.940895341802783,0.023696858785129577,0.8105555555555556,0.09041058607305937,0.8222222222222222,0.05443310539518171,0.8149982800137598,0.0681310497088073,0.7808334450598473,0.08177028923115252
100,30,10,2,gini,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
200,30,10,2,gini,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
50,30,5,5,gini,balanced,0.899092558983666,0.04204437538715641,0.6552836052836053,0.13581273463114324,0.8222222222222222,0.05443310539518171,0.7256565656565657,0.10158543222732362,0.6743340623739625,0.12126308374220895
100,30,5,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,30,5,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,30,10,5,gini,balanced,0.899092558983666,0.04204437538715641,0.6552836052836053,0.13581273463114324,0.8222222222222222,0.05443310539518171,0.7256565656565657,0.10158543222732362,0.6743340623739625,0.12126308374220895
100,30,10,5,gini,balanced,0.909558378705384,0.04038038884478945,0.6894094794094794,0.1333218580413365,0.8222222222222222,0.05443310539518171,0.7468048910154172,0.10008009486006561,0.6989020269510552,0.11933109638479064
200,30,10,5,gini,balanced,0.9131276467029643,0.029222418729867798,0.6943434343434344,0.09365406869541651,0.8222222222222222,0.05443310539518171,0.7506432748538011,0.07161257475591543,0.7039794441454951,0.08584123015439568
50,10,5,2,entropy,balanced,0.9444646098003628,0.027620678730447247,0.8383838383838385,0.12305003905326109,0.8222222222222222,0.05443310539518171,0.8261111111111111,0.07551469483353865,0.7960232602577674,0.09182251137406205
100,10,5,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
200,10,5,2,entropy,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
50,10,10,2,entropy,balanced,0.941016333938294,0.03377718184570703,0.8277777777777778,0.14098419489388353,0.8222222222222222,0.05443310539518171,0.8194444444444443,0.08695819912499182,0.7882316197463921,0.10516498521640746
100,10,10,2,entropy,balanced,0.9409558378705384,0.025858371719319345,0.8133838383838384,0.09777782995240279,0.8222222222222222,0.05443310539518171,0.8158169934640522,0.07155283796339598,0.7821287356593711,0.08550936466123216
200,10,10,2,entropy,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
50,10,5,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,10,5,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,10,5,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
50,10,10,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,10,10,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,10,10,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
50,20,5,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
100,20,5,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
200,20,5,2,entropy,balanced,0.9409558378705384,0.025858371719319345,0.8194444444444443,0.08695819912499182,0.7999999999999999,0.0831479419283098,0.8091503267973856,0.08271525238983725,0.7746281752049518,0.09810605197101742
50,20,10,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
100,20,10,2,entropy,balanced,0.9409558378705384,0.025858371719319345,0.8133838383838384,0.09777782995240279,0.8222222222222222,0.05443310539518171,0.8158169934640522,0.07155283796339598,0.7821287356593711,0.08550936466123216
200,20,10,2,entropy,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
50,20,5,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,20,5,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,20,5,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
50,20,10,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,20,10,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,20,10,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
50,30,5,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
100,30,5,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
200,30,5,2,entropy,balanced,0.9409558378705384,0.025858371719319345,0.8194444444444443,0.08695819912499182,0.7999999999999999,0.0831479419283098,0.8091503267973856,0.08271525238983725,0.7746281752049518,0.09810605197101742
50,30,10,2,entropy,balanced,0.9479128856624319,0.02190960120565004,0.8511111111111112,0.10318388236661244,0.8222222222222222,0.05443310539518171,0.8334795321637426,0.06372726354453158,0.8047996042479542,0.07779804075549689
100,30,10,2,entropy,balanced,0.9409558378705384,0.025858371719319345,0.8133838383838384,0.09777782995240279,0.8222222222222222,0.05443310539518171,0.8158169934640522,0.07155283796339598,0.7821287356593711,0.08550936466123216
200,30,10,2,entropy,balanced,0.9444041137326075,0.02024802574417501,0.8261111111111111,0.07551469483353865,0.8222222222222222,0.05443310539518171,0.8231854145166839,0.06025119409659384,0.7909050796495579,0.07195067233899247
50,30,5,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,30,5,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,30,5,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
50,30,10,5,entropy,balanced,0.8853599516031458,0.026131220270540958,0.5925641025641026,0.05829260341940672,0.8666666666666666,0.0831479419283098,0.703030303030303,0.06470956516382616,0.653496819430473,0.08090952796400862
100,30,10,5,entropy,balanced,0.8992135511191772,0.025749872493417203,0.6394871794871795,0.08152636581788372,0.8444444444444444,0.05443310539518171,0.7259968102073364,0.06406958816849141,0.6769019134234361,0.07669486520737939
200,30,10,5,entropy,balanced,0.9131881427707199,0.024480360036658575,0.6886324786324787,0.08635423040207793,0.8444444444444444,0.05443310539518171,0.7551454393559656,0.05783649960863882,0.7112980782551913,0.06843660902617434
