max_depth,min_samples_split,min_samples_leaf,criterion,max_features,class_weight,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
10,5,2,gini,,balanced,0.9168179068360557,0.03669175033057768,0.7141414141414142,0.12050974954218828,0.7999999999999999,0.0831479419283098,0.7535672514619882,0.10284260472889209,0.706223969374124,0.12338717234866188
10,10,2,gini,,balanced,0.9168179068360557,0.025156473462427078,0.7123232323232322,0.09275653683157453,0.8,0.04444444444444442,0.7525146198830409,0.07014950787970053,0.705305030219517,0.0836528761761637
10,5,5,gini,,balanced,0.8924379915305506,0.03673690648053033,0.6163336663336664,0.09010544753473694,0.8444444444444444,0.11331154474650633,0.7113269339356296,0.09487919436177826,0.6604362448270373,0.11822466604292119
10,10,5,gini,,balanced,0.8924379915305506,0.03673690648053033,0.6163336663336664,0.09010544753473694,0.8444444444444444,0.11331154474650633,0.7113269339356296,0.09487919436177826,0.6604362448270373,0.11822466604292119
10,5,2,gini,sqrt,balanced,0.8715668481548698,0.03750443950080433,0.5976756576756577,0.1421504782057067,0.7333333333333332,0.0888888888888889,0.6467099567099567,0.07723584311366945,0.583278304515473,0.0991518350930998
10,10,2,gini,sqrt,balanced,0.8440411373260737,0.053915064924094015,0.53,0.10666666666666666,0.7555555555555555,0.08314794192830981,0.6112733107130645,0.06792913443132001,0.5415773024984141,0.08096992481749651
10,5,5,gini,sqrt,balanced,0.8024803387779794,0.06051602816503092,0.44558444651323914,0.09701921711726792,0.7999999999999999,0.0831479419283098,0.5668460571686379,0.08977713891730896,0.49108614267144113,0.10857207404523662
10,10,5,gini,sqrt,balanced,0.8024803387779794,0.06051602816503092,0.44558444651323914,0.09701921711726792,0.7999999999999999,0.0831479419283098,0.5668460571686379,0.08977713891730896,0.49108614267144113,0.10857207404523662
10,5,2,gini,log2,balanced,0.7954022988505747,0.0979327639943063,0.45866447728516685,0.1408136390883698,0.6222222222222223,0.23934065809486685,0.49028265107212465,0.1325312574325653,0.4105440704652514,0.14718001552362872
10,10,2,gini,log2,balanced,0.7885057471264367,0.0966289811249781,0.44952380952380955,0.14564268393304194,0.6222222222222223,0.23934065809486685,0.4821882408724513,0.1310033406501564,0.4010791510053048,0.14618782068335562
10,5,5,gini,log2,balanced,0.7140955837870538,0.2395775201589968,0.4206842105263158,0.17724731145572434,0.6,0.26851213274654606,0.433732406020804,0.17035339961075593,0.32278967142163034,0.22154481844483823
10,10,5,gini,log2,balanced,0.7140955837870538,0.2395775201589968,0.4206842105263158,0.17724731145572434,0.6,0.26851213274654606,0.433732406020804,0.17035339961075593,0.32278967142163034,0.22154481844483823
20,5,2,gini,,balanced,0.9168179068360557,0.03669175033057768,0.7141414141414142,0.12050974954218828,0.7999999999999999,0.0831479419283098,0.7535672514619882,0.10284260472889209,0.706223969374124,0.12338717234866188
20,10,2,gini,,balanced,0.9168179068360557,0.025156473462427078,0.7123232323232322,0.09275653683157453,0.8,0.04444444444444442,0.7525146198830409,0.07014950787970053,0.705305030219517,0.0836528761761637
20,5,5,gini,,balanced,0.8924379915305506,0.03673690648053033,0.6163336663336664,0.09010544753473694,0.8444444444444444,0.11331154474650633,0.7113269339356296,0.09487919436177826,0.6604362448270373,0.11822466604292119
20,10,5,gini,,balanced,0.8924379915305506,0.03673690648053033,0.6163336663336664,0.09010544753473694,0.8444444444444444,0.11331154474650633,0.7113269339356296,0.09487919436177826,0.6604362448270373,0.11822466604292119
20,5,2,gini,sqrt,balanced,0.8787053841500303,0.03016746681058814,0.6366666666666667,0.13432961119739922,0.6888888888888888,0.10886621079036345,0.643111307680967,0.044217981198826785,0.5852952314018997,0.05983680440875778
20,10,2,gini,sqrt,balanced,0.8510586811857228,0.054539679559641466,0.5747098515519568,0.16179276852618169,0.711111111111111,0.08888888888888889,0.6106060606060606,0.06312929289696864,0.5455425987051672,0.07940742218724825
20,5,5,gini,sqrt,balanced,0.8128251663641863,0.0624199236217565,0.4632315053367685,0.09728702547571537,0.8222222222222222,0.08888888888888888,0.5871537494763301,0.09250241075356896,0.5173833774869024,0.11281140916915935
20,10,5,gini,sqrt,balanced,0.8128251663641863,0.0624199236217565,0.4632315053367685,0.09728702547571537,0.8222222222222222,0.08888888888888888,0.5871537494763301,0.09250241075356896,0.5173833774869024,0.11281140916915935
20,5,2,gini,log2,balanced,0.8540834845735027,0.023901383133436427,0.5343589743589743,0.06995067295561064,0.6444444444444445,0.16329931618554522,0.5715584415584416,0.09253783179813357,0.4977661524219271,0.09789259491134673
20,10,2,gini,log2,balanced,0.8092558983666063,0.0692952286667646,0.4625641025641025,0.08070367710147339,0.6666666666666667,0.1987615979999813,0.5206311232627022,0.08478269281033157,0.4422738780253638,0.08821765644683814
20,5,5,gini,log2,balanced,0.7140955837870538,0.2395775201589968,0.4206842105263158,0.17724731145572434,0.6,0.26851213274654606,0.433732406020804,0.17035339961075593,0.32278967142163034,0.22154481844483823
20,10,5,gini,log2,balanced,0.7140955837870538,0.2395775201589968,0.4206842105263158,0.17724731145572434,0.6,0.26851213274654606,0.433732406020804,0.17035339961075593,0.32278967142163034,0.22154481844483823
30,5,2,gini,,balanced,0.9168179068360557,0.03669175033057768,0.7141414141414142,0.12050974954218828,0.7999999999999999,0.0831479419283098,0.7535672514619882,0.10284260472889209,0.706223969374124,0.12338717234866188
30,10,2,gini,,balanced,0.9168179068360557,0.025156473462427078,0.7123232323232322,0.09275653683157453,0.8,0.04444444444444442,0.7525146198830409,0.07014950787970053,0.705305030219517,0.0836528761761637
