pca_n_components,n_neighbors,metric,weights,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,3,cosine,uniform,0.8543254688445252,0.03141639490213739,0.5233333333333333,0.29582276976445054,0.24444444444444446,0.14740554623801774,0.3304029304029304,0.19311221908636705,0.28974624332589033,0.21733169964262408,0.6996075878475191
180,3,cosine,uniform,0.8543254688445252,0.03141639490213739,0.5233333333333333,0.29582276976445054,0.24444444444444446,0.14740554623801774,0.3304029304029304,0.19311221908636705,0.28974624332589033,0.21733169964262408,0.6996076482638374
200,3,cosine,uniform,0.8577737447065941,0.0270414039397367,0.59,0.18844392033470095,0.2666666666666667,0.11331154474650632,0.3637362637362637,0.1403919925709563,0.3289289752824831,0.1559522646263935,0.6996076791668505
220,3,cosine,uniform,0.8577737447065941,0.0270414039397367,0.59,0.18844392033470095,0.2666666666666667,0.11331154474650632,0.3637362637362637,0.1403919925709563,0.3289289752824831,0.1559522646263935,0.6996077114583588
150,3,cosine,distance,0.878584392014519,0.023968661143241626,0.7742857142857142,0.20925523912686347,0.3333333333333333,0.1405456737852613,0.4464535464535465,0.1574256952283021,0.4455500397908122,0.15291349645862679,0.6996077364585491
180,3,cosine,distance,0.878584392014519,0.023968661143241626,0.7742857142857142,0.20925523912686347,0.3333333333333333,0.1405456737852613,0.4464535464535465,0.1574256952283021,0.4455500397908122,0.15291349645862679,0.6996077659722586
200,3,cosine,distance,0.8820326678765881,0.019729510520773277,0.8076190476190476,0.17305052805689725,0.3555555555555555,0.10886621079036347,0.4767565767565768,0.11143355487779204,0.4755404766760054,0.10512518474532481,0.699607790972449
220,3,cosine,distance,0.8820326678765881,0.019729510520773277,0.8076190476190476,0.17305052805689725,0.3555555555555555,0.10886621079036347,0.4767565767565768,0.11143355487779204,0.4755404766760054,0.10512518474532481,0.699607834375153
150,5,cosine,uniform,0.8613430127041741,0.033822983050329984,0.6,0.34318767136623335,0.22222222222222224,0.1859244503409057,0.3090909090909091,0.22052612604436667,0.3009312283167659,0.24191535051886973,0.6996078652777619
180,5,cosine,uniform,0.8612825166364185,0.030208443540449558,0.6428571428571429,0.37252585172586566,0.22222222222222224,0.1859244503409057,0.3068181818181818,0.20854672267189933,0.31025142961326463,0.23324242674077353,0.6996078944446507
200,5,cosine,uniform,0.8578342407743497,0.028909905520876047,0.5761904761904761,0.3300518752602563,0.22222222222222224,0.1859244503409057,0.3007575757575758,0.20724370698845773,0.2880467726067074,0.22487686223384765,0.6996079267361589
220,5,cosine,uniform,0.8612825166364185,0.030208443540449558,0.6428571428571429,0.37252585172586566,0.22222222222222224,0.1859244503409057,0.3068181818181818,0.20854672267189933,0.31025142961326463,0.23324242674077353,0.6996079527780239
150,5,cosine,distance,0.8820931639443437,0.0293293022475728,0.7742857142857142,0.20925523912686347,0.3555555555555555,0.16329931618554522,0.4662337662337663,0.18174395516400937,0.46188476088379576,0.17498800224624023,0.699607980555609
180,5,cosine,distance,0.8855414398064125,0.027742971647361,0.7933333333333333,0.19367785395111936,0.3555555555555555,0.16329931618554522,0.47290043290043293,0.18346350990497176,0.47267368572060553,0.17409903447244715,0.6996080086808232
200,5,cosine,distance,0.8820931639443437,0.0293293022475728,0.7742857142857142,0.20925523912686347,0.3555555555555555,0.16329931618554522,0.4662337662337663,0.18174395516400937,0.46188476088379576,0.17498800224624023,0.6996080364584082
220,5,cosine,distance,0.8855414398064125,0.027742971647361,0.7933333333333333,0.19367785395111936,0.3555555555555555,0.16329931618554522,0.47290043290043293,0.18346350990497176,0.47267368572060553,0.17409903447244715,0.6996080631947229
150,7,cosine,uniform,0.8681790683605566,0.02542519534824035,0.8333333333333334,0.21081851067789195,0.19999999999999998,0.14740554623801774,0.2988344988344988,0.2042490164936903,0.3168499162466366,0.21704286337651454,0.699608088541734
180,7,cosine,uniform,0.8681790683605566,0.02542519534824035,0.8333333333333334,0.21081851067789195,0.19999999999999998,0.14740554623801774,0.2988344988344988,0.2042490164936903,0.3168499162466366,0.21704286337651454,0.6996081138891491
200,7,cosine,uniform,0.8647307924984876,0.029241198482413352,0.6333333333333333,0.3711842908553348,0.19999999999999998,0.14740554623801774,0.2988344988344988,0.2042490164936903,0.30549678175750766,0.2341317121144079,0.6996081413195093
220,7,cosine,uniform,0.8647307924984876,0.029241198482413352,0.6333333333333333,0.3711842908553348,0.19999999999999998,0.14740554623801774,0.2988344988344988,0.2042490164936903,0.30549678175750766,0.2341317121144079,0.699608175347142
150,7,cosine,distance,0.8889292196007259,0.020568129241142978,0.9333333333333332,0.13333333333333336,0.3333333333333333,0.1405456737852613,0.46554778554778553,0.16149216449415094,0.4997614023090608,0.1238802545043232,0.6996082013890069
180,7,cosine,distance,0.8889292196007259,0.020568129241142978,0.9333333333333332,0.13333333333333336,0.3333333333333333,0.1405456737852613,0.46554778554778553,0.16149216449415094,0.4997614023090608,0.1238802545043232,0.699608226388793
200,7,cosine,distance,0.885480943738657,0.025609636814572522,0.8333333333333333,0.21081851067789195,0.3333333333333333,0.1405456737852613,0.46191142191142187,0.16752273988075497,0.47394650878976136,0.16690701497780616,0.6996082513889834
220,7,cosine,distance,0.885480943738657,0.025609636814572522,0.8333333333333333,0.21081851067789195,0.3333333333333333,0.1405456737852613,0.46191142191142187,0.16752273988075497,0.47394650878976136,0.16690701497780616,0.6996082788197479
