pca_n_components,learning_rate,max_depth,n_estimators,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,0.01,3,100,0.8612220205686631,0.018242749473855114,1.0,0.0,0.11111111111111112,0.12171612389003691,0.18,0.18330302779823363,0.23239906077156897,0.20832875149514732,3.1374296854167674
150,0.01,3,150,0.8819721718088325,0.020162895595021005,1.0,0.0,0.24444444444444446,0.12957670877434,0.37580419580419583,0.16418627341562816,0.4476026662475414,0.12879735631131312,3.13742975243056
150,0.01,3,200,0.8854204476709014,0.02087456243858915,1.0,0.0,0.26666666666666666,0.13333333333333333,0.40307692307692305,0.17108079685708283,0.46840080806133494,0.13432289208184234,3.137429786458395
150,0.01,5,100,0.8680580762250454,0.008396540386157276,1.0,0.0,0.15555555555555553,0.05443310539518174,0.2654545454545455,0.08016511885472219,0.36161317155650274,0.06455175103392582,3.137429817013981
150,0.01,5,150,0.8784633998790078,0.015591563179598332,1.0,0.0,0.22222222222222224,0.09938079899999065,0.3527272727272727,0.13427491227372185,0.42958062332300184,0.10561017230969626,3.137429847222342
150,0.01,5,200,0.8819116757410768,0.01721918313139402,1.0,0.0,0.2444444444444444,0.10886621079036347,0.38,0.14696938456699069,0.4503787651367953,0.11557265614654853,3.137429876389029
150,0.01,7,100,0.8680580762250454,0.008396540386157276,1.0,0.0,0.15555555555555553,0.05443310539518174,0.2654545454545455,0.08016511885472219,0.36161317155650274,0.06455175103392582,3.1374299034723663
150,0.01,7,150,0.8715063520871145,0.01398807236796395,0.9333333333333332,0.13333333333333336,0.2,0.08314794192830981,0.3193939393939394,0.1124989541834871,0.38658685673619,0.09303122769046988,3.1374299444444964
150,0.01,7,200,0.8784029038112522,0.01599202995453076,1.0,0.0,0.22222222222222218,0.09938079899999065,0.35272727272727267,0.13427491227372185,0.4295896555565407,0.10573276834711762,3.1374299739584077
150,0.01,10,100,0.8680580762250454,0.008396540386157276,1.0,0.0,0.15555555555555553,0.05443310539518174,0.2654545454545455,0.08016511885472219,0.36161317155650274,0.06455175103392582,3.1374300003472957
150,0.01,10,150,0.8715063520871145,0.01398807236796395,0.9333333333333332,0.13333333333333336,0.2,0.08314794192830981,0.3193939393939394,0.1124989541834871,0.38658685673619,0.09303122769046988,3.137430028125083
150,0.01,10,200,0.8784029038112522,0.01599202995453076,1.0,0.0,0.22222222222222218,0.09938079899999065,0.35272727272727267,0.13427491227372185,0.4295896555565407,0.10573276834711762,3.1374300597223432
150,0.1,3,100,0.8991530550514216,0.023738521317846914,0.9333333333333333,0.13333333333333336,0.37777777777777777,0.11331154474650634,0.5326007326007327,0.12782465784163075,0.5539755051755006,0.12953300677921278,3.137430088541805
150,0.1,3,150,0.9094978826376285,0.030622844184069513,0.9333333333333333,0.13333333333333336,0.4444444444444445,0.15713484026367722,0.5926007326007326,0.1637896676846316,0.6035044377731309,0.16030327512230752,3.1374301232638877
150,0.1,3,200,0.9129461584996974,0.03539428417854051,0.9333333333333333,0.13333333333333336,0.4666666666666667,0.1911627837120584,0.6076007326007327,0.18425263434268743,0.6178759868410421,0.17876891050072313,3.1374301586806217
150,0.1,5,100,0.8991530550514216,0.030335385064074873,0.9,0.13333333333333336,0.4,0.18053418676968802,0.5327272727272727,0.17821067587383377,0.548596413081521,0.15943651722044894,3.1374301902778825
150,0.1,5,150,0.9094373865698732,0.04374731635557316,0.9,0.2,0.4444444444444445,0.24343224778007383,0.5713636363636363,0.2475483090010033,0.5850465039679814,0.24056530367285706,3.1374302218751433
150,0.1,5,200,0.9163944343617665,0.04236046807715161,0.9,0.2,0.4888888888888888,0.22879178091082222,0.6175174825174825,0.24059929129993912,0.6210892739653319,0.23855308238727363,3.1374302496529305
150,0.1,7,100,0.8991530550514216,0.028307764354968432,0.9333333333333333,0.13333333333333336,0.37777777777777777,0.15071844406945042,0.5251082251082251,0.1643517197680285,0.5495023113675382,0.15256719876407135,3.1374302815972137
150,0.1,7,150,0.9129461584996976,0.03860786812205295,0.9333333333333333,0.13333333333333336,0.4666666666666667,0.2154524381073924,0.6016666666666667,0.20333333333333334,0.6150385172872193,0.19263396033464325,3.1374303152778236
150,0.1,7,200,0.9164549304295221,0.03757697069083351,0.9333333333333333,0.13333333333333336,0.48888888888888893,0.20608041101101565,0.6247435897435898,0.19693225806588838,0.6330605602117589,0.18936323011681241,3.1374303465278595
150,0.1,10,100,0.8991530550514216,0.028307764354968432,0.9333333333333333,0.13333333333333336,0.37777777777777777,0.15071844406945042,0.5251082251082251,0.1643517197680285,0.5495023113675382,0.15256719876407135,3.137430376041771
150,0.1,10,150,0.9129461584996976,0.03860786812205295,0.9333333333333333,0.13333333333333336,0.4666666666666667,0.2154524381073924,0.6016666666666667,0.20333333333333334,0.6150385172872193,0.19263396033464325,3.137430406944582
150,0.1,10,200,0.9164549304295221,0.03757697069083351,0.9333333333333333,0.13333333333333336,0.48888888888888893,0.20608041101101565,0.6247435897435898,0.19693225806588838,0.6330605602117589,0.18936323011681241,3.137430438194416
150,0.3,3,100,0.9094373865698729,0.04093916901814264,0.8777777777777779,0.19372884193514103,0.48888888888888893,0.22879178091082222,0.6052503052503052,0.1959901321291084,0.6044568155034387,0.20350169094862258,3.137430469097227
150,0.3,3,150,0.9094373865698729,0.04093916901814264,0.8777777777777779,0.19372884193514103,0.48888888888888893,0.22879178091082222,0.6052503052503052,0.1959901321291084,0.6044568155034387,0.20350169094862258,3.137430501388937
150,0.3,3,200,0.9094373865698729,0.04093916901814264,0.8777777777777779,0.19372884193514103,0.48888888888888893,0.22879178091082222,0.6052503052503052,0.1959901321291084,0.6044568155034387,0.20350169094862258,3.1374305315972983
150,0.3,5,100,0.9024803387779794,0.04126550260064526,0.8083333333333332,0.19649710204252663,0.4666666666666667,0.2372684056006958,0.5677361853832441,0.23412864274071601,0.5580518408648276,0.22869510037450527,3.1374305604167603
150,0.3,5,150,0.9059286146400485,0.045455861290683075,0.8111111111111111,0.19751543149590198,0.4888888888888888,0.26851213274654606,0.5808080808080808,0.24937346242710218,0.572700366941925,0.24517060236672433,3.1374305906251214
150,0.3,5,200,0.9059286146400485,0.045455861290683075,0.8111111111111111,0.19751543149590198,0.4888888888888888,0.26851213274654606,0.5808080808080808,0.24937346242710218,0.572700366941925,0.24517060236672433,3.1374306222223822
150,0.3,7,100,0.9060496067755596,0.03640114301480149,0.8714285714285716,0.19378085666072195,0.44444444444444436,0.21081851067789195,0.5694405594405594,0.2204283658751087,0.573833446708285,0.21410028275234325,3.1374306548611153
150,0.3,7,150,0.9163944343617665,0.04236046807715161,0.8777777777777779,0.19372884193514103,0.5111111111111112,0.25915341754868,0.6202952602952603,0.2436172030091928,0.6218950852418937,0.23937915274420044,3.137430687500051
