n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
50,10,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
100,10,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
200,10,5,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
50,10,10,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
100,10,10,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
200,10,10,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
50,10,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
100,10,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
200,10,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
50,10,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
100,10,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
200,10,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
50,20,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
100,20,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
200,20,5,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
50,20,10,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
100,20,10,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
200,20,10,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
50,20,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
100,20,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
200,20,5,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
50,20,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
100,20,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
200,20,10,5,gini,0.8666666666666666,0.056655772373253144,0.861111111111111,0.08958064164776165,0.888888888888889,0.07027283689263066,0.8707749766573295,0.05375297510327849,0.7425290166595149,0.1111501827365009
50,30,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
100,30,5,2,gini,0.8666666666666666,0.056655772373253144,0.8833333333333334,0.10599324460188285,0.8666666666666666,0.0831479419283098,0.8679971988795518,0.053100034691642685,0.7465182681474524,0.11269095783412067
200,30,5,2,gini,0.8555555555555555,0.056655772373253144,0.8583333333333334,0.08888888888888888,0.8666666666666666,0.0831479419283098,0.857703081232493,0.05567148102569133,0.7211375397539467,0.11259084394541569
