max_depth,min_samples_split,min_samples_leaf,criterion,max_features,class_weight,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
10,5,2,gini,,balanced,0.8666666666666668,0.07535922203472518,0.8992063492063492,0.09429426501764537,0.8444444444444444,0.15071844406945042,0.8592063492063492,0.08501715327935813,0.7523588444898125,0.14099251176572003
10,10,2,gini,,balanced,0.8555555555555555,0.09026709338484401,0.9044444444444444,0.08302907418786401,0.8,0.1632993161855452,0.83953216374269,0.10921346591000607,0.7254218946010588,0.1708659521345387
10,5,5,gini,,balanced,0.8444444444444444,0.09558139185602918,0.8333333333333333,0.09781564923143893,0.8666666666666666,0.12957670877434002,0.84593837535014,0.09996682218584475,0.6975307420039678,0.19017600622084327
10,10,5,gini,,balanced,0.8444444444444444,0.09558139185602918,0.8333333333333333,0.09781564923143893,0.8666666666666666,0.12957670877434002,0.84593837535014,0.09996682218584475,0.6975307420039678,0.19017600622084327
10,5,2,gini,sqrt,balanced,0.7777777777777778,0.07027283689263066,0.8203174603174604,0.04492259797157769,0.711111111111111,0.1507184440694504,0.753174603174603,0.10263595657350609,0.5661591949909408,0.12859075782896276
10,10,2,gini,sqrt,balanced,0.7666666666666667,0.11331154474650632,0.8103174603174603,0.1126984126984127,0.6888888888888889,0.25724082006200505,0.7186507936507937,0.19827932024923417,0.5558520905515488,0.22228154476572665
10,5,5,gini,sqrt,balanced,0.8,0.027216552697590882,0.7824386724386724,0.044735642060238036,0.8444444444444444,0.11331154474650633,0.805405179615706,0.03971374229444551,0.6146176989176839,0.06199684757299786
10,10,5,gini,sqrt,balanced,0.8,0.027216552697590882,0.7824386724386724,0.044735642060238036,0.8444444444444444,0.11331154474650633,0.805405179615706,0.03971374229444551,0.6146176989176839,0.06199684757299786
10,5,2,gini,log2,balanced,0.6666666666666666,0.15713484026367722,0.74989898989899,0.227340147126863,0.48888888888888893,0.3485419364746249,0.5253968253968253,0.29806802113862807,0.362629858075988,0.3135662024309165
10,10,2,gini,log2,balanced,0.6666666666666666,0.15713484026367722,0.74989898989899,0.227340147126863,0.48888888888888893,0.3485419364746249,0.5253968253968253,0.29806802113862807,0.362629858075988,0.3135662024309165
10,5,5,gini,log2,balanced,0.7,0.1632993161855452,0.8091064491064491,0.15245953093694178,0.6222222222222221,0.3624334762288909,0.5993362193362193,0.3272898494239648,0.41432815027041536,0.3276610996997381
10,10,5,gini,log2,balanced,0.7,0.1632993161855452,0.8091064491064491,0.15245953093694178,0.6222222222222221,0.3624334762288909,0.5993362193362193,0.3272898494239648,0.41432815027041536,0.3276610996997381
20,5,2,gini,,balanced,0.8666666666666668,0.07535922203472518,0.8992063492063492,0.09429426501764537,0.8444444444444444,0.15071844406945042,0.8592063492063492,0.08501715327935813,0.7523588444898125,0.14099251176572003
20,10,2,gini,,balanced,0.8555555555555555,0.09026709338484401,0.9044444444444444,0.08302907418786401,0.8,0.1632993161855452,0.83953216374269,0.10921346591000607,0.7254218946010588,0.1708659521345387
20,5,5,gini,,balanced,0.8444444444444444,0.09558139185602918,0.8333333333333333,0.09781564923143893,0.8666666666666666,0.12957670877434002,0.84593837535014,0.09996682218584475,0.6975307420039678,0.19017600622084327
20,10,5,gini,,balanced,0.8444444444444444,0.09558139185602918,0.8333333333333333,0.09781564923143893,0.8666666666666666,0.12957670877434002,0.84593837535014,0.09996682218584475,0.6975307420039678,0.19017600622084327
20,5,2,gini,sqrt,balanced,0.7777777777777778,0.07027283689263066,0.8203174603174604,0.04492259797157769,0.711111111111111,0.1507184440694504,0.753174603174603,0.10263595657350609,0.5661591949909408,0.12859075782896276
20,10,2,gini,sqrt,balanced,0.7666666666666667,0.11331154474650632,0.8103174603174603,0.1126984126984127,0.6888888888888889,0.25724082006200505,0.7186507936507937,0.19827932024923417,0.5558520905515488,0.22228154476572665
20,5,5,gini,sqrt,balanced,0.8,0.027216552697590882,0.7824386724386724,0.044735642060238036,0.8444444444444444,0.11331154474650633,0.805405179615706,0.03971374229444551,0.6146176989176839,0.06199684757299786
20,10,5,gini,sqrt,balanced,0.8,0.027216552697590882,0.7824386724386724,0.044735642060238036,0.8444444444444444,0.11331154474650633,0.805405179615706,0.03971374229444551,0.6146176989176839,0.06199684757299786
20,5,2,gini,log2,balanced,0.6666666666666666,0.15713484026367722,0.74989898989899,0.227340147126863,0.48888888888888893,0.3485419364746249,0.5253968253968253,0.29806802113862807,0.362629858075988,0.3135662024309165
20,10,2,gini,log2,balanced,0.6666666666666666,0.15713484026367722,0.74989898989899,0.227340147126863,0.48888888888888893,0.3485419364746249,0.5253968253968253,0.29806802113862807,0.362629858075988,0.3135662024309165
20,5,5,gini,log2,balanced,0.7,0.1632993161855452,0.8091064491064491,0.15245953093694178,0.6222222222222221,0.3624334762288909,0.5993362193362193,0.3272898494239648,0.41432815027041536,0.3276610996997381
20,10,5,gini,log2,balanced,0.7,0.1632993161855452,0.8091064491064491,0.15245953093694178,0.6222222222222221,0.3624334762288909,0.5993362193362193,0.3272898494239648,0.41432815027041536,0.3276610996997381
30,5,2,gini,,balanced,0.8666666666666668,0.07535922203472518,0.8992063492063492,0.09429426501764537,0.8444444444444444,0.15071844406945042,0.8592063492063492,0.08501715327935813,0.7523588444898125,0.14099251176572003
30,10,2,gini,,balanced,0.8555555555555555,0.09026709338484401,0.9044444444444444,0.08302907418786401,0.8,0.1632993161855452,0.83953216374269,0.10921346591000607,0.7254218946010588,0.1708659521345387
