n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,0.8777777777777777,0.885,0.888888888888889,0.8810260946483857,0.7675203899372506
100,10,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,10,10,2,gini,0.8777777777777779,0.885,0.888888888888889,0.8795555064130915,0.7692943205807774
100,10,10,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,10,2,gini,0.8666666666666666,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7444674223983743
50,10,5,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,10,5,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,10,5,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,10,10,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,10,10,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,10,10,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,20,5,2,gini,0.8777777777777777,0.885,0.888888888888889,0.8810260946483857,0.7675203899372506
100,20,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,20,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,20,10,2,gini,0.8777777777777779,0.885,0.888888888888889,0.8795555064130915,0.7692943205807774
100,20,10,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,20,10,2,gini,0.8666666666666666,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7444674223983743
50,20,5,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,20,5,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,20,5,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,20,10,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,20,10,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,20,10,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,30,5,2,gini,0.8777777777777777,0.885,0.888888888888889,0.8810260946483857,0.7675203899372506
100,30,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,30,5,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,30,10,2,gini,0.8777777777777779,0.885,0.888888888888889,0.8795555064130915,0.7692943205807774
100,30,10,2,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,30,10,2,gini,0.8666666666666666,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7444674223983743
50,30,5,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,30,5,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,30,5,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,30,10,5,gini,0.8555555555555555,0.8604545454545456,0.8666666666666666,0.8576006191950464,0.720718979003089
100,30,10,5,gini,0.8666666666666666,0.8604545454545456,0.888888888888889,0.8708359133126933,0.7400596101595791
200,30,10,5,gini,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,10,5,2,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
100,10,5,2,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,5,2,entropy,0.8888888888888887,0.8786363636363637,0.9111111111111111,0.8908359133126936,0.7856438407434342
50,10,10,2,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
100,10,10,2,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,10,2,entropy,0.8666666666666666,0.8605555555555556,0.888888888888889,0.8693989876652415,0.7444674223983743
50,10,5,5,entropy,0.8666666666666666,0.865,0.888888888888889,0.8690291906236179,0.7481797587807606
100,10,5,5,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,5,5,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,10,10,5,entropy,0.8666666666666666,0.865,0.888888888888889,0.8690291906236179,0.7481797587807606
100,10,10,5,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
200,10,10,5,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
50,20,5,2,entropy,0.8777777777777777,0.865,0.9111111111111111,0.8822644847412647,0.7675203899372506
