pca_n_components,n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
50,100,3,0.01,0.6444444444444445,0.090267093384844,0.6801587301587302,0.13528429049309534,0.6,0.11331154474650633,0.6277777777777777,0.08888888888888886,0.30039627021109727,0.1879341366908994,2.158458064444777
50,150,3,0.01,0.6222222222222222,0.1077262190536962,0.6448051948051947,0.13592384243694483,0.6,0.08888888888888888,0.6164396284829722,0.09776413311839426,0.2489875261434847,0.21939708738909378,2.158458257778289
50,200,3,0.01,0.6666666666666666,0.0785674201318386,0.692063492063492,0.11095794431631967,0.6444444444444445,0.08314794192830981,0.6606209150326798,0.06690493113931548,0.3411423157367377,0.15973057202378177,2.158458384444627
50,100,5,0.01,0.6777777777777778,0.08164965809277258,0.715873015873016,0.12504975074445243,0.6444444444444445,0.08314794192830981,0.668954248366013,0.06450089667068974,0.36704687401916125,0.1680367476650616,2.1584585155554428
50,150,5,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.1584586411106605
50,200,5,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.1584587500003787
50,100,7,0.01,0.6777777777777778,0.08164965809277258,0.715873015873016,0.12504975074445243,0.6444444444444445,0.08314794192830981,0.668954248366013,0.06450089667068974,0.36704687401916125,0.1680367476650616,2.1584588611110425
50,150,7,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.1584589711105866
50,200,7,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.1584590777780654
50,100,10,0.01,0.6777777777777778,0.08164965809277258,0.715873015873016,0.12504975074445243,0.6444444444444445,0.08314794192830981,0.668954248366013,0.06450089667068974,0.36704687401916125,0.1680367476650616,2.1584591844442507
50,150,10,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.158459296666034
50,200,10,0.01,0.7,0.10304020550550781,0.7242063492063492,0.133689527999389,0.6888888888888889,0.08314794192830981,0.7003267973856209,0.08918395854230499,0.4069300485109423,0.20717926408675008,2.1584594011112737
50,100,3,0.1,0.7,0.10886621079036345,0.7116605616605616,0.1139377340080602,0.711111111111111,0.11331154474650632,0.7045603089720738,0.09632790895703104,0.4048482341158383,0.21391898076151103,2.1584595088885785
50,150,3,0.1,0.711111111111111,0.09558139185602917,0.7182539682539683,0.10426771365025392,0.7333333333333332,0.1333333333333333,0.7164180164819551,0.09068723482231482,0.4334935355804815,0.1815366872438775,2.158459616667177
50,200,3,0.1,0.7333333333333334,0.08888888888888886,0.7320634920634921,0.10204830912273744,0.7777777777777777,0.09938079899999065,0.7466295747894887,0.07246085092598567,0.4773359612380152,0.1656011736543011,2.158459726666721
50,100,5,0.1,0.7444444444444445,0.10304020550550781,0.7527777777777778,0.11798200323108499,0.7555555555555554,0.08314794192830981,0.7503267973856209,0.09003490383122907,0.49296947205130437,0.20322914968030362,2.1584598288884282
50,150,5,0.1,0.7333333333333334,0.0888888888888889,0.7476190476190476,0.11836710258790951,0.7555555555555554,0.08314794192830981,0.7430520034100596,0.06695711005216348,0.4778897914491179,0.167717869461352,2.1584599366670267
50,200,5,0.1,0.7555555555555556,0.0968644209675705,0.757063492063492,0.11751886142928365,0.7999999999999999,0.08314794192830981,0.7701589865541946,0.07448215535694924,0.522057320788011,0.1809130244574606,2.158460056666647
50,100,7,0.1,0.7444444444444445,0.10304020550550781,0.7527777777777778,0.11798200323108499,0.7555555555555554,0.08314794192830981,0.7503267973856209,0.09003490383122907,0.49296947205130437,0.20322914968030362,2.158460164443952
50,150,7,0.1,0.7333333333333334,0.0888888888888889,0.7476190476190476,0.11836710258790951,0.7555555555555554,0.08314794192830981,0.7430520034100596,0.06695711005216348,0.4778897914491179,0.167717869461352,2.1584602800003876
50,200,7,0.1,0.7555555555555556,0.0968644209675705,0.757063492063492,0.11751886142928365,0.7999999999999999,0.08314794192830981,0.7701589865541946,0.07448215535694924,0.522057320788011,0.1809130244574606,2.158460391111051
50,100,10,0.1,0.7444444444444445,0.10304020550550781,0.7527777777777778,0.11798200323108499,0.7555555555555554,0.08314794192830981,0.7503267973856209,0.09003490383122907,0.49296947205130437,0.20322914968030362,2.158460498888356
