n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
150,3,uniform,euclidean,0.7954022988505747,0.3947549019607843,0.5777777777777777,0.46043978725093276,0.3568872166662168
180,3,uniform,euclidean,0.7988505747126436,0.3988383838383839,0.6000000000000001,0.470958605664488,0.37161281574739874
200,3,uniform,euclidean,0.7850574712643679,0.383560606060606,0.6000000000000001,0.4572549019607843,0.3546646420461348
220,3,uniform,euclidean,0.7816091954022988,0.37988413547237077,0.6000000000000001,0.45417797888386124,0.3504472397325334
150,3,distance,euclidean,0.8369630973986691,0.48589743589743595,0.5555555555555556,0.5074509803921569,0.4201287543953859
180,3,distance,euclidean,0.843859649122807,0.5,0.5777777777777778,0.5244282060650347,0.4422679131405909
200,3,distance,euclidean,0.8335148215366001,0.4810897435897436,0.5777777777777778,0.5103600713012477,0.4254258482920331
220,3,distance,euclidean,0.8300665456745312,0.4755952380952381,0.5777777777777778,0.5064075021312873,0.4202361207716881
150,5,uniform,euclidean,0.7848154869933455,0.3818954248366013,0.6000000000000001,0.4592016794122057,0.3536345569858187
180,5,uniform,euclidean,0.7847549909255898,0.377072192513369,0.6000000000000001,0.4590769230769231,0.3511962472201187
200,5,uniform,euclidean,0.7813672111312764,0.37204428182756355,0.6000000000000001,0.4529014844804318,0.346356045336627
220,5,uniform,euclidean,0.7744706594071384,0.3682760376878024,0.6222222222222222,0.4544399460188934,0.3502188685766567
150,5,distance,euclidean,0.8334543254688447,0.47111111111111115,0.6000000000000001,0.5180986887508626,0.43164408004936916
180,5,distance,euclidean,0.8368421052631578,0.47475579975579973,0.6000000000000001,0.5242929846510409,0.4363818973687401
200,5,distance,euclidean,0.8369026013309135,0.4771717171717172,0.6000000000000001,0.5219082125603866,0.43708734501291086
220,5,distance,euclidean,0.8300060496067756,0.4667672197083962,0.6222222222222222,0.5210457416979156,0.4372271729294087
150,7,uniform,euclidean,0.7847549909255898,0.38344771241830067,0.6222222222222222,0.46950058907953646,0.36476725666699067
180,7,uniform,euclidean,0.7673926194797339,0.3491481377239891,0.5777777777777777,0.431062271062271,0.3150106414703203
200,7,uniform,euclidean,0.7743496672716272,0.3617543859649123,0.6222222222222222,0.4509674185463659,0.34663066439551554
220,7,uniform,euclidean,0.7640048396854204,0.3507931593690108,0.6222222222222222,0.44088683246577987,0.3342460050803659
150,7,distance,euclidean,0.8300060496067756,0.47333333333333333,0.6222222222222222,0.5288520213577421,0.4409406679569428
180,7,distance,euclidean,0.8264972776769509,0.4575396825396826,0.5777777777777777,0.504680712864856,0.4102816131367545
200,7,distance,euclidean,0.840411373260738,0.48810744810744805,0.6222222222222222,0.5376262626262627,0.45538347341145125
220,7,distance,euclidean,0.8266182698124622,0.4659340659340659,0.6222222222222222,0.5196493924754794,0.4345902355152808
150,9,uniform,euclidean,0.7777979431336963,0.3686868686868686,0.6000000000000001,0.447381864623244,0.3422760844511027
180,9,uniform,euclidean,0.7778584392014519,0.36656346749226004,0.6000000000000001,0.4478827838827838,0.34110175328658043
200,9,uniform,euclidean,0.7813672111312764,0.37002249212775523,0.6222222222222222,0.45704665704665703,0.3554473394316275
220,9,uniform,euclidean,0.7710223835450696,0.3585392385392385,0.6222222222222222,0.44598674921255566,0.34295471538371114
150,9,distance,euclidean,0.8300665456745312,0.4758730158730159,0.6000000000000001,0.5164734299516909,0.4308646664386931
180,9,distance,euclidean,0.8334543254688445,0.4826129426129426,0.6000000000000001,0.521282389108476,0.43667768260295803
200,9,distance,euclidean,0.82994555353902,0.4682051282051282,0.6222222222222222,0.5193237639553429,0.4371741329615274
220,9,distance,euclidean,0.8160919540229884,0.444544997486174,0.6222222222222222,0.49958587221745115,0.41558037058741004
150,11,uniform,euclidean,0.7881427707199032,0.38218671679197996,0.6444444444444445,0.47567549308052737,0.37656984184441067
