max_depth,min_samples_split,min_samples_leaf,criterion,max_features,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
10,5,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
10,10,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
10,5,5,gini,,0.9515426497277677,0.02536683152037191,0.8734615384615385,0.11852395957814961,0.8444444444444444,0.16629588385661961,0.8396204414780266,0.09182059330773994,0.8243065870888483,0.09398751683995833
10,10,5,gini,,0.9515426497277677,0.02536683152037191,0.8734615384615385,0.11852395957814961,0.8444444444444444,0.16629588385661961,0.8396204414780266,0.09182059330773994,0.8243065870888483,0.09398751683995833
10,5,2,gini,sqrt,0.8748336358136722,0.030473689440716153,0.6257575757575757,0.11466315012297039,0.5333333333333333,0.1777777777777778,0.558974358974359,0.12987403777421608,0.4999174503139714,0.13559855941460547
10,10,2,gini,sqrt,0.8714458560193588,0.014549272852324184,0.6008080808080808,0.04629040672669626,0.5555555555555556,0.15713484026367724,0.5634920634920635,0.08847978418613253,0.49848831420754947,0.08635130080220495
10,5,5,gini,sqrt,0.8713853599516032,0.0242614122819907,0.586978021978022,0.06982900431927776,0.6222222222222223,0.13333333333333333,0.597551365043625,0.0843633426816135,0.5263899947895891,0.09673751440214332
10,10,5,gini,sqrt,0.8713853599516032,0.0242614122819907,0.586978021978022,0.06982900431927776,0.6222222222222223,0.13333333333333333,0.597551365043625,0.0843633426816135,0.5263899947895891,0.09673751440214332
10,5,2,gini,log2,0.7534785238959468,0.10519916559015656,0.4977310924369748,0.27929157710791985,0.5555555555555556,0.24343224778007383,0.40996300996301,0.03950567481812107,0.346637728978618,0.07345939705267186
10,10,2,gini,log2,0.7534785238959468,0.10962715427547766,0.5029501915708813,0.2775031434017423,0.5777777777777777,0.257240820062005,0.4190830611883244,0.05679787150311611,0.3598996003448478,0.08211166689827595
10,5,5,gini,log2,0.753418027828191,0.11261784578218827,0.41368186874304785,0.107002583016227,0.6666666666666666,0.2721655269759087,0.4558241758241758,0.09350060286459809,0.38167405224189166,0.08515211769261341
10,10,5,gini,log2,0.753418027828191,0.11261784578218827,0.41368186874304785,0.107002583016227,0.6666666666666666,0.2721655269759087,0.4558241758241758,0.09350060286459809,0.38167405224189166,0.08515211769261341
20,5,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
20,10,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
20,5,5,gini,,0.9515426497277677,0.02536683152037191,0.8734615384615385,0.11852395957814961,0.8444444444444444,0.16629588385661961,0.8396204414780266,0.09182059330773994,0.8243065870888483,0.09398751683995833
20,10,5,gini,,0.9515426497277677,0.02536683152037191,0.8734615384615385,0.11852395957814961,0.8444444444444444,0.16629588385661961,0.8396204414780266,0.09182059330773994,0.8243065870888483,0.09398751683995833
20,5,2,gini,sqrt,0.8820326678765881,0.02495710266561165,0.703030303030303,0.1874383890205105,0.5333333333333333,0.1777777777777778,0.5733333333333333,0.1103529690483123,0.5334411869599524,0.11542163069663357
20,10,2,gini,sqrt,0.8645493042952207,0.03533995740782238,0.6007142857142858,0.12042441951832913,0.6222222222222222,0.16629588385661961,0.5834101287055924,0.09258512476040213,0.5226463992893977,0.09202474780851308
20,5,5,gini,sqrt,0.8611010284331518,0.029164752084441734,0.5882167832167833,0.1266960152788738,0.5777777777777778,0.0831479419283098,0.567339471673837,0.04380324374029346,0.49569723211550576,0.060538050614212205
20,10,5,gini,sqrt,0.8611010284331518,0.029164752084441734,0.5882167832167833,0.1266960152788738,0.5777777777777778,0.0831479419283098,0.567339471673837,0.04380324374029346,0.49569723211550576,0.060538050614212205
20,5,2,gini,log2,0.8013309134906231,0.09154624296055767,0.47668067226890753,0.18094858682530984,0.6222222222222221,0.13333333333333333,0.5165356529879856,0.12572622280110543,0.42164461460596214,0.17153721279131173
20,10,2,gini,log2,0.804779189352692,0.09342512552355947,0.4833473389355742,0.1822939747265454,0.6222222222222221,0.13333333333333333,0.521868986321319,0.13129285552689376,0.4274550370087654,0.17745755642022265
20,5,5,gini,log2,0.8016938898971567,0.07655384773367734,0.4561866125760649,0.07380524607183503,0.6666666666666666,0.2721655269759087,0.4989010989010989,0.10656162765049425,0.43296385744031207,0.09928317366618104
20,10,5,gini,log2,0.8016938898971567,0.07655384773367734,0.4561866125760649,0.07380524607183503,0.6666666666666666,0.2721655269759087,0.4989010989010989,0.10656162765049425,0.43296385744031207,0.09928317366618104
30,5,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
30,10,2,gini,,0.955111917725348,0.04162577882117278,0.9199999999999999,0.16,0.8444444444444443,0.20608041101101565,0.8495475113122172,0.14433963596047805,0.8454298941250029,0.1399454710554278
30,5,5,gini,,0.9515426497277677,0.02536683152037191,0.8734615384615385,0.11852395957814961,0.8444444444444444,0.16629588385661961,0.8396204414780266,0.09182059330773994,0.8243065870888483,0.09398751683995833
