n_components,n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
150,100,3,0.01,0.8508771929824561,0.033167076042529726,0.5222222222222221,0.09043648196201774,0.6,0.11331154474650633,0.5565079365079365,0.09519364041843807,0.4705551724898718,0.11524980516539186
150,150,3,0.01,0.8924379915305505,0.025222289993249693,0.6598412698412698,0.08604228834839162,0.6444444444444444,0.10886621079036347,0.6493636050911592,0.09233270626574334,0.5878395057732344,0.10445464762747654
150,200,3,0.01,0.8959467634603749,0.024050515888547175,0.6992063492063492,0.10027676490214021,0.5999999999999999,0.08888888888888888,0.6422875816993464,0.0844204624073211,0.5865225588577727,0.09644677042703212
150,100,5,0.01,0.8542649727767696,0.025298208550799374,0.535952380952381,0.0790045780699389,0.5333333333333334,0.12957670877434005,0.5293085655314758,0.08759683067550449,0.4470935240965865,0.10333451470997365
150,150,5,0.01,0.8611615245009074,0.01498178736125471,0.5611111111111111,0.05597067133224968,0.5111111111111111,0.054433105395181765,0.534640522875817,0.053642573931197896,0.4541550228596859,0.06209678941508848
150,200,5,0.01,0.8577132486388385,0.012118254829245643,0.5561111111111112,0.050929629494959286,0.4666666666666666,0.08314794192830983,0.5027077497665733,0.05944303484795696,0.42581604197547607,0.05822733481871818
150,100,7,0.01,0.8647912885662432,0.028980079133835976,0.567020202020202,0.08754313001192303,0.5555555555555556,0.1405456737852613,0.5561265909872721,0.11064817994647375,0.48015843797631674,0.12220753647093063
150,150,7,0.01,0.8716273442226254,0.012954636480894562,0.6132539682539683,0.05585610314011797,0.48888888888888893,0.0888888888888889,0.5394724556489263,0.069005150420325,0.47314473791633993,0.06773948798414108
150,200,7,0.01,0.8750756200846945,0.012225595236848543,0.6432539682539683,0.0769718530552656,0.48888888888888893,0.0888888888888889,0.5460658622423329,0.05893362113648638,0.4871000109973959,0.05190403771798247
150,100,10,0.01,0.8475499092558983,0.05212781559137871,0.5215656565656566,0.14839477100087456,0.5555555555555556,0.1405456737852613,0.5361265909872721,0.14173243582524828,0.4468711429633072,0.17261464325176024
150,150,10,0.01,0.8612825166364185,0.028171687860816117,0.5682539682539682,0.1114125729029567,0.48888888888888893,0.0888888888888889,0.5243464052287583,0.09503625331541038,0.4462456235624545,0.11241142656229555
150,200,10,0.01,0.8647307924984876,0.022133956161701503,0.5789682539682539,0.09343868905191786,0.48888888888888893,0.0888888888888889,0.5287581699346405,0.08716275029066693,0.4536241281022363,0.09926072980941533
150,100,3,0.1,0.913309134906231,0.03085038481068407,0.8564285714285713,0.1399781324029593,0.5555555555555556,0.15713484026367724,0.6569327731092437,0.13628868739962785,0.6385537553146334,0.13324050272818647
150,150,3,0.1,0.920205686630369,0.01742706812304978,0.8714285714285716,0.12380952380952381,0.6,0.08888888888888888,0.6997435897435896,0.06615384615384616,0.677301901085489,0.06862832843938978
150,200,3,0.1,0.9167574107683001,0.016630808051339402,0.8666666666666668,0.12472191289246472,0.5777777777777778,0.0831479419283098,0.683076923076923,0.061743248998122724,0.6608930388778202,0.06664959332191443
150,100,5,0.1,0.8994555353901996,0.02236686155771211,0.800952380952381,0.13663928711970252,0.48888888888888893,0.054433105395181765,0.6047619047619047,0.0761904761904762,0.5742830129719089,0.09730562545950498
150,150,5,0.1,0.9064125831820931,0.022981818366954725,0.8116666666666668,0.11921036494831777,0.5333333333333334,0.08314794192830981,0.6395518207282913,0.08762850357680742,0.6081081355543675,0.09999794698466428
150,200,5,0.1,0.8995160314579552,0.029230558104003632,0.7659523809523809,0.1537431671692995,0.5333333333333334,0.08314794192830981,0.6252661064425771,0.10218346109397236,0.5838901337565293,0.12371230609748687
150,100,7,0.1,0.9064125831820931,0.022890068481892446,0.8333333333333333,0.149071198499986,0.5111111111111111,0.054433105395181765,0.6323809523809525,0.08272019333565131,0.6056402373365354,0.10675349964652414
150,150,7,0.1,0.9029643073200241,0.022817044528655732,0.8095238095238095,0.15649215928719032,0.5111111111111111,0.054433105395181765,0.6240476190476191,0.08092576593296313,0.5928139993599681,0.10615841188670533
150,200,7,0.1,0.8994555353901996,0.019528707886918295,0.8095238095238095,0.15649215928719032,0.48888888888888893,0.054433105395181765,0.6042673992673993,0.06741030527549977,0.5764792782669846,0.09115223568420952
150,100,10,0.1,0.9064125831820931,0.020125833421164224,0.8357142857142857,0.13477115902938006,0.5111111111111111,0.0888888888888889,0.6280219780219781,0.09232322606084217,0.6047120325815082,0.10176499927015897
150,150,10,0.1,0.9098608590441621,0.019611365891688,0.8433333333333334,0.13482498944104457,0.5333333333333334,0.08314794192830981,0.647843137254902,0.07892966958888332,0.6232515142698855,0.09462148626632393
150,200,10,0.1,0.8994555353901996,0.019528707886918295,0.8133333333333332,0.16546231527987812,0.5111111111111111,0.0888888888888889,0.613202236360131,0.0611300524255277,0.5876409359041502,0.08084959966779524
150,100,3,0.3,0.9064125831820931,0.02543757141829724,0.82,0.1654623152798781,0.5555555555555556,0.09938079899999065,0.6493927125506074,0.08709145185468475,0.6206849043354967,0.10318888102363374
150,150,3,0.3,0.9098608590441621,0.022532653565279663,0.8295238095238094,0.15754350081335022,0.5777777777777778,0.0831479419283098,0.6677260458839407,0.06836559704486804,0.639131079682923,0.08254689667029846
150,200,3,0.3,0.9064125831820931,0.02543757141829724,0.8116666666666668,0.17381343765978255,0.5777777777777778,0.0831479419283098,0.66037310470747,0.07428621702075974,0.6285204700127643,0.09320299019746253
150,100,5,0.3,0.8994555353901996,0.019528707886918295,0.7397619047619048,0.08488220462577252,0.5555555555555556,0.09938079899999065,0.6297759103641456,0.08327932246824135,0.5839112972917662,0.08883147633927853
150,150,5,0.3,0.8960072595281305,0.021188655972352255,0.713095238095238,0.08268454930564446,0.5555555555555556,0.09938079899999065,0.6221568627450981,0.08975938616570577,0.5704822203307376,0.09799670065787276
150,200,5,0.3,0.8960072595281305,0.021188655972352255,0.713095238095238,0.08268454930564446,0.5555555555555556,0.09938079899999065,0.6221568627450981,0.08975938616570577,0.5704822203307376,0.09799670065787276
150,100,7,0.3,0.8993950393224439,0.022610966776843697,0.7565079365079365,0.09422530264934173,0.5333333333333334,0.12957670877434005,0.6174603174603174,0.09608092666934322,0.5782641803582167,0.10343900000024438
150,150,7,0.3,0.8993950393224439,0.022610966776843697,0.7565079365079365,0.09422530264934173,0.5333333333333334,0.12957670877434005,0.6174603174603174,0.09608092666934322,0.5782641803582167,0.10343900000024438
150,200,7,0.3,0.8993950393224439,0.022610966776843697,0.7565079365079365,0.09422530264934173,0.5333333333333334,0.12957670877434005,0.6174603174603174,0.09608092666934322,0.5782641803582167,0.10343900000024438
150,100,10,0.3,0.8925589836660617,0.027029220626453666,0.7536507936507937,0.17437329744886318,0.5333333333333334,0.08314794192830981,0.6095848595848596,0.0735449284978754,0.5693625652706655,0.0947627937449802
150,150,10,0.3,0.8995160314579552,0.029230558104003632,0.7690909090909092,0.16508575282296162,0.5777777777777778,0.12957670877434002,0.6397155785391079,0.09302707482882412,0.6033213492970984,0.10443848873444456
150,200,10,0.3,0.8995160314579552,0.029230558104003632,0.7690909090909092,0.16508575282296162,0.5777777777777778,0.12957670877434002,0.6397155785391079,0.09302707482882412,0.6033213492970984,0.10443848873444456
150,100,3,0.5,0.8925589836660617,0.029289969487432514,0.736111111111111,0.17100826635134872,0.5555555555555556,0.1405456737852613,0.611111111111111,0.11099571092995439,0.570195066267424,0.114489042954602
150,150,3,0.5,0.8925589836660617,0.029289969487432514,0.736111111111111,0.17100826635134872,0.5555555555555556,0.1405456737852613,0.611111111111111,0.11099571092995439,0.570195066267424,0.114489042954602
150,200,3,0.5,0.8925589836660617,0.029289969487432514,0.736111111111111,0.17100826635134872,0.5555555555555556,0.1405456737852613,0.611111111111111,0.11099571092995439,0.570195066267424,0.114489042954602
150,100,5,0.5,0.8995160314579552,0.027120462069482838,0.7666666666666666,0.14577379737113252,0.5333333333333334,0.12957670877434005,0.618763197586727,0.10720922869734893,0.581570921148086,0.1206509028078873
150,150,5,0.5,0.8995160314579552,0.027120462069482838,0.7666666666666666,0.14577379737113252,0.5333333333333334,0.12957670877434005,0.618763197586727,0.10720922869734893,0.581570921148086,0.1206509028078873
150,200,5,0.5,0.8995160314579552,0.027120462069482838,0.7666666666666666,0.14577379737113252,0.5333333333333334,0.12957670877434005,0.618763197586727,0.10720922869734893,0.581570921148086,0.1206509028078873
150,100,7,0.5,0.889050211736237,0.025326402583532397,0.7314285714285715,0.1602039516442993,0.48888888888888893,0.054433105395181765,0.5821428571428571,0.08112726208286106,0.5372206931694755,0.10776907420046854
150,150,7,0.5,0.889050211736237,0.025326402583532397,0.7314285714285715,0.1602039516442993,0.48888888888888893,0.054433105395181765,0.5821428571428571,0.08112726208286106,0.5372206931694755,0.10776907420046854
150,200,7,0.5,0.889050211736237,0.025326402583532397,0.7314285714285715,0.1602039516442993,0.48888888888888893,0.054433105395181765,0.5821428571428571,0.08112726208286106,0.5372206931694755,0.10776907420046854
150,100,10,0.5,0.9132486388384754,0.024393796927357842,0.7892857142857144,0.1289676434661985,0.6222222222222221,0.05443310539518171,0.6938235294117646,0.07805153119889034,0.6515014147502297,0.09828602519742015
150,150,10,0.5,0.9132486388384754,0.024393796927357842,0.7892857142857144,0.1289676434661985,0.6222222222222221,0.05443310539518171,0.6938235294117646,0.07805153119889034,0.6515014147502297,0.09828602519742015
150,200,10,0.5,0.9132486388384754,0.024393796927357842,0.7892857142857144,0.1289676434661985,0.6222222222222221,0.05443310539518171,0.6938235294117646,0.07805153119889034,0.6515014147502297,0.09828602519742015
180,100,3,0.01,0.8507562008469449,0.013260373745884447,0.52,0.039999999999999994,0.5333333333333332,0.10886621079036346,0.5229544449358692,0.06689646209581127,0.4373359173678443,0.07351970638056327
180,150,3,0.01,0.892377495462795,0.012737834588287929,0.684047619047619,0.03426917590537538,0.5777777777777777,0.10886621079036347,0.6216821465428277,0.06664538562912307,0.565517779704432,0.06966968854813538
180,200,3,0.01,0.902843315184513,0.02322087797713983,0.7738888888888888,0.13075752698868823,0.5555555555555556,0.12171612389003693,0.6370121381886088,0.09296865081788856,0.5996062652901133,0.10595926073676452
180,100,5,0.01,0.8958257713248639,0.015582406104152308,0.7178571428571429,0.07158712561129958,0.5555555555555556,0.07027283689263066,0.6238235294117647,0.06004259669531446,0.5724116999472819,0.06739183375506255
180,150,5,0.01,0.902843315184513,0.01736079046618179,0.7595238095238095,0.12426655572095134,0.5777777777777777,0.08314794192830981,0.6490336134453781,0.06597682897122417,0.6058789711817301,0.0797523161436128
180,200,5,0.01,0.9063520871143377,0.023055749076328357,0.7880952380952381,0.1269742059616513,0.5555555555555555,0.09938079899999065,0.6473669467787115,0.09427942278923672,0.6100487895282736,0.108607794037062
180,100,7,0.01,0.9029038112522686,0.023156643060234586,0.761904761904762,0.12046772038736685,0.5555555555555556,0.07027283689263066,0.6416666666666666,0.08676276723213582,0.5974223109398371,0.10364326950244324
180,150,7,0.01,0.8993950393224439,0.02759880736626126,0.7583333333333333,0.14043582955293932,0.5333333333333334,0.08314794192830981,0.624313725490196,0.10051463117553441,0.5811379968217953,0.12007949113458873
180,200,7,0.01,0.8960072595281308,0.02118865597235225,0.7416666666666666,0.13540064007726602,0.5333333333333333,0.08314794192830981,0.615014005602241,0.08021532587532428,0.5702030796738787,0.09757859311118475
180,100,10,0.01,0.8786448880822746,0.03900631452774282,0.6761904761904762,0.19986531746332717,0.48888888888888893,0.0888888888888889,0.5627591036414566,0.12031019716926475,0.5057085972160191,0.15399912786047532
180,150,10,0.01,0.8856019358741681,0.027498374305194764,0.7,0.16329931618554522,0.4888888888888888,0.11331154474650633,0.5695238095238095,0.11113106396811291,0.5207057692139949,0.1321912727534816
180,200,10,0.01,0.8925589836660617,0.024732017779878636,0.7476190476190476,0.14234033502509644,0.4888888888888888,0.11331154474650633,0.5830079724197372,0.10624941809280111,0.5450304470339151,0.11800503664353044
180,100,3,0.1,0.8992740471869329,0.01312499799039171,0.8833333333333332,0.1452966314513558,0.44444444444444436,0.12171612389003691,0.5709200603318251,0.07957887790590339,0.5721455303969786,0.06518279616513961
180,150,3,0.1,0.9027223230490018,0.01788740955039372,0.8833333333333332,0.1452966314513558,0.4666666666666666,0.12957670877434002,0.5907002801120449,0.09826934175889049,0.5884704784028099,0.08584131627504751
180,200,3,0.1,0.9061705989110708,0.02106827130443767,0.9047619047619048,0.13127665478181164,0.4666666666666666,0.12957670877434002,0.5995238095238096,0.10954865142701875,0.6006971406381569,0.09821387181557693
180,100,5,0.1,0.9063520871143375,0.017139295115379358,0.8600000000000001,0.12719189352225943,0.48888888888888893,0.054433105395181765,0.6202197802197802,0.06474400163590219,0.6027345932045802,0.0814651842972318
180,150,5,0.1,0.9098003629764065,0.016544762088155356,0.9,0.13333333333333336,0.48888888888888893,0.054433105395181765,0.629010989010989,0.060357764608658715,0.6203421373667197,0.07690588066748937
180,200,5,0.1,0.9063520871143375,0.017139295115379358,0.8761904761904763,0.1523809523809524,0.48888888888888893,0.054433105395181765,0.6206776556776556,0.05738678331059692,0.6075158993901524,0.07851721687476419
180,100,7,0.1,0.9098608590441621,0.019611365891688,0.86,0.12719189352225943,0.5111111111111111,0.054433105395181765,0.64,0.07460249915263292,0.6190693142975638,0.09348640598093128
180,150,7,0.1,0.902843315184513,0.01335223730523916,0.86,0.12719189352225943,0.4666666666666666,0.04444444444444445,0.6004395604395605,0.04511678652933094,0.5863998721115967,0.06324395762095587
180,200,7,0.1,0.9063520871143377,0.017139295115379358,0.86,0.12719189352225943,0.48888888888888893,0.054433105395181765,0.6202197802197802,0.06474400163590219,0.6027345932045802,0.08146518429723182
180,100,10,0.1,0.9062915910465821,0.017359736399742042,0.8933333333333333,0.13727506854649335,0.4666666666666666,0.04444444444444445,0.60996336996337,0.060496321443179985,0.6024890279166022,0.08147853128626426
180,150,10,0.1,0.9062915910465821,0.017359736399742042,0.8933333333333333,0.13727506854649335,0.4666666666666666,0.04444444444444445,0.60996336996337,0.060496321443179985,0.6024890279166022,0.08147853128626426
180,200,10,0.1,0.9098003629764065,0.019815025025544046,0.8933333333333333,0.13727506854649335,0.48888888888888893,0.054433105395181765,0.6297435897435897,0.07375161108885174,0.6188237490095857,0.09354092896799122
180,100,3,0.3,0.8889292196007259,0.017439663880679745,0.7895238095238095,0.13259660406824467,0.4222222222222222,0.12957670877434005,0.531060606060606,0.11608453341292636,0.5144397473903966,0.09303851520605048
180,150,3,0.3,0.8819721718088325,0.01266146712135773,0.7733333333333332,0.13727506854649335,0.37777777777777777,0.08888888888888888,0.4936796536796536,0.08344164547078295,0.4781321556519772,0.06471528922181749
180,200,3,0.3,0.8819721718088325,0.01266146712135773,0.7733333333333332,0.13727506854649335,0.37777777777777777,0.08888888888888888,0.4936796536796536,0.08344164547078295,0.4781321556519772,0.06471528922181749
180,100,5,0.3,0.902843315184513,0.02322087797713983,0.8666666666666666,0.16329931618554522,0.4666666666666667,0.08314794192830983,0.599047619047619,0.09487550023171255,0.5873726291240178,0.10794503069308876
180,150,5,0.3,0.902843315184513,0.02322087797713983,0.8666666666666666,0.16329931618554522,0.4666666666666667,0.08314794192830983,0.599047619047619,0.09487550023171255,0.5873726291240178,0.10794503069308876
180,200,5,0.3,0.902843315184513,0.02322087797713983,0.8666666666666666,0.16329931618554522,0.4666666666666667,0.08314794192830983,0.599047619047619,0.09487550023171255,0.5873726291240178,0.10794503069308876
180,100,7,0.3,0.920205686630369,0.01742706812304978,0.9095238095238095,0.11703053073756672,0.5555555555555556,0.07027283689263066,0.6842673992673993,0.06762008936450246,0.6703138927883585,0.07626285278691064
180,150,7,0.3,0.9167574107683001,0.016630808051339402,0.9095238095238095,0.11703053073756672,0.5333333333333334,0.08314794192830981,0.6644871794871794,0.070356002777945,0.6539889447825273,0.07326845856300629
180,200,7,0.3,0.9167574107683001,0.016630808051339402,0.9095238095238095,0.11703053073756672,0.5333333333333334,0.08314794192830981,0.6644871794871794,0.070356002777945,0.6539889447825273,0.07326845856300629
180,100,10,0.3,0.9063520871143377,0.017139295115379358,0.8600000000000001,0.12719189352225943,0.48888888888888893,0.054433105395181765,0.6202197802197802,0.06474400163590219,0.6027345932045802,0.08146518429723182
180,150,10,0.3,0.9062915910465819,0.0174805374120621,0.86,0.12719189352225943,0.48888888888888893,0.054433105395181765,0.6202197802197802,0.06474400163590219,0.6026614019428302,0.08164791537190014
180,200,10,0.3,0.9062915910465819,0.0174805374120621,0.86,0.12719189352225943,0.48888888888888893,0.054433105395181765,0.6202197802197802,0.06474400163590219,0.6026614019428302,0.08164791537190014
180,100,3,0.5,0.8957652752571083,0.015917020127232548,0.8166666666666668,0.11055415967851334,0.4444444444444445,0.09938079899999068,0.5656410256410257,0.08555961123271438,0.5485512152284104,0.07824158432866436
180,150,3,0.5,0.8957652752571083,0.015917020127232548,0.8166666666666668,0.11055415967851334,0.4444444444444445,0.09938079899999068,0.5656410256410257,0.08555961123271438,0.5485512152284104,0.07824158432866436
180,200,3,0.5,0.8957652752571083,0.015917020127232548,0.8166666666666668,0.11055415967851334,0.4444444444444445,0.09938079899999068,0.5656410256410257,0.08555961123271438,0.5485512152284104,0.07824158432866436
180,100,5,0.5,0.9062915910465821,0.013507567644074738,0.8333333333333334,0.10540925533894599,0.5111111111111111,0.054433105395181765,0.6297435897435897,0.05213647190621058,0.6044238894416654,0.06228058299403658
180,150,5,0.5,0.9062915910465821,0.013507567644074738,0.8333333333333334,0.10540925533894599,0.5111111111111111,0.054433105395181765,0.6297435897435897,0.05213647190621058,0.6044238894416654,0.06228058299403658
180,200,5,0.5,0.9062915910465821,0.013507567644074738,0.8333333333333334,0.10540925533894599,0.5111111111111111,0.054433105395181765,0.6297435897435897,0.05213647190621058,0.6044238894416654,0.06228058299403658
180,100,7,0.5,0.9029038112522686,0.0170294013021191,0.8361904761904763,0.14041079995414946,0.48888888888888893,0.054433105395181765,0.6118864468864469,0.060790202759101804,0.589908355228013,0.08022055854882554
180,150,7,0.5,0.9029038112522686,0.0170294013021191,0.8361904761904763,0.14041079995414946,0.48888888888888893,0.054433105395181765,0.6118864468864469,0.060790202759101804,0.589908355228013,0.08022055854882554
180,200,7,0.5,0.9029038112522686,0.0170294013021191,0.8361904761904763,0.14041079995414946,0.48888888888888893,0.054433105395181765,0.6118864468864469,0.060790202759101804,0.589908355228013,0.08022055854882554
180,100,10,0.5,0.902843315184513,0.01736079046618179,0.8261904761904763,0.144357203725944,0.5111111111111112,0.11331154474650633,0.6157002801120448,0.08730320454670251,0.5939118486387602,0.08351205142989772
180,150,10,0.5,0.902843315184513,0.01736079046618179,0.8261904761904763,0.144357203725944,0.5111111111111112,0.11331154474650633,0.6157002801120448,0.08730320454670251,0.5939118486387602,0.08351205142989772
180,200,10,0.5,0.902843315184513,0.01736079046618179,0.8261904761904763,0.144357203725944,0.5111111111111112,0.11331154474650633,0.6157002801120448,0.08730320454670251,0.5939118486387602,0.08351205142989772
200,100,3,0.01,0.8541439806412583,0.008805035885618987,0.5388034188034189,0.037515818369715036,0.4444444444444445,0.19876159799998133,0.46563658563658555,0.11650023963827585,0.3999125773928796,0.10974832067989636
200,150,3,0.01,0.8784029038112522,0.01935590572088747,0.6633333333333333,0.058118652580542315,0.4444444444444445,0.17213259316477408,0.517771351455562,0.1160254806904861,0.4731680230123255,0.11400628488179293
200,200,3,0.01,0.8852994555353902,0.026387938173178672,0.7288888888888889,0.15032475133589124,0.4444444444444445,0.17213259316477408,0.5336507936507936,0.12869639233815625,0.502759009619246,0.13343200140814804
200,100,5,0.01,0.8819116757410768,0.0298501354897906,0.7184126984126984,0.17003430655871626,0.4666666666666666,0.1911627837120584,0.5331147610559375,0.14957586093347824,0.5011510175548175,0.13727211256438854
200,150,5,0.01,0.8819721718088325,0.019953066884160268,0.7128571428571429,0.07844289631228192,0.4,0.13333333333333336,0.503021978021978,0.1246725507534709,0.4721067501090655,0.11538581603519381
200,200,5,0.01,0.8923169993950394,0.013288495242884966,0.7695238095238095,0.041985852276489766,0.4444444444444445,0.09938079899999068,0.5572344322344323,0.08376693537401499,0.5294780049211436,0.07369698312099297
200,100,7,0.01,0.8852994555353902,0.026387938173178672,0.6748412698412698,0.09491068058437718,0.5111111111111111,0.15071844406945042,0.5732026143790849,0.11692470126382719,0.5206925226370699,0.12442102520440054
200,150,7,0.01,0.8819116757410768,0.013167591395438908,0.7461904761904762,0.13648984745412343,0.4,0.0888888888888889,0.5096886446886446,0.06759895367348821,0.4838130944686461,0.06973741111565686
200,200,7,0.01,0.8853599516031458,0.01794195473892783,0.7633333333333334,0.13678856352455462,0.39999999999999997,0.05443310539518174,0.522051282051282,0.06881394764366047,0.49681672315505915,0.08809848473460558
200,100,10,0.01,0.8784029038112522,0.01599202995453076,0.6983333333333334,0.15278888848487787,0.4444444444444445,0.1405456737852613,0.5224089635854342,0.09301238443733388,0.48426099448098253,0.09234488272013545
200,150,10,0.01,0.8750151240169389,0.012716267686176666,0.7176190476190476,0.15400621361555367,0.37777777777777777,0.05443310539518174,0.48468864468864464,0.03611164316647251,0.4545779942844101,0.055855874901337615
200,200,10,0.01,0.8784633998790078,0.010953631262196053,0.7366666666666666,0.13999999999999999,0.37777777777777777,0.05443310539518174,0.4913553113553114,0.041060686235276464,0.4653669191212198,0.054472157533769605
