n_components,C,kernel,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
150,0.01,linear,0.9130671506352087,0.04011833576667325,0.7683333333333333,0.17227239412563403,0.6222222222222222,0.22879178091082222,0.6708558727134578,0.1930942975849826,0.6374755085479231,0.20345187652931948
150,0.01,rbf,0.8370235934664247,0.03796117405739585,0.5166666666666666,0.16532795690182991,0.3333333333333333,0.09938079899999065,0.3903169688928202,0.10014088503082165,0.319637984881232,0.12244893301835512
150,0.01,poly,0.5725347852389595,0.31859755401989254,0.5143062200956938,0.3979078203003728,0.4222222222222222,0.47349501672583366,0.1415646853146853,0.12405447690533479,0.04212388047428624,0.03535381625486201
150,0.01,sigmoid,0.6039927404718692,0.24975942060827602,0.25668003418578655,0.17260948065334497,0.4666666666666667,0.36106837353937604,0.2533502304147465,0.11087122009746404,0.1177092284203874,0.13788553420653418
150,0.1,linear,0.8992135511191772,0.04049144217210942,0.7457142857142858,0.1848109900433855,0.5333333333333333,0.22662308949301263,0.6030364372469637,0.1880156015152789,0.5698240465689876,0.20161811721816436
150,0.1,rbf,0.8370235934664247,0.03796117405739585,0.5166666666666666,0.16532795690182991,0.3333333333333333,0.09938079899999065,0.3903169688928202,0.10014088503082165,0.319637984881232,0.12244893301835512
150,0.1,poly,0.7023593466424682,0.2822167821027326,0.8254545454545454,0.3490909090909091,0.15555555555555556,0.3111111111111111,0.04375,0.0875,-0.06598705336226243,0.13197410672452486
150,0.1,sigmoid,0.7539624924379915,0.13833766913879061,0.34895752895752896,0.155212773540568,0.3555555555555555,0.28458329944145994,0.2902795031055901,0.11792036473370927,0.20061501167078108,0.12756530413762776
150,1.0,linear,0.8992135511191772,0.04049144217210942,0.7457142857142858,0.1848109900433855,0.5333333333333333,0.22662308949301263,0.6030364372469637,0.1880156015152789,0.5698240465689876,0.20161811721816436
150,1.0,rbf,0.8889897156684816,0.0229789517511134,0.7872727272727272,0.19797320129187201,0.48888888888888893,0.15071844406945042,0.5714802844214609,0.08213835508705006,0.5498033677661135,0.09396060680242764
150,1.0,poly,0.719600725952813,0.24773438900489267,0.7307692307692307,0.34743353201957583,0.2,0.34712220781807357,0.08882265275707898,0.1117221939006152,0.033839898316793834,0.07319084940762358
150,1.0,sigmoid,0.8093768905021174,0.0628019117059461,0.4365481740481741,0.13721706265175757,0.5777777777777778,0.14740554623801777,0.4929292929292929,0.13644367273346553,0.3882819870201873,0.1717340099741535
150,10.0,linear,0.8992135511191772,0.04049144217210942,0.7457142857142858,0.1848109900433855,0.5333333333333333,0.22662308949301263,0.6030364372469637,0.1880156015152789,0.5698240465689876,0.20161811721816436
150,10.0,rbf,0.9027223230490018,0.01788740955039372,0.782034632034632,0.13319622455137656,0.5777777777777777,0.16329931618554522,0.637843137254902,0.10099010042804944,0.608255724599946,0.08506412124572944
150,10.0,poly,0.8470659407138535,0.028591417017344127,0.6,0.38873012632302,0.15555555555555556,0.16629588385661961,0.2127272727272727,0.2088967038375582,0.19063546656609215,0.2293622181653964
150,10.0,sigmoid,0.7952813067150635,0.05446776487154783,0.42028388278388285,0.07276682624952518,0.6666666666666666,0.07027283689263066,0.5106147186147185,0.0644541522114656,0.4117149757831885,0.08154286356148807
150,100.0,linear,0.8992135511191772,0.04049144217210942,0.7457142857142858,0.1848109900433855,0.5333333333333333,0.22662308949301263,0.6030364372469637,0.1880156015152789,0.5698240465689876,0.20161811721816436
150,100.0,rbf,0.9062915910465819,0.0174805374120621,0.7888888888888889,0.11194134266449937,0.5777777777777777,0.16329931618554522,0.6445751633986928,0.10820055645390027,0.6149195340019847,0.0910759936410218
150,100.0,poly,0.8888082274652147,0.021134351272475295,0.6892857142857143,0.09270439206634186,0.5333333333333334,0.08314794192830981,0.5988235294117648,0.07775789277304537,0.5430943408927782,0.0896921769255809
150,100.0,sigmoid,0.7396249243799153,0.062444543999340595,0.3365079365079365,0.08931304696276318,0.6,0.05443310539518171,0.4272486772486772,0.08154845045641819,0.30010333249546817,0.1069449331340292
180,0.01,linear,0.9062310949788263,0.032432325029421234,0.7422222222222222,0.11060160961479142,0.6,0.16629588385661961,0.6569561157796451,0.14094037634612883,0.6125654746484939,0.15093583746166503
180,0.01,rbf,0.8370235934664247,0.03796117405739585,0.5166666666666666,0.16532795690182991,0.3333333333333333,0.09938079899999065,0.3903169688928202,0.10014088503082165,0.319637984881232,0.12244893301835512
180,0.01,poly,0.5725347852389595,0.31859755401989254,0.5143062200956938,0.3979078203003728,0.4222222222222222,0.47349501672583366,0.1415646853146853,0.12405447690533479,0.04212388047428624,0.03535381625486201
180,0.01,sigmoid,0.6039927404718692,0.24975942060827602,0.25668003418578655,0.17260948065334497,0.4666666666666667,0.36106837353937604,0.2533502304147465,0.11087122009746404,0.1177092284203874,0.13788553420653418
180,0.1,linear,0.9062310949788263,0.032432325029421234,0.7422222222222222,0.11060160961479142,0.6,0.16629588385661961,0.6569561157796451,0.14094037634612883,0.6125654746484939,0.15093583746166503
180,0.1,rbf,0.8370235934664247,0.03796117405739585,0.5166666666666666,0.16532795690182991,0.3333333333333333,0.09938079899999065,0.3903169688928202,0.10014088503082165,0.319637984881232,0.12244893301835512
180,0.1,poly,0.7023593466424682,0.2822167821027326,0.8254545454545454,0.3490909090909091,0.15555555555555556,0.3111111111111111,0.04375,0.0875,-0.06598705336226243,0.13197410672452486
180,0.1,sigmoid,0.7643073200241984,0.11812814205772594,0.34946428571428567,0.15478209575248966,0.3333333333333333,0.24343224778007383,0.289006968641115,0.11732531599044557,0.19481801286432598,0.12703791548396579
180,1.0,linear,0.9062310949788263,0.032432325029421234,0.7422222222222222,0.11060160961479142,0.6,0.16629588385661961,0.6569561157796451,0.14094037634612883,0.6125654746484939,0.15093583746166503
180,1.0,rbf,0.8924984875983062,0.02485173750946119,0.8,0.18973665961010275,0.48888888888888893,0.15071844406945042,0.5788487054740925,0.09411619758328553,0.5586222048137888,0.10372944868982545
180,1.0,poly,0.719600725952813,0.24773438900489267,0.7307692307692307,0.34743353201957583,0.2,0.34712220781807357,0.08882265275707898,0.1117221939006152,0.033839898316793834,0.07319084940762358
180,1.0,sigmoid,0.8093768905021174,0.0628019117059461,0.4365481740481741,0.13721706265175757,0.5777777777777778,0.14740554623801777,0.4929292929292929,0.13644367273346553,0.3882819870201873,0.1717340099741535
180,10.0,linear,0.9062310949788263,0.032432325029421234,0.7422222222222222,0.11060160961479142,0.6,0.16629588385661961,0.6569561157796451,0.14094037634612883,0.6125654746484939,0.15093583746166503
180,10.0,rbf,0.9165759225650332,0.02790659409656496,0.8333333333333334,0.14298407059684812,0.6222222222222222,0.20608041101101562,0.6824561403508771,0.13984998338093094,0.6630875068170669,0.13221058634549362
180,10.0,poly,0.8470659407138535,0.028591417017344127,0.6,0.38873012632302,0.15555555555555556,0.16629588385661961,0.2127272727272727,0.2088967038375582,0.19063546656609215,0.2293622181653964
180,10.0,sigmoid,0.7952813067150635,0.05446776487154783,0.4184981684981685,0.0724312085468322,0.6444444444444444,0.04444444444444442,0.5029625447016751,0.06027230936235232,0.40061734941728694,0.07551968292025414
180,100.0,linear,0.9062310949788263,0.032432325029421234,0.7422222222222222,0.11060160961479142,0.6,0.16629588385661961,0.6569561157796451,0.14094037634612883,0.6125654746484939,0.15093583746166503
180,100.0,rbf,0.9062915910465819,0.020602797199015886,0.7777777777777778,0.12171612389003693,0.6,0.18053418676968802,0.6511111111111111,0.117504925034687,0.6205431167684247,0.10269809297333393
180,100.0,poly,0.8819116757410768,0.017096535536959293,0.6592857142857143,0.09247295369746164,0.5333333333333334,0.08314794192830981,0.5839628482972137,0.06121858530968147,0.5238184836200264,0.07165302124290669
