eta,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.01,3,50,0.6491228070175439,0.6389393939393939,0.6822222222222222,0.656214779372674,0.3023599986621293,0.0010833009680820706
0.01,3,100,0.6374269005847953,0.6489321789321789,0.6155555555555554,0.6270175438596491,0.2779931628314859,0.0010833009680820706
0.01,3,200,0.6169590643274854,0.6196031746031746,0.571111111111111,0.5926470588235293,0.23149759337421946,0.0010833009680820706
0.01,3,300,0.6380116959064327,0.6383333333333334,0.6133333333333333,0.6243962848297213,0.27428823606057645,0.0010833009680820706
0.01,5,50,0.6280701754385964,0.6171717171717171,0.7044444444444444,0.652716574043805,0.264847113138845,0.0010833009680820706
0.01,5,100,0.5953216374269006,0.5957575757575758,0.5955555555555555,0.5930650154798761,0.1917814467914375,0.0010833009680820706
0.01,5,200,0.5842105263157895,0.5862698412698413,0.5511111111111111,0.5650584795321636,0.1687975708252039,0.0010833009680820706
0.01,5,300,0.6695906432748537,0.6644444444444444,0.6799999999999999,0.6675512310187234,0.3460314175308287,0.0010833009680820706
0.01,7,50,0.6280701754385964,0.6171717171717171,0.7044444444444444,0.652716574043805,0.264847113138845,0.0010833009680820706
0.01,7,100,0.5953216374269006,0.5957575757575758,0.5955555555555555,0.5930650154798761,0.1917814467914375,0.0010833009680820706
0.01,7,200,0.5842105263157895,0.5862698412698413,0.5511111111111111,0.5650584795321636,0.1687975708252039,0.0010833009680820706
0.01,7,300,0.6695906432748537,0.6644444444444444,0.6799999999999999,0.6675512310187234,0.3460314175308287,0.0010833009680820706
0.01,10,50,0.6280701754385964,0.6171717171717171,0.7044444444444444,0.652716574043805,0.264847113138845,0.0010833009680820706
0.01,10,100,0.5953216374269006,0.5957575757575758,0.5955555555555555,0.5930650154798761,0.1917814467914375,0.0010833009680820706
0.01,10,200,0.5842105263157895,0.5862698412698413,0.5511111111111111,0.5650584795321636,0.1687975708252039,0.0010833009680820706
0.01,10,300,0.6695906432748537,0.6644444444444444,0.6799999999999999,0.6675512310187234,0.3460314175308287,0.0010833009680820706
0.1,3,50,0.6801169590643276,0.6786363636363637,0.6777777777777778,0.6750405425328025,0.36323997211887094,0.0010833009680820706
0.1,3,100,0.7122807017543858,0.7159090909090909,0.7,0.7035854341736695,0.4279496058561786,0.0010833009680820706
0.1,3,200,0.7017543859649122,0.7134632034632034,0.6799999999999999,0.6916666666666667,0.4072815455070236,0.0010833009680820706
0.1,3,300,0.712280701754386,0.7301298701298701,0.6799999999999999,0.6995098039215687,0.4283361929185442,0.0010833009680820706
0.1,5,50,0.6801169590643276,0.6927777777777778,0.6577777777777777,0.67203302373581,0.3639304445291228,0.0010833009680820706
0.1,5,100,0.7327485380116959,0.7592063492063492,0.7022222222222221,0.7244582043343654,0.47365228899839507,0.0010833009680820706
0.1,5,200,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.1,5,300,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.1,7,50,0.6801169590643276,0.6927777777777778,0.6577777777777777,0.67203302373581,0.3639304445291228,0.0010833009680820706
0.1,7,100,0.7327485380116959,0.7592063492063492,0.7022222222222221,0.7244582043343654,0.47365228899839507,0.0010833009680820706
0.1,7,200,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.1,7,300,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.1,10,50,0.6801169590643276,0.6927777777777778,0.6577777777777777,0.67203302373581,0.3639304445291228,0.0010833009680820706
0.1,10,100,0.7327485380116959,0.7592063492063492,0.7022222222222221,0.7244582043343654,0.47365228899839507,0.0010833009680820706
0.1,10,200,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.1,10,300,0.7116959064327486,0.7347619047619048,0.6799999999999999,0.7029824561403508,0.42733071127291905,0.0010833009680820706
0.3,3,50,0.7228070175438597,0.7261616161616161,0.7244444444444443,0.7222222222222221,0.4492301080660613,0.0010833009680820706
0.3,3,100,0.7333333333333333,0.740909090909091,0.7222222222222221,0.7271148459383754,0.4706489304788506,0.0010833009680820706
0.3,3,200,0.7333333333333333,0.740909090909091,0.7222222222222221,0.7271148459383754,0.4706489304788506,0.0010833009680820706
0.3,3,300,0.7333333333333333,0.740909090909091,0.7222222222222221,0.7271148459383754,0.4706489304788506,0.0010833009680820706
0.3,5,50,0.7432748538011696,0.7806349206349207,0.7022222222222221,0.73328173374613,0.49657545334174136,0.0010833009680820706
