n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
3,cosine,uniform,0.7450292397660818,0.7748917748917749,0.7044444444444444,0.7316236670106638,0.0016767468084853657
3,cosine,distance,0.7660818713450293,0.7831746031746032,0.7466666666666666,0.7555835667600374,0.0016767468084853657
5,cosine,uniform,0.7444444444444445,0.7956349206349207,0.6622222222222222,0.718610251117991,0.0016767468084853657
5,cosine,distance,0.7549707602339181,0.800079365079365,0.6822222222222223,0.7312418300653595,0.0016767468084853657
7,cosine,uniform,0.7456140350877194,0.8198412698412699,0.6422222222222221,0.7155555555555557,0.0016767468084853657
7,cosine,distance,0.756140350877193,0.8234126984126984,0.6622222222222222,0.7299346405228759,0.0016767468084853657
9,cosine,uniform,0.7134502923976609,0.8138888888888889,0.6,0.6761904761904762,0.0016767468084853657
9,cosine,distance,0.7134502923976609,0.7853174603174603,0.6199999999999999,0.6840336134453782,0.0016767468084853657
11,cosine,uniform,0.6818713450292397,0.7738888888888888,0.5355555555555556,0.6228571428571429,0.0016767468084853657
11,cosine,distance,0.7134502923976608,0.7972222222222223,0.6,0.6757002801120449,0.0016767468084853657
15,cosine,uniform,0.7023391812865498,0.8261904761904763,0.5333333333333334,0.6402337858220212,0.0016767468084853657
15,cosine,distance,0.7233918128654973,0.8365079365079365,0.5777777777777777,0.6712795374560081,0.0016767468084853657
20,cosine,uniform,0.6380116959064327,0.8333333333333333,0.3844444444444445,0.4828100004570593,0.0016767468084853657
20,cosine,distance,0.7228070175438596,0.8416666666666668,0.5777777777777777,0.6655228758169935,0.0016767468084853657
3,euclidean,uniform,0.7023391812865498,0.9083333333333332,0.47555555555555556,0.5973066149536738,0.0016767468084853657
3,euclidean,distance,0.723391812865497,0.9083333333333332,0.5177777777777777,0.6400904977375566,0.0016767468084853657
5,euclidean,uniform,0.691812865497076,0.9083333333333332,0.45111111111111113,0.5800904977375565,0.0016767468084853657
5,euclidean,distance,0.723391812865497,0.9083333333333332,0.5155555555555557,0.6449256625727214,0.0016767468084853657
7,euclidean,uniform,0.6491228070175439,0.8547619047619047,0.3866666666666666,0.5089743589743589,0.0016767468084853657
7,euclidean,distance,0.6912280701754385,0.8714285714285716,0.47111111111111115,0.5976190476190476,0.0016767468084853657
9,euclidean,uniform,0.6812865497076024,0.9166666666666667,0.4111111111111111,0.5516483516483517,0.0016767468084853657
9,euclidean,distance,0.7233918128654971,0.9166666666666667,0.4955555555555556,0.6314102564102564,0.0016767468084853657
11,euclidean,uniform,0.6596491228070176,0.885,0.3888888888888889,0.5040998217468806,0.0016767468084853657
11,euclidean,distance,0.7017543859649122,0.885,0.47333333333333333,0.6020685197155785,0.0016767468084853657
15,euclidean,uniform,0.6497076023391812,0.9266666666666665,0.34444444444444444,0.4721678321678322,0.0016767468084853657
15,euclidean,distance,0.6707602339181287,0.9266666666666665,0.38666666666666666,0.5297435897435897,0.0016767468084853657
20,euclidean,uniform,0.5959064327485379,0.86,0.2577777777777778,0.36400932400932406,0.0016767468084853657
20,euclidean,distance,0.6380116959064328,0.8433333333333334,0.36444444444444446,0.49633699633699635,0.0016767468084853657
