eta,max_depth,n_estimators,accuracy,precision,recall,f1,preparationTime
0.01,3,50,0.7580645161290324,0.7608854620749782,0.7580645161290324,0.7571314470908524,0.002583134285669075
0.01,3,100,0.7849462365591396,0.793672968537099,0.7849462365591396,0.7830844590111242,0.002583134285669075
0.01,3,200,0.7849462365591396,0.7882976726726727,0.7849462365591396,0.7840994321225758,0.002583134285669075
0.01,3,300,0.7956989247311826,0.7990130433204436,0.7956989247311826,0.7950322144763021,0.002583134285669075
0.01,5,50,0.7688172043010754,0.7728612525938502,0.7688172043010754,0.767637100315922,0.002583134285669075
0.01,5,100,0.7903225806451614,0.7945906432748538,0.7903225806451614,0.7891116987339366,0.002583134285669075
0.01,5,200,0.8064516129032259,0.8111853895491418,0.8064516129032259,0.8053949557179961,0.002583134285669075
0.01,5,300,0.8225806451612904,0.8283533588874147,0.8225806451612904,0.821390794376044,0.002583134285669075
0.01,7,50,0.7688172043010754,0.7728612525938502,0.7688172043010754,0.767637100315922,0.002583134285669075
0.01,7,100,0.7903225806451614,0.7945906432748538,0.7903225806451614,0.7891116987339366,0.002583134285669075
0.01,7,200,0.8064516129032259,0.8111853895491418,0.8064516129032259,0.8053949557179961,0.002583134285669075
0.01,7,300,0.8225806451612904,0.8283533588874147,0.8225806451612904,0.821390794376044,0.002583134285669075
0.01,10,50,0.7688172043010754,0.7728612525938502,0.7688172043010754,0.767637100315922,0.002583134285669075
0.01,10,100,0.7903225806451614,0.7945906432748538,0.7903225806451614,0.7891116987339366,0.002583134285669075
0.01,10,200,0.8064516129032259,0.8111853895491418,0.8064516129032259,0.8053949557179961,0.002583134285669075
0.01,10,300,0.8225806451612904,0.8283533588874147,0.8225806451612904,0.821390794376044,0.002583134285669075
0.1,3,50,0.8225806451612904,0.8262497578223384,0.8225806451612904,0.8218536812456928,0.002583134285669075
0.1,3,100,0.8172043010752689,0.8209966216216217,0.8172043010752689,0.8164647461899149,0.002583134285669075
0.1,3,200,0.8172043010752689,0.8240317228255826,0.8172043010752689,0.8159678706290646,0.002583134285669075
0.1,3,300,0.8172043010752689,0.8240317228255826,0.8172043010752689,0.8159678706290646,0.002583134285669075
0.1,5,50,0.8279569892473119,0.8374845162888641,0.8279569892473119,0.8262856617751684,0.002583134285669075
0.1,5,100,0.8172043010752686,0.8241524023310549,0.8172043010752686,0.8158627041019514,0.002583134285669075
0.1,5,200,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
0.1,5,300,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
0.1,7,50,0.8279569892473119,0.8374845162888641,0.8279569892473119,0.8262856617751684,0.002583134285669075
0.1,7,100,0.8172043010752686,0.8241524023310549,0.8172043010752686,0.8158627041019514,0.002583134285669075
0.1,7,200,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
0.1,7,300,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
