pca__n_components,knn__n_neighbors,knn__weights,knn__metric,threshold,accuracy,precision,recall,f1,mcc
150,11,distance,cosine,0.1,0.6182093163944343,0.25858006717703763,0.8,0.3873268053855569,0.281306298910433
150,11,distance,cosine,0.2,0.7119782214156081,0.31947299077733854,0.7777777777777778,0.44594028520499107,0.35798242930764146
150,11,distance,cosine,0.30000000000000004,0.7849969751966122,0.39205882352941174,0.7333333333333333,0.49994278878660214,0.4203499411569055
150,11,distance,cosine,0.4,0.8508771929824561,0.5287912087912088,0.6888888888888889,0.5789949181253529,0.5116574698261915
150,11,distance,cosine,0.5,0.8750151240169389,0.611111111111111,0.6,0.5832507361919127,0.5250008288463672
150,11,distance,cosine,0.6,0.8889292196007259,0.6741269841269841,0.5555555555555556,0.5952316689158794,0.5441312478661289
150,11,distance,cosine,0.7000000000000001,0.8993345432546883,0.7626190476190476,0.5555555555555556,0.6187409700722395,0.5862234088981968
150,11,distance,cosine,0.8,0.8958862673926195,0.8,0.4666666666666667,0.5734841628959276,0.5527350211771954
150,11,distance,cosine,0.9,0.8958862673926195,0.86,0.4,0.5373626373626375,0.5383909244170634
