pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
150,0.01,linear,1,0.1,0.4098360655737705,0.20454545454545456,0.9,0.3333333333333333,0.1764780152923137
150,0.01,linear,1,0.2,0.8852459016393442,0.8,0.4,0.5333333333333333,0.5133784403042143
150,0.01,linear,1,0.30000000000000004,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,0.01,linear,1,0.4,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,0.01,linear,1,0.5,0.8852459016393442,1.0,0.3,0.46153846153846156,0.51360792775061
150,0.01,linear,1,0.6,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,0.01,linear,1,0.7000000000000001,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
150,0.01,linear,1,0.8,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
150,0.01,linear,1,0.9,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
150,0.01,linear,2,0.1,0.65,0.3225806451612903,1.0,0.4878048780487805,0.4325468462415931
150,0.01,linear,2,0.2,0.8333333333333334,0.5,0.5,0.5,0.4
150,0.01,linear,2,0.30000000000000004,0.8,0.25,0.1,0.14285714285714285,0.05976143046671968
150,0.01,linear,2,0.4,0.8333333333333334,0.5,0.1,0.16666666666666666,0.16609095970747995
150,0.01,linear,2,0.5,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
150,0.01,linear,2,0.6,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
150,0.01,linear,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,linear,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,linear,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,linear,3,0.1,0.6333333333333333,0.27586206896551724,0.8888888888888888,0.42105263157894735,0.34092427546309295
150,0.01,linear,3,0.2,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
150,0.01,linear,3,0.30000000000000004,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
150,0.01,linear,3,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
150,0.01,linear,3,0.5,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
150,0.01,linear,3,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
150,0.01,linear,3,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
150,0.01,linear,3,0.8,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
150,0.01,linear,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,linear,4,0.1,0.7833333333333333,0.4090909090909091,1.0,0.5806451612903226,0.5520985729238927
150,0.01,linear,4,0.2,1.0,1.0,1.0,1.0,1.0
150,0.01,linear,4,0.30000000000000004,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,0.01,linear,4,0.4,0.9833333333333333,1.0,0.8888888888888888,0.9411764705882353,0.9336995618478525
150,0.01,linear,4,0.5,0.9666666666666667,1.0,0.7777777777777778,0.875,0.8651171440654583
150,0.01,linear,4,0.6,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
150,0.01,linear,4,0.7000000000000001,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,0.01,linear,4,0.8,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
