pca__n_components,svm__C,svm__kernel,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
150,0.01,linear,0.1,0.7812462189957653,0.049662721318801895,0.41575483340189223,0.05481285351884285,0.9111111111111111,0.12171612389003691,0.567704123833156,0.06025952084847903,0.5141423854645633,0.07914221446175719
150,0.01,linear,0.2,0.9096188747731396,0.019697718464864053,0.7021212121212121,0.03689012798432291,0.7333333333333333,0.18592445034090568,0.7075925106884859,0.10333645173392998,0.6614930146219571,0.10976881938339095
150,0.01,linear,0.30000000000000004,0.9026013309134907,0.04239853000617972,0.7205555555555556,0.18678980726679237,0.6,0.2304049039258636,0.6421094969701782,0.20435682436353678,0.5984195395433913,0.21615152262965934
150,0.01,linear,0.4,0.9096188747731396,0.045152422658103,0.8914285714285715,0.1742622935083075,0.4888888888888888,0.25579698740491863,0.5957142857142858,0.2700906877177307,0.597731567935383,0.23582287575814426
150,0.01,linear,0.5,0.9027828191167574,0.0436304166663995,0.9333333333333332,0.14907119849998599,0.39999999999999997,0.2557969874049186,0.5266666666666666,0.27121127475743995,0.5536406371862237,0.23671259227758146
150,0.01,linear,0.6,0.8889897156684816,0.049751349682284146,0.8,0.4472135954999579,0.3111111111111111,0.2876039801232174,0.4155844155844156,0.3387046848687399,0.4403190500020506,0.34079992922934715
150,0.01,linear,0.7000000000000001,0.8785238959467634,0.036520414376117624,0.8,0.4472135954999579,0.2444444444444444,0.1987615979999813,0.3588811188811189,0.26723097089222314,0.3924587488348546,0.28661535108314046
150,0.01,linear,0.8,0.8715063520871145,0.03142842045064009,0.8,0.4472135954999579,0.2,0.16480441082434807,0.3085314685314685,0.22759761608950543,0.3536475963300604,0.2572952313539604
150,0.01,linear,0.9,0.8715063520871145,0.01982965685471735,1.0,0.0,0.17777777777777776,0.12668615834434865,0.28545454545454546,0.191729837475841,0.3469800037463785,0.21131494007313253
150,0.01,poly,0.1,0.15626134301270417,0.0014910777427545316,0.15626134301270417,0.0014910777427545316,1.0,0.0,0.2702849389416554,0.0022295355122326998,0.0,0.0
