learning_rate,max_depth,n_estimators,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
0.5,7,50,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
0.5,10,50,0.4,0.897103825,0.766666667,0.491111111,0.585865115,0.555874677
0.5,5,100,0.2,0.883770492,0.672167832,0.58,0.585130659,0.544863911
0.5,5,200,0.2,0.883770492,0.672167832,0.58,0.585130659,0.544863911
0.5,5,300,0.2,0.883770492,0.672167832,0.58,0.585130659,0.544863911
0.01,7,200,0.2,0.847213115,0.527936508,0.702222222,0.584391116,0.515498465
0.01,10,200,0.2,0.847213115,0.527936508,0.702222222,0.584391116,0.515498465
0.01,5,300,0.2,0.85715847,0.543376623,0.68,0.583946488,0.518912932
0.01,5,300,0.1,0.803989071,0.453694084,0.851111111,0.583095503,0.519886712
0.1,7,50,0.1,0.833934426,0.4875,0.744444444,0.582730159,0.50747352
0.1,10,50,0.1,0.833934426,0.4875,0.744444444,0.582730159,0.50747352
0.1,3,300,0.1,0.857103825,0.545168067,0.657777778,0.580469289,0.511127411
0.1,5,100,0.3,0.886939891,0.674891775,0.548888889,0.58032634,0.536375471
0.3,3,200,0.4,0.890327869,0.743333333,0.508888889,0.579575863,0.546650462
0.3,3,300,0.4,0.890327869,0.743333333,0.508888889,0.579575863,0.546650462
0.5,7,100,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.5,7,200,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.5,7,300,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.5,10,100,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.5,10,200,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.5,10,300,0.4,0.893770492,0.75,0.491111111,0.578847571,0.545806926
0.3,3,50,0.3,0.886994536,0.69974026,0.528888889,0.578696742,0.536694879
0.5,3,100,0.3,0.893770492,0.797272727,0.513333333,0.578623482,0.563824222
0.5,3,200,0.3,0.893770492,0.797272727,0.513333333,0.578623482,0.563824222
0.5,3,300,0.3,0.893770492,0.797272727,0.513333333,0.578623482,0.563824222
0.1,7,100,0.1,0.850491803,0.516783217,0.677777778,0.578533231,0.503124671
0.1,10,100,0.1,0.850491803,0.516783217,0.677777778,0.578533231,0.503124671
0.01,7,300,0.1,0.803989071,0.452828283,0.831111111,0.578423645,0.509830892
0.01,10,300,0.1,0.803989071,0.452828283,0.831111111,0.578423645,0.509830892
0.1,7,200,0.5,0.900327869,0.864761905,0.466666667,0.577614491,0.574493592
0.1,10,200,0.5,0.900327869,0.864761905,0.466666667,0.577614491,0.574493592
0.1,7,50,0.3,0.880327869,0.665238095,0.548888889,0.576956815,0.527598257
0.1,10,50,0.3,0.880327869,0.665238095,0.548888889,0.576956815,0.527598257
0.5,5,100,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,5,200,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,5,300,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,7,100,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,7,200,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,7,300,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,10,100,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,10,200,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.5,10,300,0.5,0.89704918,0.80952381,0.471111111,0.576772247,0.558740407
0.3,5,50,0.2,0.876994536,0.636666667,0.551111111,0.576583504,0.516480649
0.5,3,50,0.1,0.853770492,0.528769841,0.68,0.576424501,0.510898287
0.3,7,200,0.4,0.890273224,0.741666667,0.486666667,0.576270541,0.538316823
0.3,7,300,0.4,0.890273224,0.741666667,0.486666667,0.576270541,0.538316823
0.3,10,200,0.4,0.890273224,0.741666667,0.486666667,0.576270541,0.538316823
0.3,10,300,0.4,0.890273224,0.741666667,0.486666667,0.576270541,0.538316823
0.1,5,200,0.4,0.893661202,0.746666667,0.508888889,0.574987469,0.54827259
0.01,7,300,0.2,0.85715847,0.545396825,0.66,0.574923932,0.510256063
0.01,10,300,0.2,0.85715847,0.545396825,0.66,0.574923932,0.510256063
0.5,3,100,0.1,0.853770492,0.52502424,0.68,0.5749223,0.508910372
0.5,3,200,0.1,0.853770492,0.52502424,0.68,0.5749223,0.508910372
0.5,3,300,0.1,0.853770492,0.52502424,0.68,0.5749223,0.508910372
0.3,7,50,0.1,0.860437158,0.548333333,0.637777778,0.574183575,0.50523274
0.3,10,50,0.1,0.860437158,0.548333333,0.637777778,0.574183575,0.50523274
0.01,5,200,0.2,0.843879781,0.522222222,0.68,0.573521551,0.500198976
0.3,5,100,0.4,0.893606557,0.74952381,0.484444444,0.571666667,0.540679242
0.1,3,200,0.1,0.850437158,0.531593407,0.657777778,0.570512579,0.499585766
0.01,3,200,0.2,0.833879781,0.503839869,0.702222222,0.565120213,0.493909174
0.5,3,100,0.2,0.873825137,0.612222222,0.555555556,0.562828283,0.503922547
0.5,3,200,0.2,0.873825137,0.612222222,0.555555556,0.562828283,0.503922547
0.5,3,300,0.2,0.873825137,0.612222222,0.555555556,0.562828283,0.503922547
0.3,7,50,0.4,0.886939891,0.720634921,0.486666667,0.562426901,0.524360712
0.3,10,50,0.4,0.886939891,0.720634921,0.486666667,0.562426901,0.524360712
0.1,5,300,0.4,0.890327869,0.74,0.486666667,0.560952381,0.532071873
0.3,5,200,0.5,0.893606557,0.791666667,0.444444444,0.560634921,0.537839444
0.3,5,300,0.5,0.893606557,0.791666667,0.444444444,0.560634921,0.537839444
0.5,3,50,0.2,0.867213115,0.572222222,0.577777778,0.559567413,0.49297694
0.3,5,200,0.4,0.886939891,0.717777778,0.484444444,0.557777778,0.521239786
0.3,5,300,0.4,0.886939891,0.717777778,0.484444444,0.557777778,0.521239786
0.3,5,100,0.5,0.893606557,0.786666667,0.442222222,0.554887218,0.533615755
0.5,5,50,0.5,0.893715847,0.792857143,0.448888889,0.551131222,0.535313563
0.5,7,50,0.5,0.893715847,0.792857143,0.448888889,0.551131222,0.535313563
0.5,10,50,0.5,0.893715847,0.792857143,0.448888889,0.551131222,0.535313563
0.3,3,200,0.5,0.890382514,0.786190476,0.446666667,0.550216888,0.52989608
0.3,3,300,0.5,0.890382514,0.786190476,0.446666667,0.550216888,0.52989608
0.1,3,50,0.1,0.810546448,0.435531342,0.764444444,0.548496905,0.474627453
0.01,5,200,0.1,0.744262295,0.391897436,0.937777778,0.54697479,0.49137847
0.1,7,50,0.4,0.896994536,0.86,0.444444444,0.543081232,0.546007545
0.1,10,50,0.4,0.896994536,0.86,0.444444444,0.543081232,0.546007545
0.5,3,50,0.3,0.880437158,0.683852814,0.491111111,0.542380952,0.503153027
0.1,3,100,0.4,0.883661202,0.720634921,0.446666667,0.537915679,0.501851798
0.01,3,300,0.1,0.757540984,0.39229249,0.873333333,0.53516546,0.469495678
0.01,5,300,0.3,0.870382514,0.675549451,0.506666667,0.535023679,0.492415329
0.1,5,100,0.4,0.886994536,0.69,0.466666667,0.534987469,0.500227875
0.5,5,50,0.6,0.890382514,0.785714286,0.426666667,0.534954751,0.518361447
0.5,7,50,0.6,0.890382514,0.785714286,0.426666667,0.534954751,0.518361447
0.5,10,50,0.6,0.890382514,0.785714286,0.426666667,0.534954751,0.518361447
0.01,3,100,0.2,0.797431694,0.42567878,0.744444444,0.534274652,0.451262047
0.5,3,50,0.4,0.897103825,0.86,0.406666667,0.532619048,0.537276361
0.5,5,100,0.6,0.890382514,0.786190476,0.426666667,0.532083603,0.517504575
0.5,5,200,0.6,0.890382514,0.786190476,0.426666667,0.532083603,0.517504575
0.5,5,300,0.6,0.890382514,0.786190476,0.426666667,0.532083603,0.517504575
0.3,7,200,0.5,0.886939891,0.751666667,0.422222222,0.532063492,0.504063417
0.3,7,300,0.5,0.886939891,0.751666667,0.422222222,0.532063492,0.504063417
0.3,10,200,0.5,0.886939891,0.751666667,0.422222222,0.532063492,0.504063417
0.3,10,300,0.5,0.886939891,0.751666667,0.422222222,0.532063492,0.504063417
0.1,3,300,0.5,0.883661202,0.749285714,0.424444444,0.531990232,0.501499544
0.1,5,50,0.3,0.873661202,0.587362637,0.526666667,0.530797101,0.476787834
0.01,7,200,0.1,0.731038251,0.378918782,0.915555556,0.528134271,0.466713948
0.01,10,200,0.1,0.731038251,0.378918782,0.915555556,0.528134271,0.466713948
0.5,3,100,0.4,0.890437158,0.80952381,0.426666667,0.527506266,0.520681684
0.5,3,200,0.4,0.890437158,0.80952381,0.426666667,0.527506266,0.520681684
0.5,3,300,0.4,0.890437158,0.80952381,0.426666667,0.527506266,0.520681684
0.1,5,300,0.5,0.893661202,0.852857143,0.424444444,0.527394958,0.530023018
0.3,3,100,0.5,0.88704918,0.76952381,0.424444444,0.524575863,0.506469236
0.3,7,100,0.5,0.886939891,0.805,0.4,0.517171717,0.505613504
0.3,10,100,0.5,0.886939891,0.805,0.4,0.517171717,0.505613504
0.01,7,300,0.3,0.867103825,0.664402264,0.486666667,0.514466403,0.473778568
0.01,10,300,0.3,0.867103825,0.664402264,0.486666667,0.514466403,0.473778568
0.5,7,100,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.5,7,200,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.5,7,300,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.5,10,100,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.5,10,200,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.5,10,300,0.6,0.88704918,0.776666667,0.406666667,0.514436544,0.500143698
0.1,3,200,0.5,0.883661202,0.75047619,0.402222222,0.512885154,0.488399914
0.1,5,200,0.5,0.890327869,0.77,0.4,0.512554113,0.498384471
0.3,3,100,0.6,0.88704918,0.80952381,0.402222222,0.510290148,0.505920886
0.3,5,50,0.5,0.886939891,0.743333333,0.397777778,0.509157509,0.486305102
0.01,5,50,0.2,0.794153005,0.406037152,0.702222222,0.508603885,0.419289817
0.01,7,50,0.2,0.794153005,0.406037152,0.702222222,0.508603885,0.419289817
0.01,10,50,0.2,0.794153005,0.406037152,0.702222222,0.508603885,0.419289817
0.1,5,100,0.5,0.890327869,0.843333333,0.4,0.508571429,0.510654876
0.01,5,100,0.2,0.797431694,0.428571429,0.677777778,0.507908903,0.420932749
0.5,3,50,0.5,0.893770492,0.893333333,0.364444444,0.505934066,0.5228172
0.01,7,100,0.2,0.797431694,0.417627402,0.677777778,0.505704711,0.415811831
0.01,10,100,0.2,0.797431694,0.417627402,0.677777778,0.505704711,0.415811831
0.1,3,100,0.5,0.88704918,0.842857143,0.382222222,0.505539167,0.506828362
0.1,5,50,0.4,0.890382514,0.852857143,0.402222222,0.50492674,0.512128407
0.3,7,50,0.5,0.886939891,0.825,0.377777778,0.501787102,0.499480843
0.3,10,50,0.5,0.886939891,0.825,0.377777778,0.501787102,0.499480843
0.01,3,50,0.2,0.78431694,0.402450065,0.722222222,0.501708174,0.41920574
0.01,3,200,0.3,0.863661202,0.594560995,0.486666667,0.500469289,0.448513933
0.3,3,200,0.6,0.883715847,0.791666667,0.382222222,0.49982906,0.489294407
0.3,3,300,0.6,0.883715847,0.791666667,0.382222222,0.49982906,0.489294407
0.3,3,50,0.5,0.880382514,0.740952381,0.402222222,0.499575863,0.477389668
0.01,3,300,0.4,0.876994536,0.671111111,0.422222222,0.499331662,0.461123964
0.1,7,100,0.5,0.88704918,0.836190476,0.402222222,0.497909196,0.502060656
0.1,10,100,0.5,0.88704918,0.836190476,0.402222222,0.497909196,0.502060656
0.3,3,50,0.6,0.883715847,0.776666667,0.38,0.491883555,0.481422685
0.01,3,300,0.3,0.856994536,0.58020202,0.486666667,0.490730159,0.436530045
0.3,3,100,0.7,0.88704918,0.885,0.36,0.49043179,0.506602454
0.01,7,200,0.3,0.863770492,0.653174603,0.442222222,0.488888889,0.444980585
0.01,10,200,0.3,0.863770492,0.653174603,0.442222222,0.488888889,0.444980585
0.1,3,200,0.7,0.89704918,1,0.337777778,0.488717949,0.536009416
0.5,3,100,0.5,0.887103825,0.833333333,0.362222222,0.488076923,0.492511406
0.5,3,200,0.5,0.887103825,0.833333333,0.362222222,0.488076923,0.492511406
0.5,3,300,0.5,0.887103825,0.833333333,0.362222222,0.488076923,0.492511406
0.1,3,300,0.7,0.890382514,0.91,0.34,0.487086247,0.510668174
0.5,3,50,0.6,0.890437158,0.893333333,0.342222222,0.486153846,0.506510889
0.5,3,100,0.6,0.890437158,0.893333333,0.342222222,0.486153846,0.506510889
0.5,3,200,0.6,0.890437158,0.893333333,0.342222222,0.486153846,0.506510889
0.5,3,300,0.6,0.890437158,0.893333333,0.342222222,0.486153846,0.506510889
0.3,5,100,0.6,0.88704918,0.80952381,0.36,0.486145227,0.485855091
0.3,5,200,0.6,0.88704918,0.80952381,0.36,0.486145227,0.485855091
0.3,5,300,0.6,0.88704918,0.80952381,0.36,0.486145227,0.485855091
0.1,3,200,0.6,0.883715847,0.842857143,0.36,0.485758947,0.490522052
0.1,3,300,0.6,0.883715847,0.842857143,0.36,0.485758947,0.490522052
0.3,3,200,0.7,0.883715847,0.858333333,0.36,0.482812743,0.493294108
0.3,3,300,0.7,0.883715847,0.858333333,0.36,0.482812743,0.493294108
0.01,5,200,0.3,0.857103825,0.636507937,0.442222222,0.478282828,0.431864219
0.1,3,50,0.4,0.880382514,0.805952381,0.382222222,0.476752137,0.474546087
0.1,3,100,0.6,0.890382514,0.92,0.337777778,0.474432234,0.502781739
0.01,3,200,0.1,0.647814208,0.315938429,0.937777778,0.4676361,0.397228531
0.1,5,200,0.6,0.88704918,0.88,0.34,0.467545788,0.486726456
0.1,5,300,0.6,0.88704918,0.88,0.34,0.467545788,0.486726456
0.3,7,100,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,7,200,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,7,300,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,10,100,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,10,200,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,10,300,0.6,0.883715847,0.858333333,0.337777778,0.465889666,0.481239333
0.3,5,50,0.6,0.88704918,0.883333333,0.335555556,0.465034965,0.489533007
0.1,5,100,0.6,0.88704918,0.902857143,0.337777778,0.464240465,0.490503323
0.3,3,50,0.7,0.883715847,0.885,0.337777778,0.463159063,0.485787383
0.5,3,50,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,3,100,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,3,200,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,3,300,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,7,50,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,7,100,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,7,200,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,7,300,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,10,50,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,10,100,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,10,200,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.5,10,300,0.7,0.887103825,0.893333333,0.32,0.463076923,0.488492824
0.1,5,300,0.7,0.890382514,0.96,0.317777778,0.462051282,0.503647822
0.01,7,100,0.3,0.853879781,0.610866911,0.422222222,0.458355292,0.408374262
0.01,10,100,0.3,0.853879781,0.610866911,0.422222222,0.458355292,0.408374262
0.01,5,100,0.3,0.853825137,0.610866911,0.42,0.457472939,0.407230541
0.3,3,200,0.8,0.883715847,0.893333333,0.317777778,0.452047952,0.47875372
0.3,3,300,0.8,0.883715847,0.893333333,0.317777778,0.452047952,0.47875372
0.3,5,100,0.7,0.883715847,0.876190476,0.315555556,0.449348691,0.473548481
0.1,7,300,0.6,0.880437158,0.845,0.34,0.446349206,0.461160881
0.1,10,300,0.6,0.880437158,0.845,0.34,0.446349206,0.461160881
0.5,5,50,0.7,0.883770492,0.883333333,0.3,0.442124542,0.469680447
