dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,threshold,accuracy,precision,recall,f1,mcc
10,5,2,gini,,1,0.1,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,1,0.2,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,1,0.30000000000000004,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,1,0.4,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,1,0.5,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,1,0.6,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
10,5,2,gini,,1,0.7000000000000001,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
10,5,2,gini,,1,0.8,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
10,5,2,gini,,1,0.9,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
10,5,2,gini,,2,0.1,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.2,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.30000000000000004,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.4,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.5,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,2,0.6,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,2,0.7000000000000001,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,2,0.8,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,2,0.9,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,3,0.1,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,3,0.2,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,3,0.30000000000000004,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,3,0.4,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
10,5,2,gini,,3,0.5,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
