dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,threshold,accuracy,precision,recall,f1,mcc
10,5,2,entropy,log2,0.1,0.5059322033898306,0.238505315822389,0.8166666666666667,0.35463945578231293,0.21157132216421828
10,5,2,entropy,log2,0.2,0.5364406779661017,0.24721499324174384,0.8166666666666667,0.3661779173207745,0.23498400254553758
10,5,2,entropy,log2,0.30000000000000004,0.5697740112994351,0.2560992621260127,0.7944444444444445,0.37556521739130433,0.24701548549769298
10,5,2,entropy,log2,0.4,0.6703954802259886,0.27887748825078124,0.6611111111111111,0.3856185481185481,0.2558419992005593
10,5,2,entropy,log2,0.5,0.6975141242937852,0.2884012977745908,0.638888888888889,0.3893076126771779,0.2684928284880821
10,5,2,entropy,log2,0.6,0.6975141242937852,0.2884012977745908,0.638888888888889,0.3893076126771779,0.2684928284880821
10,5,2,entropy,log2,0.7000000000000001,0.8592090395480225,0.8933333333333333,0.23055555555555554,0.22575757575757577,0.2192829889419931
10,5,2,entropy,log2,0.8,0.8592090395480225,0.8933333333333333,0.23055555555555554,0.22575757575757577,0.2192829889419931
10,5,2,entropy,log2,0.9,0.8625423728813558,1.0,0.075,0.10909090909090909,0.11687905837109694
10,5,2,entropy,sqrt,0.1,0.8189265536723165,0.45920289855072466,0.8416666666666666,0.5901666666666666,0.5281107424723388
10,5,2,entropy,sqrt,0.2,0.8489265536723163,0.5202380952380953,0.8416666666666666,0.6382360248447204,0.5799897138270782
10,5,2,entropy,sqrt,0.30000000000000004,0.885593220338983,0.5935714285714286,0.8416666666666666,0.6922711125640187,0.6424072490642979
10,5,2,entropy,sqrt,0.4,0.885593220338983,0.5900000000000001,0.8194444444444444,0.6832276343031491,0.6304047829548329
10,5,2,entropy,sqrt,0.5,0.885593220338983,0.5900000000000001,0.8194444444444444,0.6832276343031491,0.6304047829548329
10,5,2,entropy,sqrt,0.6,0.8856497175141242,0.593030303030303,0.75,0.6613032581453634,0.6003966495934965
10,5,2,entropy,sqrt,0.7000000000000001,0.8923728813559322,0.6572222222222223,0.6583333333333333,0.6424603174603174,0.5896533268011247
10,5,2,entropy,sqrt,0.8,0.8890960451977401,0.7092424242424242,0.5694444444444444,0.5916666666666666,0.5573464992009836
10,5,2,entropy,sqrt,0.9,0.8992090395480226,0.7764285714285715,0.4805555555555555,0.575,0.5519133183494376
10,5,2,gini,log2,0.1,0.5027683615819208,0.2491304347826087,0.8861111111111111,0.3742368583797155,0.25570005126084594
10,5,2,gini,log2,0.2,0.5332768361581921,0.2507421563943303,0.836111111111111,0.3726495567924139,0.2489636403564366
10,5,2,gini,log2,0.30000000000000004,0.563276836158192,0.25901801846329586,0.725,0.3471452919285737,0.21753862394837525
10,5,2,gini,log2,0.4,0.634180790960452,0.2903209109730849,0.7027777777777777,0.3799762329174094,0.2669618377157468
10,5,2,gini,log2,0.5,0.634180790960452,0.2903209109730849,0.7027777777777777,0.3799762329174094,0.2669618377157468
10,5,2,gini,log2,0.6,0.7308474576271187,0.4511904761904762,0.525,0.35452168746286394,0.2825939941997623
10,5,2,gini,log2,0.7000000000000001,0.8557627118644067,0.6142857142857142,0.2111111111111111,0.2407843137254902,0.22135326705931266
10,5,2,gini,log2,0.8,0.8557627118644067,0.62,0.1638888888888889,0.2123076923076923,0.19894475779157492
10,5,2,gini,log2,0.9,0.8558757062146892,0.6,0.09722222222222222,0.14909090909090908,0.1523217923244947
10,5,2,gini,sqrt,0.1,0.8421468926553672,0.4904761904761905,0.7055555555555555,0.5726376811594203,0.4969113196537013
10,5,2,gini,sqrt,0.2,0.8621468926553673,0.5380952380952382,0.6833333333333333,0.597933965348153,0.5249833625727034
10,5,2,gini,sqrt,0.30000000000000004,0.8655367231638419,0.5435897435897437,0.6833333333333333,0.6018865345181135,0.5301295926997553
10,5,2,gini,sqrt,0.4,0.8689265536723164,0.5595238095238095,0.6611111111111111,0.5978822055137845,0.5290364727269147
10,5,2,gini,sqrt,0.5,0.8689265536723164,0.5595238095238095,0.6611111111111111,0.5978822055137845,0.5290364727269147
10,5,2,gini,sqrt,0.6,0.8790960451977401,0.6,0.638888888888889,0.6057142857142856,0.5442360904221573
10,5,2,gini,sqrt,0.7000000000000001,0.8891525423728813,0.6422222222222222,0.5916666666666666,0.6001867413632119,0.5474713399283744
10,5,2,gini,sqrt,0.8,0.892542372881356,0.7227777777777777,0.5027777777777778,0.5774186597716009,0.5389939084365214
10,5,2,gini,sqrt,0.9,0.892542372881356,0.7227777777777777,0.5027777777777778,0.5774186597716009,0.5389939084365214
10,5,5,entropy,log2,0.1,0.48903954802259886,0.2372552781450658,0.8861111111111111,0.3635750866002967,0.23806053044707448
10,5,5,entropy,log2,0.2,0.5194915254237288,0.24447957839262185,0.8166666666666667,0.3577821017542272,0.22624158083261
10,5,5,entropy,log2,0.30000000000000004,0.5697740112994351,0.25055093555093555,0.7472222222222222,0.3602254343673108,0.22207742893130705
10,5,5,entropy,log2,0.4,0.6297740112994351,0.2716059379217274,0.6805555555555556,0.3751424014581909,0.23629522395999952
10,5,5,entropy,log2,0.5,0.6331073446327684,0.2741421698057854,0.6805555555555556,0.37779391660970607,0.23966826553251352
10,5,5,entropy,log2,0.6,0.7212429378531073,0.43914216980578535,0.525,0.3206510594668489,0.22154264797900916
10,5,5,entropy,log2,0.7000000000000001,0.855819209039548,0.8923076923076924,0.18333333333333332,0.1890909090909091,0.18636234537822646
10,5,5,entropy,log2,0.8,0.855819209039548,0.8923076923076924,0.18333333333333332,0.1890909090909091,0.18636234537822646
