C,kernel,accuracy,precision,recall,f1,preparationTime
0.01,linear,0.7842105263157896,0.7805555555555556,0.7777777777777778,0.7772273821809426,0.03824240126087004
0.01,rbf,0.5105263157894736,1.0,0.0,0.0,0.03824255253261091
0.01,poly,0.5105263157894736,1.0,0.0,0.0,0.038242624543480146
0.01,sigmoid,0.5105263157894736,1.0,0.0,0.0,0.0382426888586995
0.1,linear,0.7842105263157896,0.7805555555555556,0.7777777777777778,0.7772273821809426,0.038242746369568835
0.1,rbf,0.5105263157894736,1.0,0.0,0.0,0.03824283060869813
0.1,poly,0.5105263157894736,1.0,0.0,0.0,0.03824288858695878
0.1,sigmoid,0.5105263157894736,1.0,0.0,0.0,0.038242944739132013
1.0,linear,0.7842105263157896,0.7805555555555556,0.7777777777777778,0.7772273821809426,0.038243003619566916
1.0,rbf,0.6619883040935672,0.7695238095238095,0.4222222222222222,0.5385531135531135,0.038243082423916705
1.0,poly,0.5210526315789473,0.7,0.06666666666666667,0.11636363636363636,0.03824316348913192
1.0,sigmoid,0.6736842105263158,0.8980952380952381,0.4,0.5103463203463203,0.03824323957608949
10.0,linear,0.7842105263157896,0.7805555555555556,0.7777777777777778,0.7772273821809426,0.038243315663047055
10.0,rbf,0.7713450292397661,0.79,0.6888888888888889,0.7265539414146225,0.038243394467391896
10.0,poly,0.5543859649122806,0.8,0.15555555555555556,0.24545454545454543,0.038243469652175205
10.0,sigmoid,0.5760233918128655,0.571990231990232,0.5777777777777778,0.5675704412546517,0.038243544836958514
100.0,linear,0.7842105263157896,0.7805555555555556,0.7777777777777778,0.7772273821809426,0.03824362635869558
100.0,rbf,0.783625730994152,0.7577777777777778,0.8222222222222222,0.7786800334168754,0.038243705608697776
100.0,poly,0.5754385964912281,0.7333333333333333,0.22222222222222224,0.3372960372960373,0.03824378305435146
100.0,sigmoid,0.5555555555555556,0.5455555555555556,0.5777777777777778,0.5589463855717726,0.0382438614130439
