eta,max_depth,n_estimators,accuracy,precision,recall,f1,preparationTime
0.01,3,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.2016769344444684
0.01,3,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.20167709333327366
0.01,3,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.20167718111107308
0.01,3,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.20167726222215504
0.01,5,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.2016775322222707
0.01,5,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.20167772888881802
0.01,5,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.20167781444437827
0.01,5,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.2016778900000241
0.01,7,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.20167796222214948
0.01,7,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.20167804000003445
0.01,7,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.2016781099999207
0.01,7,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.2016781744443708
0.01,10,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.20167824222217962
0.01,10,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.20167830888886884
0.01,10,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.2016783788889168
0.01,10,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.20167844555560602
0.1,3,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.20167850888893654
0.1,3,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.20167858111106196
0.1,3,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167864888887077
0.1,3,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167871555556
0.1,5,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.2016787833333688
0.1,5,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.20167885111101594
0.1,5,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167891666658558
0.1,5,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167899333335096
0.1,7,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.20167906888883508
0.1,7,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.20167913888888303
0.1,7,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016792044444527
0.1,7,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167927444433897
0.1,10,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.20167934555550648
0.1,10,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.20167941444443488
0.1,10,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016794822222437
0.1,10,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167955666660822
0.3,3,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016796344444932
0.3,3,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167971555557515
0.3,3,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20167978666658098
0.3,3,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20168786444442555
0.3,5,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016881266667042
0.3,5,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016882155554615
0.3,5,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20169161555548068
0.3,5,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016918511110513
0.3,7,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.2016920644443922
0.3,7,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20169218999993366
0.3,7,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20169228111109178
0.3,7,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20169248333323694
0.3,10,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.20169258444447122
