pca_n_components,C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
50,0.01,linear,0.7777777777777778,0.7863247863247863,0.7555555555555555,0.7698412698412699,0.5565565767771631,0.04268424444469727
50,0.01,rbf,0.5333333333333333,0.546031746031746,0.35555555555555557,0.362962962962963,0.07996209408237064,0.042684385555589364
50,0.01,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.04268446666667135
50,0.01,sigmoid,0.5333333333333333,0.5777777777777778,0.17777777777777778,0.2646125116713352,0.08129687141111391,0.04268454666663375
50,0.1,linear,0.7333333333333333,0.7418803418803419,0.7111111111111111,0.7253968253968254,0.46766768788827423,0.04268462222244125
50,0.1,rbf,0.5333333333333333,0.546031746031746,0.35555555555555557,0.362962962962963,0.07996209408237064,0.04268469555568623
50,0.1,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.04268477222228992
50,0.1,sigmoid,0.5333333333333333,0.5777777777777778,0.17777777777777778,0.2646125116713352,0.08129687141111391,0.04268484111105661
50,1.0,linear,0.7333333333333333,0.7418803418803419,0.7111111111111111,0.7253968253968254,0.46766768788827423,0.0426849088890271
50,1.0,rbf,0.5777777777777778,0.6571428571428571,0.4222222222222222,0.45555555555555555,0.19199625554531954,0.042684977777793794
50,1.0,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.04268504888912301
50,1.0,sigmoid,0.5444444444444444,0.7166666666666667,0.1777777777777778,0.2830409356725146,0.14666891645717525,0.042685115555650556
50,10.0,linear,0.7333333333333333,0.7418803418803419,0.7111111111111111,0.7253968253968254,0.46766768788827423,0.04268518555553682
50,10.0,rbf,0.7666666666666666,0.8415103415103414,0.6444444444444445,0.7240642499263189,0.5498934447233931,0.04268525444462688
50,10.0,poly,0.5222222222222223,1.0,0.044444444444444446,0.08333333333333333,0.12379689211803457,0.042685324444513145
50,10.0,sigmoid,0.5777777777777778,0.6035353535353536,0.48888888888888893,0.5388872515309296,0.16064666514033055,0.0426853900002445
50,100.0,linear,0.7333333333333333,0.7418803418803419,0.7111111111111111,0.7253968253968254,0.46766768788827423,0.042685461111250336
50,100.0,rbf,0.7888888888888889,0.8174603174603173,0.7333333333333334,0.7722435078756917,0.5807007858314143,0.04268553000001703
50,100.0,poly,0.5444444444444444,0.7061728395061729,0.4222222222222222,0.4006535947712418,0.15593835737450903,0.04268559555574838
50,100.0,sigmoid,0.5777777777777778,0.5867269984917044,0.5555555555555555,0.5684523809523809,0.15695698526580623,0.042685668888993354
57,0.01,linear,0.7333333333333334,0.7348901098901099,0.7111111111111111,0.7214365167646593,0.46815914226826777,0.042685737777760045
57,0.01,rbf,0.5333333333333333,0.546031746031746,0.35555555555555557,0.362962962962963,0.07996209408237064,0.04268580666685011
57,0.01,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.04268587777785594
57,0.01,sigmoid,0.5333333333333333,0.5777777777777778,0.17777777777777778,0.2646125116713352,0.08129687141111391,0.0426859433335873
57,0.1,linear,0.7444444444444445,0.7532051282051282,0.7111111111111111,0.7296466973886329,0.49148550657786183,0.04268601666683228
57,0.1,rbf,0.5333333333333333,0.546031746031746,0.35555555555555557,0.362962962962963,0.07996209408237064,0.04268608555559897
57,0.1,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.042686155555808604
57,0.1,sigmoid,0.5333333333333333,0.5777777777777778,0.17777777777777778,0.2646125116713352,0.08129687141111391,0.042686224444575295
57,1.0,linear,0.7444444444444445,0.7532051282051282,0.7111111111111111,0.7296466973886329,0.49148550657786183,0.042686293333341986
57,1.0,rbf,0.5777777777777778,0.6571428571428571,0.4222222222222222,0.45555555555555555,0.19199625554531954,0.042686360000192915
57,1.0,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.042686427777840034
57,1.0,sigmoid,0.5444444444444444,0.7166666666666667,0.1777777777777778,0.2830409356725146,0.14666891645717525,0.04268649000021267
57,10.0,linear,0.7444444444444445,0.7532051282051282,0.7111111111111111,0.7296466973886329,0.49148550657786183,0.042686561111218504
57,10.0,rbf,0.7555555555555555,0.8187830687830688,0.6444444444444445,0.7155172413793104,0.5245761666425967,0.042686628888865624
57,10.0,poly,0.5222222222222223,1.0,0.044444444444444446,0.08333333333333333,0.12379689211803457,0.04268669666683612
57,10.0,sigmoid,0.5777777777777778,0.6035353535353536,0.48888888888888893,0.5388872515309296,0.16064666514033055,0.04268676555560281
57,100.0,linear,0.7444444444444445,0.7532051282051282,0.7111111111111111,0.7296466973886329,0.49148550657786183,0.04268683444469287
57,100.0,rbf,0.7777777777777778,0.8137973137973137,0.7111111111111111,0.7582862008149364,0.559784922436621,0.04268690222233999
57,100.0,poly,0.5444444444444444,0.7061728395061729,0.4222222222222222,0.4006535947712418,0.15593835737450903,0.04268696999998711
57,100.0,sigmoid,0.5777777777777778,0.5867269984917044,0.5555555555555555,0.5684523809523809,0.15695698526580623,0.04268703777795761
64,0.01,linear,nan,nan,nan,nan,nan,0.04268710444448516
64,0.01,rbf,nan,nan,nan,nan,nan,0.04268715222230336
64,0.01,poly,nan,nan,nan,nan,nan,0.042687192222284565
64,0.01,sigmoid,nan,nan,nan,nan,nan,0.042687232222265774
64,0.1,linear,nan,nan,nan,nan,nan,0.04268727333336655
64,0.1,rbf,nan,nan,nan,nan,nan,0.04268731555558689
64,0.1,poly,nan,nan,nan,nan,nan,0.04268735777780724
