n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,preparationTime
50,3,2,1,0.8222222222222223,0.8156512605042017,0.8444444444444444,0.828420467185762,0.7146001188888073
100,3,2,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.7146002122222045
200,3,2,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146002600000227
300,3,2,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146003055556017
50,3,5,1,0.8444444444444444,0.8333333333333334,0.888888888888889,0.8549783549783548,0.7146003455555829
100,3,5,1,0.8222222222222223,0.7888888888888889,0.888888888888889,0.8343434343434343,0.714600383333325
200,3,5,1,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146004222221867
300,3,5,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146004611110482
50,3,10,1,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146005022221491
100,3,10,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.714600542222292
200,3,10,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146005866665898
300,3,10,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146006244444935
50,3,2,2,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146006622222356
100,3,2,2,0.8555555555555556,0.8419312169312169,0.888888888888889,0.8625521061561106,0.7146006999999777
200,3,2,2,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146007377777197
300,3,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146007766665813
50,3,5,2,0.8555555555555556,0.8419312169312169,0.888888888888889,0.8625521061561106,0.7146008155556046
100,3,5,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146008544444663
200,3,5,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146008922222084
300,3,5,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146009288888309
50,3,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.714600965555615
100,3,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146010022222374
200,3,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146010399999796
300,3,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146010788888412
50,3,2,4,0.8777777777777778,0.8310185185185186,0.9555555555555556,0.8882372108178561,0.7146011177777029
100,3,2,4,0.8444444444444444,0.8391534391534391,0.8666666666666667,0.8503657262277953,0.714601154444487
200,3,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146011944444682
300,3,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146012333333298
50,3,5,4,0.8333333333333334,0.8026960784313726,0.888888888888889,0.8434139784946236,0.7146012711110719
100,3,5,4,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146013099999335
200,3,5,4,0.8666666666666667,0.8277505446623094,0.9333333333333332,0.8768735744542197,0.7146013488889569
300,3,5,4,0.8555555555555556,0.8263616557734205,0.9111111111111111,0.8654040404040404,0.7146013866666989
50,3,10,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146014277777997
100,3,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146014644444222
200,3,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146015022221642
300,3,10,4,0.8666666666666667,0.8277505446623094,0.9333333333333332,0.8768735744542197,0.7146015711110926
50,5,2,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146016111110738
100,5,2,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.7146016477776963
200,5,2,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.7146016866667196
300,5,2,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146017244444617
50,5,5,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146017611110842
100,5,5,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146017999999458
200,5,5,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.714601839999927
300,5,5,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146018766667112
50,5,10,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.7146019133333337
100,5,10,1,0.8333333333333334,0.8041394335511982,0.888888888888889,0.8431818181818181,0.7146019511110757
200,5,10,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146019888888178
300,5,10,1,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146020244444824
50,5,2,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146020599999853
100,5,2,2,0.8666666666666667,0.8627450980392156,0.888888888888889,0.8720238095238096,0.7146020966666078
200,5,2,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.714602133333392
300,5,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146021722222536
50,5,5,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146022122222349
100,5,5,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146022488888573
200,5,5,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146022855554798
300,5,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146023211111444
50,5,10,2,0.8555555555555556,0.8263616557734205,0.9111111111111111,0.8654040404040404,0.7146023588888865
100,5,10,2,0.8444444444444444,0.8226851851851852,0.888888888888889,0.8533072662104919,0.7146023999999872
200,5,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146024433333271
300,5,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146024788888301
50,5,2,4,0.8444444444444444,0.8289760348583878,0.888888888888889,0.8552986764193662,0.7146025166667338
100,5,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146025533333563
200,5,2,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146025933333375
300,5,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.714602637777797
50,5,5,4,0.8333333333333334,0.8056644880174293,0.888888888888889,0.8439393939393939,0.7146026844444956
100,5,5,4,0.8444444444444444,0.8391534391534391,0.8666666666666667,0.8503657262277953,0.7146027244444768
200,5,5,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146027611110993
300,5,5,4,0.8444444444444444,0.8111111111111112,0.9111111111111111,0.8565656565656564,0.7146027977777218
50,5,10,4,0.8555555555555556,0.8125,0.9333333333333332,0.8680351906158359,0.714602834444506
100,5,10,4,0.8555555555555556,0.8240740740740741,0.9111111111111111,0.8647768002606714,0.7146028755556068
200,5,10,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146029144444684
300,5,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146029511110908
50,7,2,1,0.8222222222222223,0.8156512605042017,0.8444444444444444,0.828420467185762,0.7146029877777134
100,7,2,1,0.8333333333333334,0.8289760348583878,0.8666666666666667,0.8429834054834054,0.714603023333378
200,7,2,1,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146030666667179
300,7,2,1,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146031033333404
50,7,5,1,0.8333333333333334,0.8449074074074074,0.8444444444444444,0.8384924513956772,0.7146031488889194
100,7,5,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146032288888818
200,7,5,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.714603268888863
300,7,5,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146033077777247
50,7,10,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146033455556284
