C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
0.01,linear,0.7222222222222222,0.7275641025641025,0.6888888888888888,0.7058371735791091,0.4466406536447743,0.014827128888767523
0.01,rbf,0.5555555555555556,0.5803030303030303,0.39999999999999997,0.40616405879563783,0.13606158687198536,0.01482722111104522
0.01,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.014827275555580855
0.01,sigmoid,0.5111111111111111,0.6666666666666666,0.39999999999999997,0.35395902547065344,0.06189844605901729,0.014827323333075683
0.1,linear,0.7222222222222222,0.7275641025641025,0.6888888888888888,0.7058371735791091,0.4466406536447743,0.014827372222013462
0.1,rbf,0.5555555555555556,0.5803030303030303,0.39999999999999997,0.40616405879563783,0.13606158687198536,0.014827416666472951
0.1,poly,0.5111111111111111,1.0,0.022222222222222223,0.041666666666666664,0.06189844605901729,0.014827461110932442
0.1,sigmoid,0.5111111111111111,0.6666666666666666,0.39999999999999997,0.35395902547065344,0.06189844605901729,0.014827502222033218
1.0,linear,0.7222222222222222,0.7275641025641025,0.6888888888888888,0.7058371735791091,0.4466406536447743,0.014827546666492709
1.0,rbf,0.5888888888888889,0.6541125541125542,0.4666666666666666,0.48877968877968875,0.21621684750054948,0.014827591110952198
1.0,poly,0.5111111111111111,0.8333333333333334,0.044444444444444446,0.08088235294117647,0.06189844605901729,0.01482763666653126
1.0,sigmoid,0.5666666666666667,0.6366666666666667,0.4444444444444444,0.4385964912280702,0.1846290038460501,0.014827677777632036
10.0,linear,0.7222222222222222,0.7275641025641025,0.6888888888888888,0.7058371735791091,0.4466406536447743,0.014827721110971954
10.0,rbf,0.7000000000000001,0.7481481481481481,0.5777777777777778,0.6433333333333334,0.41281705776576566,0.014827765555431445
10.0,poly,0.5333333333333333,0.6888888888888888,0.15555555555555556,0.2518518518518518,0.11833390844815095,0.014827808888771363
10.0,sigmoid,0.6,0.6143790849673203,0.5777777777777778,0.5833333333333334,0.2072738555445933,0.01482784999987214
100.0,linear,0.7222222222222222,0.7275641025641025,0.6888888888888888,0.7058371735791091,0.4466406536447743,0.01482789444433163
100.0,rbf,0.7555555555555555,0.7765567765567766,0.7111111111111111,0.7422003284072249,0.5127026825870052,0.014827941111030264
100.0,poly,0.5333333333333333,0.6,0.4444444444444444,0.43995354239256673,0.08944271909999157,0.014827984444370184
100.0,sigmoid,0.5555555555555556,0.5703703703703704,0.4666666666666666,0.5009090909090909,0.11674780549019821,0.01482802666659053
